FIPS,City
AA00,Aruba
AC00,Antigua And Barbuda
AC01,Barbuda
AC03,Saint George
AC04,Saint John
AC05,Saint Mary
AC06,Saint Paul
AC07,Saint Peter
AC08,Saint Philip
AC09,Redonda
AE00,United Arab Emirates
AE01,Abū Z̧Aby
AE02,ʻAjman
AE03,Dubayy
AE04,Al Fujayrah
AE05,RaʼS Al Khaymah
AE06,Ash Shāriqah
AE07,Umm Al Qaywayn
AF00,Afghanistan
AF01,Badakhshan
AF02,Badghis
AF03,Baghlan
AF04,Balkh
AF05,Bamian
AF06,Farah
AF07,Faryab
AF08,Ghazni
AF09,Ghowr
AF10,Helmand
AF11,Herat
AF12,Jowzjan
AF13,Kabol
AF14,Kapisa
AF15,Konar
AF16,Laghman
AF17,Lowgar
AF18,Nangarhar
AF19,Nimruz
AF20,Oruzgan
AF21,Paktia
AF22,Parvan
AF23,Kandahar
AF24,Kondoz
AF25,Samangan
AF26,Takhar
AF27,Vardak
AF28,Zabol
AF29,Paktika
AF30,Balkh
AF31,Jowzjan
AF32,Samangan
AF33,Sar-E Pol
AF34,Konar
AF35,Laghmān
AF36,Paktīā
AF37,Khowst
AF38,Nūrestān
AF39,Orūzgān
AF40,Parvān
AF41,Dāykondī
AF42,Panjshīr
AG00,Algeria
AG01,Alger
AG02,Annaba
AG03,Batna
AG04,Constantine
AG05,El Asnam
AG06,Medea
AG07,Mostaganem
AG09,Oran
AG10,Saida
AG12,Setif
AG13,Tiaret
AG14,Tizi Ouzou
AG15,Tlemcen
AG16,Adrar
AG17,Bechar
AG18,Bejaia
AG19,Biskra
AG20,Blida
AG21,Bouira
AG22,Djelfa
AG23,Guelma
AG24,Jijel
AG25,Laghouat
AG26,Mascara
AG27,M'Sila
AG28,Ouargla
AG29,Oum El Bouaghi
AG30,Sidi Bel Abbes
AG31,Skikda
AG32,Tamanrasset
AG33,Tebessa
AG34,Adrar
AG35,Ain Defla
AG36,Ain Temouchent
AG37,Annaba
AG38,Bechar
AG39,Bordj Bou Arreridj
AG40,Boumerdes
AG41,Chlef
AG42,El Bayadh
AG43,El Oued
AG44,El Tarf
AG45,Ghardaia
AG46,Illizi
AG47,Khenchela
AG48,Mila
AG49,Naama
AG50,Ouargla
AG51,Relizane
AG52,Souk Ahras
AG53,Tamanghasset
AG54,Tindouf
AG55,Tipaza
AG56,Tissemsilt
AJ00,Azerbaijan
AJ01,Abşeron
AJ02,Ağcabədi
AJ03,Ağdam
AJ04,Ağdaş
AJ05,Ağstafa
AJ06,Ağsu
AJ07,Əli Bayramlı
AJ08,Astara
AJ09,Bakı
AJ10,Balakən
AJ11,Bərdə
AJ12,Beyləqan
AJ13,Biləsuvar
AJ14,Cəbrayıl
AJ15,Cəlilabad
AJ16,Daşkəsən
AJ17,Dəvəçi
AJ18,Füzuli
AJ19,Gədəbəy
AJ20,Gəncə
AJ21,Goranboy
AJ22,Göyçay
AJ23,Hacıqabul
AJ24,İmişli
AJ25,İsmayıllı
AJ26,Kəlbəcər
AJ27,Kürdəmir
AJ28,Laçın
AJ29,Lənkəran
AJ30,Lənkəran
AJ31,Lerik
AJ32,Masallı
AJ33,Mingəcevir
AJ34,Naftalan
AJ35,Naxçıvan
AJ36,Neftçala
AJ37,Oğuz
AJ38,Qəbələ
AJ39,Qax
AJ40,Qazax
AJ41,Qobustan
AJ42,Quba
AJ43,Qubadlı
AJ44,Qusar
AJ45,Saatlı
AJ46,Sabirabad
AJ47,Şəki
AJ48,Şəki
AJ49,Salyan
AJ50,Şamaxı
AJ51,Şəmkir
AJ52,Samux
AJ53,Siyəzən
AJ54,Sumqayıt
AJ55,Şuşa
AJ56,Şuşa
AJ57,Tərtər
AJ58,Tovuz
AJ59,Ucar
AJ60,Xaçmaz
AJ61,Xankəndi
AJ62,Xanlar
AJ63,Xızı
AJ64,Xocalı
AJ65,Xocavənd
AJ66,Yardımlı
AJ67,Yevlax
AJ68,Yevlax
AJ69,Zəngilan
AJ70,Zaqatala
AJ71,Zərdab
AL00,Albania
AL01,Berat
AL02,Dibër
AL03,Durres
AL04,Elbasan
AL05,Fier
AL06,Gjirokaster
AL07,Gramsh
AL08,Kolonje
AL09,Korce
AL10,Kruje
AL11,Kukes
AL12,Lezhe
AL13,Librazhd
AL14,Lushnje
AL15,Mat
AL16,Mirdite
AL17,Permet
AL18,Pogradec
AL19,Puke
AL20,Sarande
AL21,Shkoder
AL22,Skrapar
AL23,Tepelene
AL24,Tirane
AL25,Tirane
AL26,Tropoje
AL27,Vlore
AL28,Tirane
AL29,Bulqizë
AL30,Delvinë
AL31,Devoll
AL32,Has
AL33,Kavajë
AL34,Kuçovë
AL35,Kurbin
AL36,Malësi E Madhe
AL37,Mallakastër
AL38,Peqin
AL39,Tiranë
AL40,Berat
AL41,Dibër
AL42,Durrës
AL43,Elbasan
AL44,Fier
AL45,Gjirokastër
AL46,Korçë
AL47,Kukës
AL48,Lezhë
AL49,Shkodër
AL50,Tiranë
AL51,Vlorë
AM00,Armenia
AM01,Aragatsotn
AM02,Ararat
AM03,Armavir
AM04,Geghark'Unik'
AM05,Kotayk'
AM06,Lorri
AM07,Shirak
AM08,Syunik'
AM09,Tavush
AM10,Vayots' Dzor
AM11,Yerevan
AN00,Andorra
AN01,Andorra
AN02,Canillo
AN03,Encamp
AN04,La Massana
AN05,Ordino
AN06,Sant Julia De Loria
AN07,Andorra La Vella
AN08,Escaldes-Engordany
AO00,Angola
AO01,Benguela
AO02,Bie
AO03,Cabinda
AO04,Cuando Cubango
AO05,Cuanza Norte
AO06,Cuanza Sul
AO07,Cunene
AO08,Huambo
AO09,Huila
AO10,Luanda
AO12,Malanje
AO13,Namibe
AO14,Moxico
AO15,Uige
AO16,Zaire
AO17,Lunda Norte
AO18,Lunda Sul
AO19,Bengo
AO20,Luanda
AQ00,American Samoa
AR00,Argentina
AR01,Buenos Aires
AR02,Catamarca
AR03,Chaco
AR04,Chubut
AR05,Cordoba
AR06,Corrientes
AR07,Distrito Federal
AR08,Entre Rios
AR09,Formosa
AR10,Jujuy
AR11,La Pampa
AR12,La Rioja
