Tourist Attraction,Hotel Name,Address,Address Link,Hotel Website,Hotline,Ranking,Reviewers,Rating,Location rating,Cleanliness rating,Service rating,Value rating,Comment,Price,URL,Description,Award,Hotel Class,Hotel Style 1,Hotel Style 2,Language Spoken,Numbers of near Restaurants,Near Restaurant 1,Link Near Restaurant 1,Near Restaurant 2,Link Near Restaurant 2,Near Restaurant 3,Link Near Restaurant 3,Near Restaurant 4,Link Near Restaurant 4,Near Attraction 1,Link Near Attraction 1,Near Attraction 2,Link Near Attraction 2,Near Attraction 3,Link Near Attraction 3,Near Attraction 4,Link Near Attraction 4,Numbers of near Attractions,Hotel Image
Bình Định,Anya Premier Hotel Quy Nhon,"44 An Duong Vuong, Quy Nhon 59000 Vietnam",nan,https://www.tripadvisor.com,02562222268,#11 of 73 hotels in Quy Nhon,42 ,4.5,5.0,5.0,4.7,4.5,Excellent,53,https://www.tripadvisor.com/Hotel_Review-g608528-d21034468-Reviews-Anya_Premier_Hotel_Quy_Nhon-Quy_Nhon_Binh_Dinh_Province.html?spAttributionToken=Mjc1Nzg1Mjc,,nan,4.5 of 5 bubbles,City View,Charming,"English, Chinese, Vietnamese",nan,Nhà Hàng Cá Khói,https://www.tripadvisor.com/Restaurant_Review-g608528-d25338863-Reviews-Nha_Hang_Ca_Khoi-Quy_Nhon_Binh_Dinh_Province.html,Quy Nhon Sports Bar,https://www.tripadvisor.com/Restaurant_Review-g608528-d13544969-Reviews-Quy_Nhon_Sports_Bar-Quy_Nhon_Binh_Dinh_Province.html,SHO Japanese Restaurant,https://www.tripadvisor.com/Restaurant_Review-g608528-d16724579-Reviews-SHO_Japanese_Restaurant-Quy_Nhon_Binh_Dinh_Province.html,Unique Craft Beer,https://www.tripadvisor.com/Restaurant_Review-g608528-d20895187-Reviews-Unique_Craft_Beer-Quy_Nhon_Binh_Dinh_Province.html,Non Ngua Phu Gia,https://www.tripadvisor.com/Attraction_Review-g608528-d21241385-Reviews-Non_Ngua_Phu_Gia-Quy_Nhon_Binh_Dinh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/12/d5/73/anya-premier-hotel-quy.jpg?w=700&h=-1&s=1
Bình Định,Grand Hyams Hotel - Quy Nhon Beach,"28 Nguyen Hue Le Loi Ward, Quy Nhon 55000 Vietnam",nan,nan,nan,#1 of 73 hotels in Quy Nhon,138 ,5.0,5.0,4.8,4.9,4.9,Excellent,27,https://www.tripadvisor.com/Hotel_Review-g608528-d25180251-Reviews-Grand_Hyams_Hotel_Quy_Nhon_Beach-Quy_Nhon_Binh_Dinh_Province.html,,nan,5.0 of 5 bubbles,Business,Romantic,nan,nan,Sisters Tavern & Pizzeria,https://www.tripadvisor.com/Restaurant_Review-g608528-d13368801-Reviews-Sisters_Tavern_Pizzeria-Quy_Nhon_Binh_Dinh_Province.html,Espresso Coffee,https://www.tripadvisor.com/Restaurant_Review-g608528-d10215336-Reviews-Espresso_Coffee-Quy_Nhon_Binh_Dinh_Province.html,Cine,https://www.tripadvisor.com/Restaurant_Review-g608528-d3989771-Reviews-Cine-Quy_Nhon_Binh_Dinh_Province.html,Bun thit nuong,https://www.tripadvisor.com/Restaurant_Review-g608528-d2149529-Reviews-Bun_thit_nuong-Quy_Nhon_Binh_Dinh_Province.html,Karma Lounge Quy Nhơn,https://www.tripadvisor.com/Attraction_Review-g608528-d26325323-Reviews-Karma_Lounge_Quy_Nhon-Quy_Nhon_Binh_Dinh_Province.html,Route 77 Club,https://www.tripadvisor.com/Attraction_Review-g608528-d18192876-Reviews-Route_77_Club-Quy_Nhon_Binh_Dinh_Province.html,Long Khanh Pagoda,https://www.tripadvisor.com/Attraction_Review-g608528-d12698371-Reviews-Long_Khanh_Pagoda-Quy_Nhon_Binh_Dinh_Province.html,A Bar,https://www.tripadvisor.com/Attraction_Review-g608528-d26825850-Reviews-A_Bar-Quy_Nhon_Binh_Dinh_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/7a/7b/ba/caption.jpg?w=700&h=-1&s=1
Bình Định,Fleur De Lys Hotel Quy Nhon,"16 Nguyen Hue Street, Quy Nhon Vietnam",nan,nan,nan,#3 of 73 hotels in Quy Nhon,261 ,5.0,4.9,5.0,4.8,4.9,Excellent,55,https://www.tripadvisor.com/Hotel_Review-g608528-d21356072-Reviews-Fleur_De_Lys_Hotel_Quy_Nhon-Quy_Nhon_Binh_Dinh_Province.html,,nan,5.0 of 5 bubbles,City View,Business,"English, Vietnamese",nan,Sisters Tavern & Pizzeria,https://www.tripadvisor.com/Restaurant_Review-g608528-d13368801-Reviews-Sisters_Tavern_Pizzeria-Quy_Nhon_Binh_Dinh_Province.html,Espresso Coffee,https://www.tripadvisor.com/Restaurant_Review-g608528-d10215336-Reviews-Espresso_Coffee-Quy_Nhon_Binh_Dinh_Province.html,Cine,https://www.tripadvisor.com/Restaurant_Review-g608528-d3989771-Reviews-Cine-Quy_Nhon_Binh_Dinh_Province.html,Bun thit nuong,https://www.tripadvisor.com/Restaurant_Review-g608528-d2149529-Reviews-Bun_thit_nuong-Quy_Nhon_Binh_Dinh_Province.html,Karma Lounge Quy Nhơn,https://www.tripadvisor.com/Attraction_Review-g608528-d26325323-Reviews-Karma_Lounge_Quy_Nhon-Quy_Nhon_Binh_Dinh_Province.html,Route 77 Club,https://www.tripadvisor.com/Attraction_Review-g608528-d18192876-Reviews-Route_77_Club-Quy_Nhon_Binh_Dinh_Province.html,Long Khanh Pagoda,https://www.tripadvisor.com/Attraction_Review-g608528-d12698371-Reviews-Long_Khanh_Pagoda-Quy_Nhon_Binh_Dinh_Province.html,Binh Dinh Museum,https://www.tripadvisor.com/Attraction_Review-g608528-d6353684-Reviews-Binh_Dinh_Museum-Quy_Nhon_Binh_Dinh_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/83/83/0a/fleur-de-lys-hotel-quy.jpg?w=700&h=-1&s=1
Bình Định,Muong Thanh Quy Nhon Hotel,"02 Nguyen Hue Street Plage de la Ville, Quy Nhon Vietnam",nan,nan,nan,#2 of 73 hotels in Quy Nhon,203 ,4.5,4.5,4.5,4.2,4.4,Excellent,33,https://www.tripadvisor.com/Hotel_Review-g608528-d4346095-Reviews-Muong_Thanh_Quy_Nhon_Hotel-Quy_Nhon_Binh_Dinh_Province.html,"See why so many travelers make Muong Thanh Quy Nhon Hotel their hotel of choice when visiting Quy Nhon. Providing an ideal mix of value, comfort and convenience, it offers a family-friendly setting with an array of amenities designed for travelers like you. You’ll enjoy relaxing rooms that offer a minibar, a refrigerator, and air conditioning, and you can stay connected during your stay as Muong Thanh Quy Nhon Hotel offers guests free wifi. The hotel features a concierge and room service. Plus, Muong Thanh Quy Nhon Hotel offers a pool and breakfast, providing a pleasant respite from your busy day. For guests with a vehicle, free parking is available. While staying in Quy Nhon, you can check out a popular Chinese restaurant like Enjoy Quan, which is serving up some great dishes. Best of all, Muong Thanh Quy Nhon Hotel makes it easy to experience many great Quy Nhon attractions like Thap Doi (Twin Towers) (1.1 mi) and Long Khanh Pagoda (0.6 mi), which are a short distance away. At Muong Thanh Quy Nhon Hotel, your comfort and satisfaction come first, and they look forward to welcoming you to Quy Nhon.",nan,4.5 of 5 bubbles,Family,Mid-range,Vietnamese,nan,Sisters Tavern & Pizzeria,https://www.tripadvisor.com/Restaurant_Review-g608528-d13368801-Reviews-Sisters_Tavern_Pizzeria-Quy_Nhon_Binh_Dinh_Province.html,LỘC BIỂN RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g608528-d25565551-Reviews-L_C_BI_N_RESTAURANT-Quy_Nhon_Binh_Dinh_Province.html,Espresso Coffee,https://www.tripadvisor.com/Restaurant_Review-g608528-d10215336-Reviews-Espresso_Coffee-Quy_Nhon_Binh_Dinh_Province.html,Cine,https://www.tripadvisor.com/Restaurant_Review-g608528-d3989771-Reviews-Cine-Quy_Nhon_Binh_Dinh_Province.html,Karma Lounge Quy Nhơn,https://www.tripadvisor.com/Attraction_Review-g608528-d26325323-Reviews-Karma_Lounge_Quy_Nhon-Quy_Nhon_Binh_Dinh_Province.html,Long Khanh Pagoda,https://www.tripadvisor.com/Attraction_Review-g608528-d12698371-Reviews-Long_Khanh_Pagoda-Quy_Nhon_Binh_Dinh_Province.html,Binh Dinh Museum,https://www.tripadvisor.com/Attraction_Review-g608528-d6353684-Reviews-Binh_Dinh_Museum-Quy_Nhon_Binh_Dinh_Province.html,Khung Anh Thuan Cuong,https://www.tripadvisor.com/Attraction_Review-g608528-d24139900-Reviews-Khung_Anh_Thuan_Cuong-Quy_Nhon_Binh_Dinh_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/95/33/phong-ng-deluxe-twin.jpg?w=700&h=-1&s=1
Bình Định,L'amor Boutique Hotel Quy Nhơn,"1H1 Nguyen Thi Dinh Nguyễn Văn Cừ Ward, Quy Nhon 55100 Vietnam",nan,https://www.tripadvisor.com,02562226868,#10 of 73 hotels in Quy Nhon,43 ,5.0,4.8,5.0,4.8,4.8,Excellent,35,https://www.tripadvisor.com/Hotel_Review-g608528-d25219355-Reviews-L_amor_Boutique_Hotel_Quy_Nhon-Quy_Nhon_Binh_Dinh_Province.html,,nan,5.0 of 5 bubbles,Boutique,Quaint,"English, Chinese, Vietnamese",nan,Nhà Hàng Cá Khói,https://www.tripadvisor.com/Restaurant_Review-g608528-d25338863-Reviews-Nha_Hang_Ca_Khoi-Quy_Nhon_Binh_Dinh_Province.html,SHO Japanese Restaurant,https://www.tripadvisor.com/Restaurant_Review-g608528-d16724579-Reviews-SHO_Japanese_Restaurant-Quy_Nhon_Binh_Dinh_Province.html,Come Together Bar,https://www.tripadvisor.com/Restaurant_Review-g608528-d15067573-Reviews-Come_Together_Bar-Quy_Nhon_Binh_Dinh_Province.html,Hai Rom Tapas Bar,https://www.tripadvisor.com/Restaurant_Review-g608528-d20265015-Reviews-Hai_Rom_Tapas_Bar-Quy_Nhon_Binh_Dinh_Province.html,Non Ngua Phu Gia,https://www.tripadvisor.com/Attraction_Review-g608528-d21241385-Reviews-Non_Ngua_Phu_Gia-Quy_Nhon_Binh_Dinh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/d1/f6/36/khu-v-c-check-in-t-ng.jpg?w=700&h=-1&s=1
Bình Định,Anya Premier Hotel Quy Nhon,"44 An Duong Vuong, Quy Nhon 59000 Vietnam",nan,https://www.tripadvisor.com,02562222268,#11 of 73 hotels in Quy Nhon,42 ,4.5,5.0,5.0,4.7,4.5,Excellent,53,https://www.tripadvisor.com/Hotel_Review-g608528-d21034468-Reviews-Anya_Premier_Hotel_Quy_Nhon-Quy_Nhon_Binh_Dinh_Province.html,,nan,4.5 of 5 bubbles,City View,Charming,"English, Chinese, Vietnamese",nan,Nhà Hàng Cá Khói,https://www.tripadvisor.com/Restaurant_Review-g608528-d25338863-Reviews-Nha_Hang_Ca_Khoi-Quy_Nhon_Binh_Dinh_Province.html,Quy Nhon Sports Bar,https://www.tripadvisor.com/Restaurant_Review-g608528-d13544969-Reviews-Quy_Nhon_Sports_Bar-Quy_Nhon_Binh_Dinh_Province.html,SHO Japanese Restaurant,https://www.tripadvisor.com/Restaurant_Review-g608528-d16724579-Reviews-SHO_Japanese_Restaurant-Quy_Nhon_Binh_Dinh_Province.html,Unique Craft Beer,https://www.tripadvisor.com/Restaurant_Review-g608528-d20895187-Reviews-Unique_Craft_Beer-Quy_Nhon_Binh_Dinh_Province.html,Non Ngua Phu Gia,https://www.tripadvisor.com/Attraction_Review-g608528-d21241385-Reviews-Non_Ngua_Phu_Gia-Quy_Nhon_Binh_Dinh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/12/d5/73/anya-premier-hotel-quy.jpg?w=700&h=-1&s=1
Bình Định,FLC City Hotel Beach Quy Nhon,"11 An Dương Vương, Nguyễn Văn Cừ, Quy Nhon 55100 Vietnam",nan,nan,nan,#6 of 73 hotels in Quy Nhon,78 ,5.0,5.0,4.8,4.7,4.7,Excellent,41,https://www.tripadvisor.com/Hotel_Review-g608528-d23597358-Reviews-FLC_City_Hotel_Beach_Quy_Nhon-Quy_Nhon_Binh_Dinh_Province.html,,nan,5.0 of 5 bubbles,City View,Business,"English, Vietnamese",nan,Nhà Hàng Cá Khói,https://www.tripadvisor.com/Restaurant_Review-g608528-d25338863-Reviews-Nha_Hang_Ca_Khoi-Quy_Nhon_Binh_Dinh_Province.html,Quy Nhon Sports Bar,https://www.tripadvisor.com/Restaurant_Review-g608528-d13544969-Reviews-Quy_Nhon_Sports_Bar-Quy_Nhon_Binh_Dinh_Province.html,SHO Japanese Restaurant,https://www.tripadvisor.com/Restaurant_Review-g608528-d16724579-Reviews-SHO_Japanese_Restaurant-Quy_Nhon_Binh_Dinh_Province.html,Come Together Bar,https://www.tripadvisor.com/Restaurant_Review-g608528-d15067573-Reviews-Come_Together_Bar-Quy_Nhon_Binh_Dinh_Province.html,Kyoto Club Lounge Quy Nhon,https://www.tripadvisor.com/Attraction_Review-g608528-d25405310-Reviews-Kyoto_Club_Lounge_Quy_Nhon-Quy_Nhon_Binh_Dinh_Province.html,Nọong - Gội Đầu Dưỡng Sinh,https://www.tripadvisor.com/Attraction_Review-g608528-d27489377-Reviews-N_ong_G_i_D_u_Du_ng_Sinh-Quy_Nhon_Binh_Dinh_Province.html,Non Ngua Phu Gia,https://www.tripadvisor.com/Attraction_Review-g608528-d21241385-Reviews-Non_Ngua_Phu_Gia-Quy_Nhon_Binh_Dinh_Province.html,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/cc/4e/6f/flc-city-hotel-beach.jpg?w=700&h=-1&s=1
Bình Định,Haven Vietnam,"To 2, Khu vuc 1, Bai Xep Phuong Ghenh Rang, Quy Nhon 590000 Vietnam",nan,nan,nan,#1 of 7 guest houses in Quy Nhon,223 ,4.5,4.8,4.9,4.8,4.8,Excellent,23,https://www.tripadvisor.com/Hotel_Review-g608528-d3706257-Reviews-Haven_Vietnam-Quy_Nhon_Binh_Dinh_Province.html,,nan,4.5 of 5 bubbles,Family,Romantic,"English, Vietnamese",nan,Nhà Hàng Cá Khói,https://www.tripadvisor.com/Restaurant_Review-g608528-d25338863-Reviews-Nha_Hang_Ca_Khoi-Quy_Nhon_Binh_Dinh_Province.html,Sea Fire Salt,https://www.tripadvisor.com/Restaurant_Review-g608528-d16646121-Reviews-Sea_Fire_Salt-Quy_Nhon_Binh_Dinh_Province.html,Quy Nhon Sports Bar,https://www.tripadvisor.com/Restaurant_Review-g608528-d13544969-Reviews-Quy_Nhon_Sports_Bar-Quy_Nhon_Binh_Dinh_Province.html,Summer - Vietnamese New Style,https://www.tripadvisor.com/Restaurant_Review-g608528-d17838858-Reviews-Summer_Vietnamese_New_Style-Quy_Nhon_Binh_Dinh_Province.html,Bai Xep Beach,https://www.tripadvisor.com/Attraction_Review-g608528-d4084712-Reviews-Bai_Xep_Beach-Quy_Nhon_Binh_Dinh_Province.html,Quy Hoa Beach,https://www.tripadvisor.com/Attraction_Review-g608528-d7313071-Reviews-Quy_Hoa_Beach-Quy_Nhon_Binh_Dinh_Province.html,Núi Vũng Chua Mountain,https://www.tripadvisor.com/Attraction_Review-g608528-d10034667-Reviews-Nui_Vung_Chua_Mountain-Quy_Nhon_Binh_Dinh_Province.html,Non Ngua Phu Gia,https://www.tripadvisor.com/Attraction_Review-g608528-d21241385-Reviews-Non_Ngua_Phu_Gia-Quy_Nhon_Binh_Dinh_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/03/36/5b/haven-vietnam.jpg?w=700&h=-1&s=1
Bình Định,Avani Quy Nhon Resort,"Bãi Dài - Ghềnh Ráng Bãi Dài - Ghềnh Ráng, Quy Nhon 880000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=13.681755,109.232590&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|13.684639,109.231300|13.722750,109.218033|13.741974,109.196281&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|13.681755,109.232590|13.680507,109.232765|13.681755,109.232590|13.685783,109.231339|13.660916,109.229652|13.685812,109.231537|13.684932,109.230133|13.686304,109.229691|13.745865,109.213974|13.669273,109.230850&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|13.681111,109.233055|13.747573,109.213966|13.686065,109.229866|13.681759,109.233078|13.743945,109.209183|13.722700,109.208817|13.749854,109.209663|13.681755,109.232590|13.743600,109.215553&signature=VLQ3JBlLMIDIFZ5thRPqA4NYx1Q=",https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=578208&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=307589214&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkWhnEMUQ200gCr6wHO2Cs5gu7Yx9X1prbd2WSRWqxzSF_Bgn_dNZduOyTBt6ulmMWQ&bapid=2&cs=12592e67d532bc569e15d5f13f8b44f2c&ba_uid=220893ec-4cd2-43d9-b34d-ab08f8607ad6,02563840133,#1 of 7 resorts in Quy Nhon,968 ,4.5,4.5,4.7,4.7,4.4,Excellent,122,https://www.tripadvisor.com/Hotel_Review-g608528-d578208-Reviews-Avani_Quy_Nhon_Resort-Quy_Nhon_Binh_Dinh_Province.html,,nan,4.5 of 5 bubbles,Quiet,Trendy,"English, Vietnamese",nan,Sea Fire Salt,https://www.tripadvisor.com/Restaurant_Review-g608528-d16646121-Reviews-Sea_Fire_Salt-Quy_Nhon_Binh_Dinh_Province.html,Quy Nhon Sports Bar,https://www.tripadvisor.com/Restaurant_Review-g608528-d13544969-Reviews-Quy_Nhon_Sports_Bar-Quy_Nhon_Binh_Dinh_Province.html,Summer - Vietnamese New Style,https://www.tripadvisor.com/Restaurant_Review-g608528-d17838858-Reviews-Summer_Vietnamese_New_Style-Quy_Nhon_Binh_Dinh_Province.html,TRE Restaurant,https://www.tripadvisor.com/Restaurant_Review-g608528-d6404289-Reviews-TRE_Restaurant-Quy_Nhon_Binh_Dinh_Province.html,Bai Xep Beach,https://www.tripadvisor.com/Attraction_Review-g608528-d4084712-Reviews-Bai_Xep_Beach-Quy_Nhon_Binh_Dinh_Province.html,Quy Hoa Beach,https://www.tripadvisor.com/Attraction_Review-g608528-d7313071-Reviews-Quy_Hoa_Beach-Quy_Nhon_Binh_Dinh_Province.html,Núi Vũng Chua Mountain,https://www.tripadvisor.com/Attraction_Review-g608528-d10034667-Reviews-Nui_Vung_Chua_Mountain-Quy_Nhon_Binh_Dinh_Province.html,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/30/21/20/aerial-view-of-swimming.jpg?w=700&h=-1&s=1
Bình Định,Casa Marina Resort,"Highway 1D Quarter 1, Ghenh Rang Ward, Quy Nhon 590000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=13.684932,109.230133&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|13.684639,109.231300|13.722750,109.218033|13.741974,109.196281|13.752808,109.211235&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|13.684932,109.230133|13.680507,109.232765|13.681755,109.232590|13.755952,109.217407|13.752861,109.213333|13.685783,109.231339|13.755163,109.212761|13.752269,109.215454|13.660916,109.229652|13.685812,109.231537&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|13.755502,109.214516|13.681111,109.233055|13.747573,109.213966|13.686065,109.229866|13.755297,109.214165|13.681759,109.233078|13.743945,109.209183|13.752922,109.213364|13.755613,109.216095&signature=h4zejKyat9Oyn9BKFfSSn0W7or0=",nan,nan,#1 of 23 special hotels in Quy Nhon,83 ,4.0,4.4,5.0,3.9,4.2,Very good,29,https://www.tripadvisor.com/Hotel_Review-g608528-d13086664-Reviews-Casa_Marina_Resort-Quy_Nhon_Binh_Dinh_Province.html,,nan,4.0 of 5 bubbles,Mid-range,Charming,"English, Vietnamese",nan,Nhà Hàng Cá Khói,https://www.tripadvisor.com/Restaurant_Review-g608528-d25338863-Reviews-Nha_Hang_Ca_Khoi-Quy_Nhon_Binh_Dinh_Province.html,Sea Fire Salt,https://www.tripadvisor.com/Restaurant_Review-g608528-d16646121-Reviews-Sea_Fire_Salt-Quy_Nhon_Binh_Dinh_Province.html,Quy Nhon Sports Bar,https://www.tripadvisor.com/Restaurant_Review-g608528-d13544969-Reviews-Quy_Nhon_Sports_Bar-Quy_Nhon_Binh_Dinh_Province.html,Summer - Vietnamese New Style,https://www.tripadvisor.com/Restaurant_Review-g608528-d17838858-Reviews-Summer_Vietnamese_New_Style-Quy_Nhon_Binh_Dinh_Province.html,Bai Xep Beach,https://www.tripadvisor.com/Attraction_Review-g608528-d4084712-Reviews-Bai_Xep_Beach-Quy_Nhon_Binh_Dinh_Province.html,Quy Hoa Beach,https://www.tripadvisor.com/Attraction_Review-g608528-d7313071-Reviews-Quy_Hoa_Beach-Quy_Nhon_Binh_Dinh_Province.html,Núi Vũng Chua Mountain,https://www.tripadvisor.com/Attraction_Review-g608528-d10034667-Reviews-Nui_Vung_Chua_Mountain-Quy_Nhon_Binh_Dinh_Province.html,Non Ngua Phu Gia,https://www.tripadvisor.com/Attraction_Review-g608528-d21241385-Reviews-Non_Ngua_Phu_Gia-Quy_Nhon_Binh_Dinh_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/cb/cd/e4/m-t-l-n-m-t-ti-n-d-du.jpg?w=700&h=-1&s=1
