Tourist Attraction,Hotel Name,Address,Address Link,Hotel Website,Hotline,Ranking,Reviewers,Rating,Location rating,Cleanliness rating,Service rating,Value rating,Comment,Price,URL,Description,Award,Hotel Class,Hotel Style 1,Hotel Style 2,Language Spoken,Numbers of near Restaurants,Near Restaurant 1,Link Near Restaurant 1,Near Restaurant 2,Link Near Restaurant 2,Near Restaurant 3,Link Near Restaurant 3,Near Restaurant 4,Link Near Restaurant 4,Near Attraction 1,Link Near Attraction 1,Near Attraction 2,Link Near Attraction 2,Near Attraction 3,Link Near Attraction 3,Near Attraction 4,Link Near Attraction 4,Numbers of near Attractions,Hotel Image
Bình Phước,Myle Resort,"Highway 741 Long Hung Village, Phuoc Long Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.792070,106.923264&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.792070,106.923264|11.792070,106.923264|11.766243,106.950531|11.816403,106.955254|11.817912,106.956268|11.750000,106.916672|11.825553,106.954010&signature=E7Hs-INp_evyd_2yasCE4n416A4=",nan,nan,#1 of 1 lodge in Phuoc Long,2 ,4.5,nan,nan,nan,nan,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g6939210-d6936750-Reviews-Myle_Resort-Phuoc_Long_Binh_Phuoc_Province.html,,nan,4.5 of 5 bubbles,Luxury,Quaint,nan,nan,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/25/25/20/20170103-102445-largejpg.jpg?w=700&h=-1&s=1
Bình Phước,Sao Mai Hotel,"121 Hung Vuong, Dong Xoai Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.532290,106.887978&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.532290,106.887978|11.532290,106.887978|11.522760,106.898727|11.538063,106.896347|11.530420,106.890152|11.533079,106.896690|11.532670,106.897133|11.538052,106.896362|11.532440,106.877670|11.533368,106.898544&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|11.523206,106.876755|11.536023,106.890823|11.531511,106.888390|11.539457,106.898376&signature=v72LhMhBBtlegWkP-mkst_jsPPw=",nan,nan,#1 of 1 special hotel in Dong Xoai,1 review,5.0,nan,nan,nan,nan,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g12887730-d12862723-Reviews-Sao_Mai_Hotel-Dong_Xoai_Binh_Phuoc_Province.html,,nan,5.0 of 5 bubbles,nan,nan,nan,nan,Cava De Mitri,https://www.tripadvisor.com/Restaurant_Review-g12887730-d26835835-Reviews-Cava_De_Mitri-Dong_Xoai_Binh_Phuoc_Province.html,T&t Coffee,https://www.tripadvisor.com/Restaurant_Review-g12887730-d23953923-Reviews-T_t_Coffee-Dong_Xoai_Binh_Phuoc_Province.html,Akira Sushi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g12887730-d19887435-Reviews-Akira_Sushi_Restaurant-Dong_Xoai_Binh_Phuoc_Province.html,Dong Ba Quan Dong Xoai,https://www.tripadvisor.com/Restaurant_Review-g12887730-d27424422-Reviews-Dong_Ba_Quan_Dong_Xoai-Dong_Xoai_Binh_Phuoc_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/ea/0d/ed/photo0jpg.jpg?w=700&h=-1&s=1
Bình Phước,Huong Sen Hotel,"Nguyen Hue, Tan Xuan Ward, Dong Xoai Commune, Dong Xoai Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.522760,106.898727&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.522760,106.898727|11.532290,106.887978|11.522760,106.898727|11.538063,106.896347|11.532670,106.897133|11.533079,106.896690|11.533368,106.898544|11.530420,106.890152|11.538052,106.896362|11.537950,106.908112&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|11.523206,106.876755|11.536023,106.890823|11.531511,106.888390|11.539457,106.898376&signature=7_vNVL8RXvAETr2Vtfbz0CjxYh0=",nan,nan,#1 of 1 small hotel in Dong Xoai,1 review,5.0,nan,5.0,5.0,nan,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g12887730-d8152809-Reviews-Huong_Sen_Hotel-Dong_Xoai_Binh_Phuoc_Province.html,,nan,5.0 of 5 bubbles,Charming,nan,nan,nan,Cava De Mitri,https://www.tripadvisor.com/Restaurant_Review-g12887730-d26835835-Reviews-Cava_De_Mitri-Dong_Xoai_Binh_Phuoc_Province.html,T&t Coffee,https://www.tripadvisor.com/Restaurant_Review-g12887730-d23953923-Reviews-T_t_Coffee-Dong_Xoai_Binh_Phuoc_Province.html,Akira Sushi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g12887730-d19887435-Reviews-Akira_Sushi_Restaurant-Dong_Xoai_Binh_Phuoc_Province.html,Dong Ba Quan Dong Xoai,https://www.tripadvisor.com/Restaurant_Review-g12887730-d27424422-Reviews-Dong_Ba_Quan_Dong_Xoai-Dong_Xoai_Binh_Phuoc_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,nan
Bình Phước,Hung Oanh Hotel,"50 Trần Phú, Dong Xoai Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.538063,106.896347&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.538063,106.896347|11.532290,106.887978|11.522760,106.898727|11.538063,106.896347|11.538052,106.896362|11.533079,106.896690|11.533368,106.898544|11.532670,106.897133|11.530420,106.890152|11.537950,106.908112&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|11.523206,106.876755|11.536023,106.890823|11.539457,106.898376|11.531511,106.888390&signature=GwXYvbdty9qjyrSFPmYaxOY0dgY=",nan,nan,#1 of 1 guest house in Dong Xoai,2 ,3.0,nan,nan,5.0,nan,Average,Only 1 left at,https://www.tripadvisor.com/Hotel_Review-g12887730-d23803387-Reviews-Hung_Oanh_Hotel-Dong_Xoai_Binh_Phuoc_Province.html,,nan,3.0 of 5 bubbles,nan,nan,"English, Vietnamese",nan,Cava De Mitri,https://www.tripadvisor.com/Restaurant_Review-g12887730-d26835835-Reviews-Cava_De_Mitri-Dong_Xoai_Binh_Phuoc_Province.html,T&t Coffee,https://www.tripadvisor.com/Restaurant_Review-g12887730-d23953923-Reviews-T_t_Coffee-Dong_Xoai_Binh_Phuoc_Province.html,Dong Ba Quan Dong Xoai,https://www.tripadvisor.com/Restaurant_Review-g12887730-d27424422-Reviews-Dong_Ba_Quan_Dong_Xoai-Dong_Xoai_Binh_Phuoc_Province.html,Akira Sushi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g12887730-d19887435-Reviews-Akira_Sushi_Restaurant-Dong_Xoai_Binh_Phuoc_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/a3/13/3a/hung-oanh-hotel.jpg?w=700&h=-1&s=1
Bình Phước,Olivia Apartment,"765/8 Le Hong Phong Phuong Phuoc Long, Thanh Pho Nha Trang, Tinh Khanh Hoa, Phuoc Long 650000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.849890,106.990921&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.849890,106.990921|11.849890,106.990921|11.850780,106.991638|11.848590,106.993843|11.853320,107.001060|11.835386,106.996239|11.825553,106.954010|11.817912,106.956268|11.816403,106.955254&signature=AyIgN6v1WxdK3NuMwu02OcgUPlA=",nan,nan,Write a review,"765/8 Le Hong Phong Phuong Phuoc Long, Thanh Pho Nha Trang, Tinh Khanh Hoa, Phuoc Long 650000 Vietnam",nan,nan,nan,nan,nan,nan,20,https://www.tripadvisor.com/Hotel_Review-g6939210-d17538300-Reviews-Olivia_Apartment-Phuoc_Long_Binh_Phuoc_Province.html,,nan,nan,nan,nan,nan,nan,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/2d/8b/8c/cd/bedroom.jpg?w=700&h=-1&s=1
Bình Phước,An Loc Hotel & Spa,"QL13, Hung Chien, Binh Long Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.640290,106.608490&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.640290,106.608490|11.640290,106.608490|11.628397,106.608093|11.652930,106.619820&signature=flQtCsNY5bopw4uyN3xCVB77hlg=",nan,nan,Write a review,"QL13, Hung Chien, Binh Long Vietnam",nan,nan,nan,nan,nan,nan,nan,https://www.tripadvisor.com/Hotel_Review-g12934440-d12902905-Reviews-An_Loc_Hotel_Spa-Binh_Long_Binh_Phuoc_Province.html,,nan,3.0 of 5 stars,nan,nan,nan,nan,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/29/2b/84/be/caption.jpg?w=700&h=-1&s=1
Bình Phước,"Ngoi Lang Trong Tranh, Leading-Kiwuki Village","Truong Chinh KiWuki Village, Loc Tan Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.593951,107.757408&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|11.627636,107.742325&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.593951,107.757408|11.552350,107.808121|11.559826,107.817787|11.544768,107.810730|11.539593,107.798523|11.541550,107.806351|11.543768,107.804916|11.626105,107.736732|11.537740,107.791473|11.538650,107.802963&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|11.603781,107.755447|11.539598,107.802811|11.541229,107.803688|11.546289,107.806961|11.544833,107.802963|11.547924,107.801178|11.543833,107.804909|11.554660,107.805817|11.554403,107.813515&signature=z8W32yT-COkJ1U6wG2swCjsTI_A=",nan,nan,Write a review,"Truong Chinh KiWuki Village, Loc Tan Vietnam",nan,nan,nan,nan,nan,nan,nan,https://www.tripadvisor.com/Hotel_Review-g15334760-d26665456-Reviews-Ngoi_Lang_Trong_Tranh_Leading_Kiwuki_Village-Loc_Tan_Binh_Phuoc_Province.html,,nan,,nan,nan,nan,nan,Amoris Garden Coffee & Tea,https://www.tripadvisor.com/Restaurant_Review-g2062759-d25321293-Reviews-Amoris_Garden_Coffee_Tea-Bao_Loc_Lam_Dong_Province.html,Trúc Mai Viên,https://www.tripadvisor.com/Restaurant_Review-g2062759-d23081942-Reviews-Truc_Mai_Vien-Bao_Loc_Lam_Dong_Province.html,Tung Breakfast & Cafe Restaurant,https://www.tripadvisor.com/Restaurant_Review-g2062759-d12502616-Reviews-Tung_Breakfast_Cafe_Restaurant-Bao_Loc_Lam_Dong_Province.html,Amavi Tea House,https://www.tripadvisor.com/Restaurant_Review-g2062759-d23763586-Reviews-Amavi_Tea_House-Bao_Loc_Lam_Dong_Province.html,Dambri Waterfall,https://www.tripadvisor.com/Attraction_Review-g298083-d13567749-Reviews-Dambri_Waterfall-Lam_Dong_Lam_Dong_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/67/0e/1e/hinh-nh-thu-ho-ch-s-u.jpg?w=700&h=-1&s=1
Bình Phước,Thanh Binh Hotel,"Lo G06 Nguyen Binh Khiem Phuong Hung Chien, Binh Long Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.628397,106.608093&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.628397,106.608093|11.640290,106.608490|11.628397,106.608093|11.652930,106.619820&signature=TFgLCDl6_FmAM0VaO5xpQMMvGLk=",nan,nan,Write a review,"Lo G06 Nguyen Binh Khiem Phuong Hung Chien, Binh Long Vietnam",nan,nan,nan,nan,nan,nan,nan,https://www.tripadvisor.com/Hotel_Review-g12934440-d25197564-Reviews-Thanh_Binh_Hotel-Binh_Long_Binh_Phuoc_Province.html,No description available,nan,nan,nan,nan,nan,nan,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/2d/90/56/b0/lobby-or-reception.jpg?w=700&h=-1&s=1
Bình Phước,Nhà Khách Bình Phước,"Đường Lê Duẩn Phường Tân Phú, Dong Xoai Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.750000,106.916672&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.750000,106.916672|11.792070,106.923264|11.750000,106.916672|11.766243,106.950531&signature=p9bRM_GD6oXeKDebJuAcYrupJ1U=",nan,nan,Write a review,"Đường Lê Duẩn Phường Tân Phú, Dong Xoai Vietnam",nan,nan,nan,nan,nan,nan,nan,https://www.tripadvisor.com/Hotel_Review-g12887730-d27515337-Reviews-Nha_Khach_Binh_Phu_c-Dong_Xoai_Binh_Phuoc_Province.html,No description available,nan,nan,nan,nan,nan,nan,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,nan
Bình Phước,Khach San Phuong Trang 1,"A22 No. Trang Long, Phuong Tan Bình, Thanh Pho, Dong Xoai Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.533079,106.896690&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.533079,106.896690|11.532290,106.887978|11.522760,106.898727|11.538063,106.896347|11.533079,106.896690|11.532670,106.897133|11.533368,106.898544|11.538052,106.896362|11.530420,106.890152|11.537950,106.908112&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|11.523206,106.876755|11.536023,106.890823|11.539457,106.898376|11.531511,106.888390&signature=Gpzwue4CeH0QRC8_m6Rcr8kuLIQ=",nan,nan,Write a review,"A22 No. Trang Long, Phuong Tan Bình, Thanh Pho, Dong Xoai Vietnam",nan,nan,nan,nan,nan,nan,nan,https://www.tripadvisor.com/Hotel_Review-g12887730-d23518772-Reviews-Khach_San_Phuong_Trang_1-Dong_Xoai_Binh_Phuoc_Province.html,No description available,nan,,nan,nan,nan,nan,Cava De Mitri,https://www.tripadvisor.com/Restaurant_Review-g12887730-d26835835-Reviews-Cava_De_Mitri-Dong_Xoai_Binh_Phuoc_Province.html,T&t Coffee,https://www.tripadvisor.com/Restaurant_Review-g12887730-d23953923-Reviews-T_t_Coffee-Dong_Xoai_Binh_Phuoc_Province.html,Dong Ba Quan Dong Xoai,https://www.tripadvisor.com/Restaurant_Review-g12887730-d27424422-Reviews-Dong_Ba_Quan_Dong_Xoai-Dong_Xoai_Binh_Phuoc_Province.html,Akira Sushi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g12887730-d19887435-Reviews-Akira_Sushi_Restaurant-Dong_Xoai_Binh_Phuoc_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,nan
