Tourist Attraction,Hotel Name,Address,Address Link,Hotel Website,Hotline,Ranking,Reviewers,Rating,Location rating,Cleanliness rating,Service rating,Value rating,Comment,Price,URL,Description,Award,Hotel Class,Hotel Style 1,Hotel Style 2,Language Spoken,Numbers of near Restaurants,Near Restaurant 1,Link Near Restaurant 1,Near Restaurant 2,Link Near Restaurant 2,Near Restaurant 3,Link Near Restaurant 3,Near Restaurant 4,Link Near Restaurant 4,Near Attraction 1,Link Near Attraction 1,Near Attraction 2,Link Near Attraction 2,Near Attraction 3,Link Near Attraction 3,Near Attraction 4,Link Near Attraction 4,Numbers of near Attractions,Hotel Image
Đà Nẵng,Rosamia Da Nang Hotel,"282 Vo Nguyen Giap, Da Nang 550000 Vietnam",nan,nan,nan,#61 of 592 hotels in Da Nang,230 ,5.0,5.0,4.9,5.0,4.7,Excellent,66,https://www.tripadvisor.com/Hotel_Review-g298085-d15327970-Reviews-Rosamia_Da_Nang_Hotel-Da_Nang.html?spAttributionToken=Mjc4MDE2NjQ,,nan,5.0 of 5 bubbles,Romantic,Trendy,Vietnamese,nan,Nomad Nosh Café & Crafts,https://www.tripadvisor.com/Restaurant_Review-g298085-d26698234-Reviews-Nomad_Nosh_Cafe_Crafts-Da_Nang.html,The Windsor Tea House,https://www.tripadvisor.com/Restaurant_Review-g298085-d19656613-Reviews-The_Windsor_Tea_House-Da_Nang.html,Adobo Mexican Grill,https://www.tripadvisor.com/Restaurant_Review-g298085-d23881617-Reviews-Adobo_Mexican_Grill-Da_Nang.html,Nautica Beach Club,https://www.tripadvisor.com/Restaurant_Review-g298085-d6894762-Reviews-Nautica_Beach_Club-Da_Nang.html,Mercy Boat Bar,https://www.tripadvisor.com/Attraction_Review-g298085-d26868319-Reviews-Mercy_Boat_Bar-Da_Nang.html,Marine Sky Bar,https://www.tripadvisor.com/Attraction_Review-g298085-d19259798-Reviews-Marine_Sky_Bar-Da_Nang.html,Danang Art Studio & Class,https://www.tripadvisor.com/Attraction_Review-g298085-d25569217-Reviews-Danang_Art_Studio_Class-Da_Nang.html,Danabeach,https://www.tripadvisor.com/Attraction_Review-g298085-d7000967-Reviews-Danabeach-Da_Nang.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/c5/c3/1e/rosamia-da-nang-hotel.jpg?w=700&h=-1&s=1
Đà Nẵng,Furama Resort Danang,"103 - 105 Vo Nguyen Giap Street, Da Nang 550000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=15&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=16.039944,108.251068&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|16.040417,108.250214|16.040121,108.250137|16.040819,108.247940&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|16.039944,108.251068|16.039944,108.251068|16.041842,108.249939|16.037031,108.251167|16.040554,108.250084|16.039764,108.246689|16.037851,108.250313|16.040943,108.248413|16.041359,108.248711|16.037073,108.251106&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|16.043253,108.250931|16.041937,108.248215|16.042620,108.248039|16.040422,108.251633|16.042267,108.248268|16.040462,108.248650|16.041857,108.248489|16.040720,108.251518|16.040548,108.251244&signature=AhXGCsWLtY-X88BLAWFi6pLBlVk=",nan,nan,#1 of 12 resorts in Da Nang,"5,933 ",4.5,4.6,4.6,4.6,4.4,Excellent,161,https://www.tripadvisor.com/Hotel_Review-g298085-d302750-Reviews-Furama_Resort_Danang-Da_Nang.html,,nan,4.5 of 5 bubbles,Family Resort,Park View,"English, Chinese, Japanese, Korean and 1 more",nan,Ca Chuon Co Restaurant - Vietnamese Cuisine,https://www.tripadvisor.com/Restaurant_Review-g298085-d7000524-Reviews-Ca_Chuon_Co_Restaurant_Vietnamese_Cuisine-Da_Nang.html,Nhà Hàng Nhà Bếp Của Việt Nam,https://www.tripadvisor.com/Restaurant_Review-g298085-d24179021-Reviews-Nha_Hang_Nha_B_p_C_a_Vi_t_Nam-Da_Nang.html,Van May,https://www.tripadvisor.com/Restaurant_Review-g298085-d26723722-Reviews-Van_May-Da_Nang.html,Don Cipriani's,https://www.tripadvisor.com/Restaurant_Review-g298085-d1915728-Reviews-Don_Cipriani_s-Da_Nang.html,Namaka Jewelry,https://www.tripadvisor.com/Attraction_Review-g298085-d10063911-Reviews-Namaka_Jewelry-Da_Nang.html,Fakarava Pearl,https://www.tripadvisor.com/Attraction_Review-g298085-d6557726-Reviews-Fakarava_Pearl-Da_Nang.html,Dac San Lam Qua,https://www.tripadvisor.com/Attraction_Review-g15296807-d20481092-Reviews-Dac_San_Lam_Qua-My_An_Da_Nang.html,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/af/a1/f4/beach-leisure.jpg?w=700&h=-1&s=1
Đà Nẵng,HAIAN Beach Hotel & Spa,"278 Vo Nguyen Giap Street, Da Nang 550000 Vietnam",nan,nan,nan,#6 of 592 hotels in Da Nang,"3,387 ",5.0,4.9,4.8,4.9,4.9,Excellent,48,https://www.tripadvisor.com/Hotel_Review-g298085-d13813945-Reviews-HAIAN_Beach_Hotel_Spa-Da_Nang.html,,nan,5.0 of 5 bubbles,Ocean View,Trendy,"English, Chinese, Korean, Vietnamese",nan,Nomad Nosh Café & Crafts,https://www.tripadvisor.com/Restaurant_Review-g298085-d26698234-Reviews-Nomad_Nosh_Cafe_Crafts-Da_Nang.html,The Windsor Tea House,https://www.tripadvisor.com/Restaurant_Review-g298085-d19656613-Reviews-The_Windsor_Tea_House-Da_Nang.html,Adobo Mexican Grill,https://www.tripadvisor.com/Restaurant_Review-g298085-d23881617-Reviews-Adobo_Mexican_Grill-Da_Nang.html,Nautica Beach Club,https://www.tripadvisor.com/Restaurant_Review-g298085-d6894762-Reviews-Nautica_Beach_Club-Da_Nang.html,Mercy Boat Bar,https://www.tripadvisor.com/Attraction_Review-g298085-d26868319-Reviews-Mercy_Boat_Bar-Da_Nang.html,Marine Sky Bar,https://www.tripadvisor.com/Attraction_Review-g298085-d19259798-Reviews-Marine_Sky_Bar-Da_Nang.html,Danang Night Market,https://www.tripadvisor.com/Attraction_Review-g298085-d14086698-Reviews-Danang_Night_Market-Da_Nang.html,Danang Art Studio & Class,https://www.tripadvisor.com/Attraction_Review-g298085-d25569217-Reviews-Danang_Art_Studio_Class-Da_Nang.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/26/dc/3c/haian-beach-hotel-spa.jpg?w=700&h=-1&s=1
Đà Nẵng,Risemount Premier Resort Danang,"120 Nguyen Van Thoai St, My An Ward, Ngu Hanh Son Dist., Da Nang 550000 Vietnam",nan,nan,nan,#13 of 592 hotels in Da Nang,"1,401 ",5.0,4.9,4.8,4.9,4.9,Excellent,48,https://www.tripadvisor.com/Hotel_Review-g298085-d11689349-Reviews-Risemount_Premier_Resort_Danang-Da_Nang.html,"Finding an ideal trendy hotel in Da Nang does not have to be difficult. Welcome to Risemount Premier Resort Danang, a nice option for travelers like you. For those interested in checking out popular landmarks while visiting Da Nang, Risemount Premier Resort Danang is located a short distance from DHC Marina (1.0 mi) and Han River Bridge (1.5 mi). As your “home away from home,” the hotel rooms offer a minibar and air conditioning, and getting online is easy, with free wifi available. Guests have access to a rooftop terrace, a concierge, and room service while staying at Risemount Premier Resort Danang. In addition, Risemount Premier Resort Danang offers a pool and breakfast, which will help make your Da Nang trip additionally gratifying. And, as an added convenience, there is free parking available to guests. While in Da Nang, you may want to check out some of the restaurants that are a short walk away from Risemount Premier Resort Danang, including Lam Vien Restaurant (0.9 mi), Burger Bros (0.5 mi), and Ngon Villa Danang (0.4 mi). Should time allow, Tien Sa Lighthouse is a popular lighthouse that is relatively easy to get to. Risemount Premier Resort Danang looks forward to welcoming you on your visit to Da Nang.",nan,5.0 of 5 bubbles,Quirky Hotels,Trendy,"English, Chinese, Korean, Vietnamese",nan,Thìa Gỗ Restaurant Da Nang,https://www.tripadvisor.com/Restaurant_Review-g15296807-d13810289-Reviews-Thia_G_Restaurant_Da_Nang-My_An_Da_Nang.html,All Seasons Buffet - Da Nang,https://www.tripadvisor.com/Restaurant_Review-g298085-d27462758-Reviews-All_Seasons_Buffet_Da_Nang-Da_Nang.html,Tacos Danang,https://www.tripadvisor.com/Restaurant_Review-g298085-d10736295-Reviews-Tacos_Danang-Da_Nang.html,Làng Cua Đà Nẵng,https://www.tripadvisor.com/Restaurant_Review-g15296807-d27781615-Reviews-Lang_Cua_Da_N_ng-My_An_Da_Nang.html,Mercy Boat Bar,https://www.tripadvisor.com/Attraction_Review-g298085-d26868319-Reviews-Mercy_Boat_Bar-Da_Nang.html,Q-Mart,https://www.tripadvisor.com/Attraction_Review-g298085-d25429896-Reviews-Q_Mart-Da_Nang.html,Shoozers,https://www.tripadvisor.com/Attraction_Review-g298085-d25093502-Reviews-Shoozers-Da_Nang.html,Baby Shop Shin Mart,https://www.tripadvisor.com/Attraction_Review-g298085-d25456935-Reviews-Baby_Shop_Shin_Mart-Da_Nang.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/7f/dd/c8/risemount-premier-resort.jpg?w=700&h=-1&s=1
Đà Nẵng,Sala Danang Beach Hotel,"36 - 38 Lam Hoanh Street, Da Nang 550000 Vietnam",nan,nan,nan,#22 of 592 hotels in Da Nang,"2,494 ",5.0,4.8,4.9,4.9,4.9,Excellent,99,https://www.tripadvisor.com/Hotel_Review-g298085-d16891462-Reviews-Sala_Danang_Beach_Hotel-Da_Nang.html,,nan,5.0 of 5 bubbles,Bay View,Ocean View,"Korean, Vietnamese",nan,NHÀ VIỆT BÁNH MÌ &CAFFEE,https://www.tripadvisor.com/Restaurant_Review-g298085-d26658506-Reviews-NHA_VI_T_BANH_MI_CAFFEE-Da_Nang.html,Nhà Hàng Nhà Bếp Xưa,https://www.tripadvisor.com/Restaurant_Review-g298085-d24105100-Reviews-Nha_Hang_Nha_B_p_Xua-Da_Nang.html,Cardi Pizzeria Võ Văn Kiệt,https://www.tripadvisor.com/Restaurant_Review-g298085-d25782583-Reviews-Cardi_Pizzeria_Vo_Van_Ki_t-Da_Nang.html,Emo's Vietnamese Homecooked Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d13476951-Reviews-Emo_s_Vietnamese_Homecooked_Restaurant-Da_Nang.html,My Khe Beach,https://www.tripadvisor.com/Attraction_Review-g298085-d7687457-Reviews-My_Khe_Beach-Da_Nang.html,KOTO CLUB DA NANG,https://www.tripadvisor.com/Attraction_Review-g298085-d25554545-Reviews-KOTO_CLUB_DA_NANG-Da_Nang.html,Fire - Fly Mobile Bar,https://www.tripadvisor.com/Attraction_Review-g298085-d16850423-Reviews-Fire_Fly_Mobile_Bar-Da_Nang.html,Van's Touch,https://www.tripadvisor.com/Attraction_Review-g298085-d14155475-Reviews-Van_s_Touch-Da_Nang.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/e8/37/9b/infinity-pool-at-25th.jpg?w=700&h=-1&s=1
Đà Nẵng,TMS Hotel Da Nang Beach,"292 Vo Nguyen Giap Street My An Ward, Ngu Hanh Son District, Da Nang 550000 Vietnam",nan,nan,nan,#29 of 592 hotels in Da Nang,"1,255 ",5.0,4.9,4.8,4.9,4.8,Excellent,63,https://www.tripadvisor.com/Hotel_Review-g298085-d15153595-Reviews-TMS_Hotel_Da_Nang_Beach-Da_Nang.html,,nan,5.0 of 5 bubbles,Great View,Trendy,Vietnamese,nan,Nomad Nosh Café & Crafts,https://www.tripadvisor.com/Restaurant_Review-g298085-d26698234-Reviews-Nomad_Nosh_Cafe_Crafts-Da_Nang.html,IVegan Super Shop,https://www.tripadvisor.com/Restaurant_Review-g15296807-d23379620-Reviews-IVegan_Super_Shop-My_An_Da_Nang.html,The Windsor Tea House,https://www.tripadvisor.com/Restaurant_Review-g298085-d19656613-Reviews-The_Windsor_Tea_House-Da_Nang.html,Adobo Mexican Grill,https://www.tripadvisor.com/Restaurant_Review-g298085-d23881617-Reviews-Adobo_Mexican_Grill-Da_Nang.html,Apocalypse Beach Club,https://www.tripadvisor.com/Attraction_Review-g298085-d15129817-Reviews-Apocalypse_Beach_Club-Da_Nang.html,Marine Sky Bar,https://www.tripadvisor.com/Attraction_Review-g298085-d19259798-Reviews-Marine_Sky_Bar-Da_Nang.html,Danang Night Market,https://www.tripadvisor.com/Attraction_Review-g298085-d14086698-Reviews-Danang_Night_Market-Da_Nang.html,C Bar Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d25409114-Reviews-C_Bar_Da_Nang-Da_Nang.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/72/ed/e7/tms-hotel-da-nang-beach.jpg?w=700&h=-1&s=1
Đà Nẵng,Minh Boutique,"Số 5 Nguyễn Cao Luyện, Da Nang 550000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=15&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=16.069538,108.241821&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|16.067587,108.244820|16.069227,108.245384|16.066669,108.243057|16.068752,108.242279|16.068636,108.240608|16.067560,108.245079|16.068666,108.240646|16.073509,108.240982|16.068710,108.243538&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|16.069538,108.241821|16.067619,108.245201|16.066769,108.244789|16.069696,108.238434|16.068100,108.245003|16.066959,108.244934|16.066372,108.244820|16.067459,108.244865|16.067020,108.243225|16.066477,108.244881&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|16.066811,108.244514|16.067053,108.245461|16.067652,108.244850|16.067598,108.245018|16.066093,108.244301|16.068668,108.243027|16.073734,108.240845|16.071707,108.242836|16.066896,108.243271&signature=5xpAGXGsrC0QMxBkguRwfe8Oc7A=",nan,nan,#69 of 592 hotels in Da Nang,281 ,5.0,4.7,4.9,4.9,4.7,Excellent,61,https://www.tripadvisor.com/Hotel_Review-g298085-d17732168-Reviews-Minh_Boutique-Da_Nang.html?spAttributionToken=Mjc1NzgyODE,,nan,5.0 of 5 bubbles,Boutique,Romantic,"English, Vietnamese",nan,Pink Salt Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d26732417-Reviews-Pink_Salt_Restaurant-Da_Nang.html,Mad Platter,https://www.tripadvisor.com/Restaurant_Review-g298085-d26737526-Reviews-Mad_Platter-Da_Nang.html,Sky View Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d12968948-Reviews-Sky_View_Restaurant-Da_Nang.html,Nem Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d15237630-Reviews-Nem_Restaurant-Da_Nang.html,Sky 21 Bar,https://www.tripadvisor.com/Attraction_Review-g17786366-d12878841-Reviews-Sky_21_Bar-Son_Tra_Peninsula_Da_Nang.html,Phuoc My Beach,https://www.tripadvisor.com/Attraction_Review-g298085-d10798602-Reviews-Phuoc_My_Beach-Da_Nang.html,PSG Mobile Store,https://www.tripadvisor.com/Attraction_Review-g19779171-d27000487-Reviews-PSG_Mobile_Store-Phuoc_My_Son_Tra_Peninsula_Da_Nang.html,Mystery Bar & Lounge,https://www.tripadvisor.com/Attraction_Review-g17786366-d19408787-Reviews-Mystery_Bar_Lounge-Son_Tra_Peninsula_Da_Nang.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e9/29/1e/minh-boutique.jpg?w=700&h=-1&s=1
Đà Nẵng,Monarque Hotel,"238 Vo Nguyen Giap, Phuoc My, Da Nang 550000 Vietnam",nan,nan,nan,#1 of 27 hotels in Phuoc My,"3,276 ",5.0,5.0,4.9,5.0,5.0,Excellent,41,https://www.tripadvisor.com/Hotel_Review-g19779171-d12832158-Reviews-Monarque_Hotel-Phuoc_My_Son_Tra_Peninsula_Da_Nang.html,,nan,5.0 of 5 bubbles,Family,Trendy,Vietnamese,nan,Pink Salt Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d26732417-Reviews-Pink_Salt_Restaurant-Da_Nang.html,NHÀ VIỆT BÁNH MÌ &CAFFEE,https://www.tripadvisor.com/Restaurant_Review-g298085-d26658506-Reviews-NHA_VI_T_BANH_MI_CAFFEE-Da_Nang.html,Mad Platter,https://www.tripadvisor.com/Restaurant_Review-g298085-d26737526-Reviews-Mad_Platter-Da_Nang.html,Sky View Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d12968948-Reviews-Sky_View_Restaurant-Da_Nang.html,Sky 21 Bar,https://www.tripadvisor.com/Attraction_Review-g17786366-d12878841-Reviews-Sky_21_Bar-Son_Tra_Peninsula_Da_Nang.html,My Khe Beach,https://www.tripadvisor.com/Attraction_Review-g298085-d7687457-Reviews-My_Khe_Beach-Da_Nang.html,Phuoc My Beach,https://www.tripadvisor.com/Attraction_Review-g298085-d10798602-Reviews-Phuoc_My_Beach-Da_Nang.html,PSG Mobile Store,https://www.tripadvisor.com/Attraction_Review-g19779171-d27000487-Reviews-PSG_Mobile_Store-Phuoc_My_Son_Tra_Peninsula_Da_Nang.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/c2/3b/f1/swimming-pool.jpg?w=700&h=-1&s=1
Đà Nẵng,Brilliant Hotel,"162 Bạch Đằng Hai Chau I Ward, Hai Chau District, Da Nang 550000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=15&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=16.066746,108.224663&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|16.068287,108.223412|16.068329,108.222855|16.068058,108.223541|16.068623,108.223572|16.062996,108.223351|16.066736,108.223381|16.066219,108.224045|16.065693,108.222298|16.062778,108.223335&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|16.066746,108.224663|16.066746,108.224663|16.066191,108.224426|16.066944,108.223938|16.065496,108.223488|16.067839,108.224586|16.066902,108.224693|16.064884,108.223434|16.066111,108.223892|16.067377,108.224442&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|16.067734,108.224785|16.065945,108.223755|16.063513,108.223213|16.066547,108.224670|16.068739,108.224335|16.066702,108.224648|16.068247,108.224815|16.066969,108.224686|16.070183,108.224228&signature=WaGI2gDD5kjcEcWj9A28BePOYXk=",nan,nan,#9 of 592 hotels in Da Nang,"3,365 ",5.0,4.9,4.7,4.8,4.8,Excellent,46,https://www.tripadvisor.com/Hotel_Review-g298085-d3236066-Reviews-Brilliant_Hotel-Da_Nang.html,,nan,5.0 of 5 bubbles,Business,City View,"English, Korean, Vietnamese",nan,Cardi Pizzeria Bạch Đằng,https://www.tripadvisor.com/Restaurant_Review-g298085-d24985405-Reviews-Cardi_Pizzeria_B_ch_D_ng-Da_Nang.html,Bep Que Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d25332443-Reviews-Bep_Que_Restaurant-Da_Nang.html,Xóm Mới Garden Đà Nẵng,https://www.tripadvisor.com/Restaurant_Review-g298085-d27166754-Reviews-Xom_M_i_Garden_Da_N_ng-Da_Nang.html,"Thien Kim Restaurant - Danang, Vietnam",https://www.tripadvisor.com/Restaurant_Review-g298085-d27988672-Reviews-Thien_Kim_Restaurant_Danang_Vietnam-Da_Nang.html,Tabalo Outdoor,https://www.tripadvisor.com/Attraction_Review-g298085-d12364144-Reviews-Tabalo_Outdoor-Da_Nang.html,Khanh Hung Optical,https://www.tripadvisor.com/Attraction_Review-g298085-d25309254-Reviews-Khanh_Hung_Optical-Da_Nang.html,Tabalo Outdoor,https://www.tripadvisor.com/Attraction_Review-g298085-d17427209-Reviews-Tabalo_Outdoor-Da_Nang.html,Paul Bespoke Tailoring,https://www.tripadvisor.com/Attraction_Review-g298085-d9553001-Reviews-Paul_Bespoke_Tailoring-Da_Nang.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/57/e8/df/brilliant-top-bar.jpg?w=700&h=-1&s=1
Đà Nẵng,Melia Vinpearl Danang Riverfront,"341 Đ. Trần Hưng Đạo, An Hai Bac, Da Nang 550000 Vietnam",nan,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=14120429&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=308052119&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkVIVUzFCBXYO4n0V7qO4DpYHH7NORlmbRrfwL5tWuf2nYXmC9P3Xbqq5uXdf811DGQ&bapid=1&cs=18b6f2c97523bc3b45cfb5e68579e63e5&ba_uid=e3b46321-3080-4517-a674-3517488ea7c8,0019292071033,#1 of 7 hotels in An Hai Bac,"2,746 ",5.0,4.8,4.7,4.8,4.7,Excellent,65,https://www.tripadvisor.com/Hotel_Review-g19935676-d14120429-Reviews-Melia_Vinpearl_Danang_Riverfront-An_Hai_Bac_Son_Tra_Peninsula_Da_Nang.html,,nan,5.0 of 5 bubbles,Family,Trendy,"English, Chinese, Korean, Vietnamese",nan,GAIA POOL BAR MELIA VINPEARL DA NANG,https://www.tripadvisor.com/Restaurant_Review-g298085-d25547807-Reviews-GAIA_POOL_BAR_MELIA_VINPEARL_DA_NANG-Da_Nang.html,Cafe Caracoli,https://www.tripadvisor.com/Restaurant_Review-g298085-d6404099-Reviews-Cafe_Caracoli-Da_Nang.html,Bun Bo My Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d26366520-Reviews-Bun_Bo_My_Restaurant-Da_Nang.html,Thai Market Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d25354923-Reviews-Thai_Market_Restaurant-Da_Nang.html,Han River Bridge,https://www.tripadvisor.com/Attraction_Review-g298085-d8090733-Reviews-Han_River_Bridge-Da_Nang.html,Vincom Plaza,https://www.tripadvisor.com/Attraction_Review-g298085-d13358684-Reviews-Vincom_Plaza-Da_Nang.html,Veston Tran,https://www.tripadvisor.com/Attraction_Review-g298085-d8263380-Reviews-Veston_Tran-Da_Nang.html,Golden Pine Pub,https://www.tripadvisor.com/Attraction_Review-g298085-d4102516-Reviews-Golden_Pine_Pub-Da_Nang.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/f4/89/4a/pool-bar.jpg?w=700&h=-1&s=1
