Tourist Attraction,Hotel Name,Address,Address Link,Hotel Website,Hotline,Ranking,Reviewers,Rating,Location rating,Cleanliness rating,Service rating,Value rating,Comment,Price,URL,Description,Award,Hotel Class,Hotel Style 1,Hotel Style 2,Language Spoken,Numbers of near Restaurants,Near Restaurant 1,Link Near Restaurant 1,Near Restaurant 2,Link Near Restaurant 2,Near Restaurant 3,Link Near Restaurant 3,Near Restaurant 4,Link Near Restaurant 4,Near Attraction 1,Link Near Attraction 1,Near Attraction 2,Link Near Attraction 2,Near Attraction 3,Link Near Attraction 3,Near Attraction 4,Link Near Attraction 4,Numbers of near Attractions,Hotel Image
Đà Nẵng,Hostel 15A,"15A Phan Dinh Phung Hai Chau, Da Nang Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=15&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=16.070000,108.220497&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|16.068287,108.223412|16.068329,108.222855|16.068058,108.223541|16.068623,108.223572|16.066736,108.223381|16.071100,108.217781|16.068291,108.224274|16.071329,108.217751|16.070173,108.217201&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|16.070000,108.220497|16.070860,108.217033|16.066936,108.220062|16.066008,108.219238|16.071976,108.218323|16.068823,108.224396|16.070160,108.217163|16.068960,108.222931|16.067560,108.220200|16.067837,108.217377&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|16.068739,108.224335|16.070183,108.224228|16.066305,108.221100|16.068478,108.224678|16.066307,108.220901|16.069147,108.223900|16.072489,108.219170|16.067780,108.220833|16.069046,108.220955&signature=PDkrmpuY4FdjZXlsDReAqX7f72w=",nan,nan,#83 of 146 hostels in Da Nang,1 review,5.0,nan,nan,nan,nan,Excellent,12,https://www.tripadvisor.com/Hotel_Review-g298085-d12664160-Reviews-Hostel_15A-Da_Nang.html,,nan,5.0 of 5 bubbles,nan,nan,nan,nan,Nhà Hàng Nhà Bếp Chợ Hàn,https://www.tripadvisor.com/Restaurant_Review-g298085-d24915485-Reviews-Nha_Hang_Nha_B_p_Ch_Han-Da_Nang.html,Olivia's Prime Steakhouse,https://www.tripadvisor.com/Restaurant_Review-g298085-d12254273-Reviews-Olivia_s_Prime_Steakhouse-Da_Nang.html,Quan Com Hue Ngon,https://www.tripadvisor.com/Restaurant_Review-g298085-d3811714-Reviews-Quan_Com_Hue_Ngon-Da_Nang.html,Happy Bread - Mi AA,https://www.tripadvisor.com/Restaurant_Review-g298085-d8415126-Reviews-Happy_Bread_Mi_AA-Da_Nang.html,Tabalo Outdoor,https://www.tripadvisor.com/Attraction_Review-g298085-d12364144-Reviews-Tabalo_Outdoor-Da_Nang.html,Khanh Hung Optical,https://www.tripadvisor.com/Attraction_Review-g298085-d25309254-Reviews-Khanh_Hung_Optical-Da_Nang.html,Tabalo Outdoor,https://www.tripadvisor.com/Attraction_Review-g298085-d17427209-Reviews-Tabalo_Outdoor-Da_Nang.html,Paul Bespoke Tailoring,https://www.tripadvisor.com/Attraction_Review-g298085-d9553001-Reviews-Paul_Bespoke_Tailoring-Da_Nang.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/2d/88/dc/4f/bedroom.jpg?w=700&h=-1&s=1
Đà Nẵng,Holiday Inn,"1397 Nguyen Tat Thanh, Thanh Khe Dong, Da Nang Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=13&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=16.075054,108.179863&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|16.065859,108.185715|16.071030,108.183090&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|16.075054,108.179863|16.069330,108.184128|16.078510,108.171562|16.068041,108.181740|16.075054,108.179863|16.073156,108.187363|16.075661,108.175819|16.075090,108.168961|16.078085,108.172691|16.074631,108.181091&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|16.064880,108.183128|16.075399,108.174667|16.068390,108.183128|16.069151,108.183762|16.071239,108.188889|16.075190,108.176910|16.076229,108.174507|16.069201,108.183617|16.066748,108.186874&signature=40S-r7wfGVeYBs9fcHv8SEuwRYY=",nan,nan,#112 of 300 small hotels in Da Nang,2 ,5.0,nan,nan,nan,nan,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g298085-d12410466-Reviews-Holiday_Inn-Da_Nang.html,,nan,5.0 of 5 bubbles,nan,nan,"English, Vietnamese",nan,Tai Ky Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d10818850-Reviews-Tai_Ky_Restaurant-Da_Nang.html,Coconut People,https://www.tripadvisor.com/Restaurant_Review-g298085-d17451337-Reviews-Coconut_People-Da_Nang.html,Pistachio My Khe Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d19255091-Reviews-Pistachio_My_Khe_Restaurant-Da_Nang.html,Food Center Da Nang,https://www.tripadvisor.com/Restaurant_Review-g298085-d13222247-Reviews-Food_Center_Da_Nang-Da_Nang.html,Xiaomi Đà Nẵng,https://www.tripadvisor.com/Attraction_Review-g298085-d26504716-Reviews-Xiaomi_Da_N_ng-Da_Nang.html,Nhà May Nhã Thu,https://www.tripadvisor.com/Attraction_Review-g298082-d27696383-Reviews-Nha_May_Nha_Thu-Hoi_An_Quang_Nam_Province.html,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/43/a7/11/khach-s-n-gia-hung.jpg?w=700&h=-1&s=1
Đà Nẵng,The Fish Village Villa,"14 Tran Sam Nai Hien Dong, Da Nang 550000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=16.102247,108.232574&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|16.068287,108.223412|16.068329,108.222855|16.067587,108.244820|16.040417,108.250214|16.107361,108.260719|16.105801,108.290222|16.099670,108.276955|16.095417,108.243103|16.094603,108.244766&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|16.102247,108.232574|16.066111,108.245026|16.067619,108.245201|16.061607,108.221756|16.053497,108.247673|16.066769,108.244789|16.053137,108.247711|16.069696,108.238434|16.085749,108.248207|16.066746,108.224663&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|16.067734,108.224785|16.065945,108.223755|16.057133,108.222099|16.043253,108.250931|16.066811,108.244514|16.063513,108.223213|16.052984,108.241577|16.043907,108.248245|16.082596,108.221275&signature=-t9AqomkACTVqTrJrFjJmbvObsM=",nan,nan,#30 of 65 hotels in Son Tra Peninsula,13 ,5.0,5.0,5.0,5.0,5.0,Excellent,139,https://www.tripadvisor.com/Hotel_Review-g17786366-d18900942-Reviews-The_Fish_Village_Villa-Son_Tra_Peninsula_Da_Nang.html,,nan,5.0 of 5 bubbles,Budget,City View,"English, Vietnamese",nan,Cardi Pizzeria Bạch Đằng,https://www.tripadvisor.com/Restaurant_Review-g298085-d24985405-Reviews-Cardi_Pizzeria_B_ch_D_ng-Da_Nang.html,Bep Que Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d25332443-Reviews-Bep_Que_Restaurant-Da_Nang.html,Cardi Pizzeria Da Nang,https://www.tripadvisor.com/Restaurant_Review-g298085-d24983321-Reviews-Cardi_Pizzeria_Da_Nang-Da_Nang.html,Ca Chuon Co Restaurant - Vietnamese Cuisine,https://www.tripadvisor.com/Restaurant_Review-g298085-d7000524-Reviews-Ca_Chuon_Co_Restaurant_Vietnamese_Cuisine-Da_Nang.html,Tabalo Outdoor,https://www.tripadvisor.com/Attraction_Review-g298085-d12364144-Reviews-Tabalo_Outdoor-Da_Nang.html,Khanh Hung Optical,https://www.tripadvisor.com/Attraction_Review-g298085-d25309254-Reviews-Khanh_Hung_Optical-Da_Nang.html,Sky 21 Bar,https://www.tripadvisor.com/Attraction_Review-g17786366-d12878841-Reviews-Sky_21_Bar-Son_Tra_Peninsula_Da_Nang.html,Namaka Jewelry,https://www.tripadvisor.com/Attraction_Review-g298085-d10063911-Reviews-Namaka_Jewelry-Da_Nang.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/64/36/e0/rooftop-pool.jpg?w=700&h=-1&s=1
Đà Nẵng,Flexi Hotel & Apartment,"35 Thai Phien, Phuoc Ninh, Hai Chau, Da Nang 50000 Vietnam",nan,nan,nan,#10 of 79 special hotels in Da Nang,6 ,5.0,5.0,nan,5.0,4.7,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g298085-d24191598-Reviews-Flexi_Hotel_Apartment-Da_Nang.html,,nan,5.0 of 5 bubbles,City View,Luxury,"English, Vietnamese",nan,Cardi Pizzeria Bạch Đằng,https://www.tripadvisor.com/Restaurant_Review-g298085-d24985405-Reviews-Cardi_Pizzeria_B_ch_D_ng-Da_Nang.html,Bep Que Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d25332443-Reviews-Bep_Que_Restaurant-Da_Nang.html,Xóm Mới Garden Đà Nẵng,https://www.tripadvisor.com/Restaurant_Review-g298085-d27166754-Reviews-Xom_M_i_Garden_Da_N_ng-Da_Nang.html,"Thien Kim Restaurant - Danang, Vietnam",https://www.tripadvisor.com/Restaurant_Review-g298085-d27988672-Reviews-Thien_Kim_Restaurant_Danang_Vietnam-Da_Nang.html,Tabalo Outdoor,https://www.tripadvisor.com/Attraction_Review-g298085-d12364144-Reviews-Tabalo_Outdoor-Da_Nang.html,Khanh Hung Optical,https://www.tripadvisor.com/Attraction_Review-g298085-d25309254-Reviews-Khanh_Hung_Optical-Da_Nang.html,Tabalo Outdoor,https://www.tripadvisor.com/Attraction_Review-g298085-d17427209-Reviews-Tabalo_Outdoor-Da_Nang.html,Paul Bespoke Tailoring,https://www.tripadvisor.com/Attraction_Review-g298085-d9553001-Reviews-Paul_Bespoke_Tailoring-Da_Nang.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/fa/74/f1/flexi-apartment.jpg?w=700&h=-1&s=1
Đà Nẵng,Mai Apartment,"9 Phạm Văn Đồng Son Tra, Da Nang 550000 Vietnam",nan,nan,nan,#4 of 8 B&Bs in Da Nang,38 ,4.5,4.4,4.7,4.6,4.5,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g298085-d12523174-Reviews-Mai_Apartment-Da_Nang.html,,nan,4.5 of 5 bubbles,Business,Trendy,"English, French, Spanish, Dutch and 3 more",nan,Burger House Da Nang,https://www.tripadvisor.com/Restaurant_Review-g19935676-d15326796-Reviews-Burger_House_Da_Nang-An_Hai_Bac_Son_Tra_Peninsula_Da_Nang.html,Tintin Seafood & Spa,https://www.tripadvisor.com/Restaurant_Review-g298085-d24159872-Reviews-Tintin_Seafood_Spa-Da_Nang.html,Nhà Hàng Chay 21 Grams - Vegetarian Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d24976312-Reviews-Nha_Hang_Chay_21_Grams_Vegetarian_Restaurant-Da_Nang.html,Jeremy's Kitchen,https://www.tripadvisor.com/Restaurant_Review-g298085-d13931957-Reviews-Jeremy_s_Kitchen-Da_Nang.html,Kirara Bar & Lounge,https://www.tripadvisor.com/Attraction_Review-g17786366-d19254864-Reviews-Kirara_Bar_Lounge-Son_Tra_Peninsula_Da_Nang.html,BLANK Lounge and Bar,https://www.tripadvisor.com/Attraction_Review-g298085-d25795942-Reviews-BLANK_Lounge_and_Bar-Da_Nang.html,Ymi Bar Counter & Lounge,https://www.tripadvisor.com/Attraction_Review-g298085-d24143065-Reviews-Ymi_Bar_Counter_Lounge-Da_Nang.html,Dana Show,https://www.tripadvisor.com/Attraction_Review-g298085-d16120932-Reviews-Dana_Show-Da_Nang.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/24/f0/ae/deluxe-room-with-balcony.jpg?w=700&h=-1&s=1
Đà Nẵng,Cali Hotel Da Nang,"82 Loseby, Da Nang 59000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=15&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=16.073561,108.242538&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|16.073278,108.246811|16.076651,108.239731|16.073509,108.240982|16.069561,108.242378|16.072079,108.243217|16.073278,108.246834&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|16.073561,108.242538|16.073870,108.244202|16.075691,108.244827|16.073950,108.244629|16.069538,108.241821|16.072115,108.244667|16.074327,108.244698|16.069450,108.242119|16.070349,108.242828|16.070820,108.241615&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|16.073734,108.240845|16.071707,108.242836|16.070358,108.242844|16.073467,108.243126|16.069254,108.242638|16.075390,108.241058|16.071690,108.241997|16.070042,108.242828|16.070301,108.242683&signature=N2OOIMqg-Eoiz-VZbXZUnMZZ568=",nan,nan,#3 of 18 inns in Da Nang,55 ,4.5,4.3,4.5,4.7,4.7,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g298085-d4885943-Reviews-Cali_Hotel_Da_Nang-Da_Nang.html,"Finding an ideal charming inn in Da Nang does not have to be difficult. Welcome to Cali Hotel Da Nang, a nice option for travelers like you. Cali Hotel Da Nang offers guests an array of room amenities including air conditioning, a refrigerator, and a minibar, and getting online is possible, as free wifi is available. The inn offers a 24 hour front desk, a concierge, and room service, to make your visit even more pleasant. Guests arriving by vehicle have access to free parking. For those interested in checking out popular landmarks while visiting Da Nang, Cali Hotel Da Nang is located a short distance from DHC Marina (0.0 mi) and Han River Bridge (0.6 mi). When you’re feeling hungry, be sure to check out Red Pepper, Da Nang Com Chay ( The Peace Vegan Restaurant), and Kin Kin - Thai food, which are some Thai restaurants that are popular with locals and out-of-towners alike. Should time allow, Riverside Park is a popular park that is relatively easy to get to. Cali Hotel Da Nang puts the best of Da Nang at your fingertips, making your stay both relaxing and enjoyable.",nan,4.5 of 5 bubbles,Budget,Modern,"English, Vietnamese",nan,Cabanon Palace,https://www.tripadvisor.com/Restaurant_Review-g298085-d14199145-Reviews-Cabanon_Palace-Da_Nang.html,My Casa,https://www.tripadvisor.com/Restaurant_Review-g298085-d6540733-Reviews-My_Casa-Da_Nang.html,Sofia Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d7906896-Reviews-Sofia_Restaurant-Da_Nang.html,The Temptation Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d15661457-Reviews-The_Temptation_Restaurant-Da_Nang.html,Bãi Tắm Phạm Văn Đồng,https://www.tripadvisor.com/Attraction_Review-g17786366-d17807015-Reviews-Bai_T_m_Ph_m_Van_D_ng-Son_Tra_Peninsula_Da_Nang.html,Ball and Bee’s Home,https://www.tripadvisor.com/Attraction_Review-g298085-d15512119-Reviews-Ball_and_Bee_s_Home-Da_Nang.html,Nha Tho Giao Xu An Hai,https://www.tripadvisor.com/Attraction_Review-g298085-d17663078-Reviews-Nha_Tho_Giao_Xu_An_Hai-Da_Nang.html,Ao Dai Quynh Vy,https://www.tripadvisor.com/Attraction_Review-g298085-d15674699-Reviews-Ao_Dai_Quynh_Vy-Da_Nang.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/21/60/c2/family-room--v17111028.jpg?w=700&h=-1&s=1
Đà Nẵng,Zen Diamond Suites Hotel,"16 Ly Thuong Kiet Thach Thang, Hai Chau, Da Nang 550000 Vietnam",nan,nan,nan,#193 of 592 hotels in Da Nang,66 ,4.0,4.1,4.0,4.1,3.9,Very good,nan,https://www.tripadvisor.com/Hotel_Review-g298085-d12704763-Reviews-Zen_Diamond_Suites_Hotel-Da_Nang.html,"Finding an ideal family-friendly hotel in Da Nang does not have to be difficult. Welcome to Zen Diamond Suites Hotel, a nice option for travelers like you. Guest rooms offer air conditioning and a kitchenette, and Zen Diamond Suites Hotel makes getting online easy as free wifi is available. You can also take advantage of some of the amenities offered by the hotel, including a 24 hour front desk, a concierge, and room service. In addition, guests can enjoy a pool and an on-site restaurant during their visit. As an added convenience, there is free parking available to guests. Given the close proximity of popular landmarks, such as Cao Dai Temple (0.5 mi) and Vietland Discovery (0.7 mi), guests of Zen Diamond Suites Hotel can easily experience some of Da Nang's most well known attractions. If you like cafes, Zen Diamond Suites Hotel is conveniently located near Cong caphe, Happy Heart Cafe, and Kangaroo Bar. Da Nang is also known for some great art museums, including Art in Paradise (3D TRICK ART) and Da Nang Fine Arts Museum, which are not too far from Zen Diamond Suites Hotel. Zen Diamond Suites Hotel puts the best of Da Nang at your fingertips, making your stay both relaxing and enjoyable.",nan,4.0 of 5 bubbles,Family,"English, Japanese, Korean, Vietnamese","English, Japanese, Korean, Vietnamese",nan,The Gypsy Rooftop Restaurant & Bar,https://www.tripadvisor.com/Restaurant_Review-g298085-d25502987-Reviews-The_Gypsy_Rooftop_Restaurant_Bar-Da_Nang.html,Bistecca Restaurant Da Nang,https://www.tripadvisor.com/Restaurant_Review-g298085-d13236259-Reviews-Bistecca_Restaurant_Da_Nang-Da_Nang.html,Le Rendez Vous,https://www.tripadvisor.com/Restaurant_Review-g298085-d8496273-Reviews-Le_Rendez_Vous-Da_Nang.html,Luna Pub Danang,https://www.tripadvisor.com/Restaurant_Review-g298085-d3458705-Reviews-Luna_Pub_Danang-Da_Nang.html,Ket High Cocktail Bar,https://www.tripadvisor.com/Attraction_Review-g298085-d27699650-Reviews-Ket_High_Cocktail_Bar-Da_Nang.html,Da Nang Museum,https://www.tripadvisor.com/Attraction_Review-g298085-d8400852-Reviews-Da_Nang_Museum-Da_Nang.html,Sevva Sky Lounge,https://www.tripadvisor.com/Attraction_Review-g298085-d13990190-Reviews-Sevva_Sky_Lounge-Da_Nang.html,Phu Luxury Wine & Cigar Da Nang,https://www.tripadvisor.com/Attraction_Review-g25231262-d27155957-Reviews-Phu_Luxury_Wine_Cigar_Da_Nang-Hai_Chau_Da_Nang.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/22/08/45/zen-diamond-suites-hotel.jpg?w=700&h=-1&s=1
Đà Nẵng,SPOT ON 883 Hachi Hostel,"100/2 Nguyen Thi Minh Khai, Da Nang 550000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=15&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=16.071976,108.218323&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|16.071100,108.217781|16.074780,108.220222|16.071329,108.217751|16.070173,108.217201|16.071194,108.218079|16.071114,108.220772|16.074551,108.220055|16.076019,108.217773|16.074680,108.218468&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|16.071976,108.218323|16.070860,108.217033|16.070803,108.215523|16.071976,108.218323|16.070160,108.217163|16.067837,108.217377|16.075016,108.216782|16.068199,108.220306|16.074711,108.218620|16.069901,108.217102&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|16.074459,108.216698|16.074722,108.220345|16.074993,108.220009|16.072489,108.219170|16.069046,108.220955|16.074858,108.220055|16.070852,108.216110|16.070995,108.221161|16.071472,108.220840&signature=TI1plsII8eKOBJe8NTyCmOkB0r4=",nan,nan,#15 of 146 hostels in Da Nang,61 ,4.5,4.6,3.9,4.6,4.5,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g298085-d8488329-Reviews-SPOT_ON_883_Hachi_Hostel-Da_Nang.html,,nan,4.5 of 5 bubbles,Budget,Charming,"English, Vietnamese",nan,Le Bambino,https://www.tripadvisor.com/Restaurant_Review-g298085-d2320240-Reviews-Le_Bambino-Da_Nang.html,Đom Đóm Bbq Buffet Đà Nẵng,https://www.tripadvisor.com/Restaurant_Review-g298085-d27437019-Reviews-Dom_Dom_Bbq_Buffet_Da_N_ng-Da_Nang.html,Lang Nghe Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d8692513-Reviews-Lang_Nghe_Restaurant-Da_Nang.html,Mi Quang 1A,https://www.tripadvisor.com/Restaurant_Review-g298085-d8143366-Reviews-Mi_Quang_1A-Da_Nang.html,Da Nang Fine Arts Museum,https://www.tripadvisor.com/Attraction_Review-g298085-d12179215-Reviews-Da_Nang_Fine_Arts_Museum-Da_Nang.html,Love Bridge Da Nang,https://www.tripadvisor.com/Attraction_Review-g17786366-d17807020-Reviews-Love_Bridge_Da_Nang-Son_Tra_Peninsula_Da_Nang.html,Bao Tang Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d8449612-Reviews-Bao_Tang_Da_Nang-Da_Nang.html,Perdu - Cocktail Bar,https://www.tripadvisor.com/Attraction_Review-g298085-d7237522-Reviews-Perdu_Cocktail_Bar-Da_Nang.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/d9/5a/93/img-20170323-wa0016-largejpg.jpg?w=700&h=-1&s=1
Đà Nẵng,Moc Lan Boutique Hotel,"20 Phuoc Truong 8 Phuoc My Ward, Son Tra Dist, Da Nang 555555 Vietnam",nan,nan,nan,#5 of 8 boutique hotels in Da Nang,27 ,4.5,4.0,4.8,4.9,5.0,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g298085-d12681841-Reviews-Moc_Lan_Boutique_Hotel-Da_Nang.html,,nan,4.5 of 5 bubbles,Boutique,Quaint,"English, Vietnamese",nan,The Eatery,https://www.tripadvisor.com/Restaurant_Review-g298085-d15815450-Reviews-The_Eatery-Da_Nang.html,Horizon Bar,https://www.tripadvisor.com/Restaurant_Review-g298085-d15362960-Reviews-Horizon_Bar-Da_Nang.html,Cabanon Palace,https://www.tripadvisor.com/Restaurant_Review-g298085-d14199145-Reviews-Cabanon_Palace-Da_Nang.html,The Lounge,https://www.tripadvisor.com/Restaurant_Review-g298085-d19000556-Reviews-The_Lounge-Da_Nang.html,Malibu Club,https://www.tripadvisor.com/Attraction_Review-g298085-d25383493-Reviews-Malibu_Club-Da_Nang.html,Ball and Bee’s Home,https://www.tripadvisor.com/Attraction_Review-g298085-d15512119-Reviews-Ball_and_Bee_s_Home-Da_Nang.html,Nha Tho Giao Xu An Hai,https://www.tripadvisor.com/Attraction_Review-g298085-d17663078-Reviews-Nha_Tho_Giao_Xu_An_Hai-Da_Nang.html,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/5a/eb/6a/photo4jpg.jpg?w=700&h=-1&s=1
Đà Nẵng,Da Nang Riverside Hotel,"A30 Tran Hung Dao Street Son Tra District, Da Nang 550000 Vietnam",nan,nan,nan,#198 of 592 hotels in Da Nang,150 ,3.5,3.8,3.4,3.6,3.7,Very good,nan,https://www.tripadvisor.com/Hotel_Review-g298085-d1198755-Reviews-Da_Nang_Riverside_Hotel-Da_Nang.html,,nan,3.5 of 5 bubbles,River View,Mid-range,Vietnamese,nan,La Cabana - House of BBQ,https://www.tripadvisor.com/Restaurant_Review-g298085-d25073751-Reviews-La_Cabana_House_of_BBQ-Da_Nang.html,Fatfish Restaurant & Lounge Bar,https://www.tripadvisor.com/Restaurant_Review-g25197573-d8527479-Reviews-Fatfish_Restaurant_Lounge_Bar-An_Hai_Son_Tra_Peninsula_Da_Nang.html,L'italiano Riverside,https://www.tripadvisor.com/Restaurant_Review-g298085-d27732890-Reviews-L_italiano_Riverside-Da_Nang.html,Bà Năm Seafood,https://www.tripadvisor.com/Restaurant_Review-g298085-d25343877-Reviews-Ba_Nam_Seafood-Da_Nang.html,Dragon Bridge,https://www.tripadvisor.com/Attraction_Review-g298085-d6612108-Reviews-Dragon_Bridge-Da_Nang.html,DHC Marina,https://www.tripadvisor.com/Attraction_Review-g298085-d8115500-Reviews-DHC_Marina-Da_Nang.html,Son Tra Night Market,https://www.tripadvisor.com/Attraction_Review-g17786366-d15852704-Reviews-Son_Tra_Night_Market-Son_Tra_Peninsula_Da_Nang.html,Hantou Souvenirs Shop,https://www.tripadvisor.com/Attraction_Review-g298085-d11620651-Reviews-Hantou_Souvenirs_Shop-Da_Nang.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/b6/26/29/pool-is-amazingg.jpg?w=700&h=-1&s=1
