Tourist Attraction,Hotel Name,Address,Address Link,Hotel Website,Hotline,Ranking,Reviewers,Rating,Location rating,Cleanliness rating,Service rating,Value rating,Comment,Price,URL,Description,Award,Hotel Class,Hotel Style 1,Hotel Style 2,Language Spoken,Numbers of near Restaurants,Near Restaurant 1,Link Near Restaurant 1,Near Restaurant 2,Link Near Restaurant 2,Near Restaurant 3,Link Near Restaurant 3,Near Restaurant 4,Link Near Restaurant 4,Near Attraction 1,Link Near Attraction 1,Near Attraction 2,Link Near Attraction 2,Near Attraction 3,Link Near Attraction 3,Near Attraction 4,Link Near Attraction 4,Numbers of near Attractions,Hotel Image
Điện Biên,Mường Thanh Grand Điện Biên Phủ,"514 Vo Nguyen Giap Str. Him Lam, Dien Bien Phu Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=21.400705,103.022064&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|21.392456,103.018417|21.380707,103.015099|21.407240,103.033379|21.412239,103.005722|21.387260,103.013512|21.406389,103.032158&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|21.400705,103.022064|21.400705,103.022064|21.389896,103.014404|21.392977,103.011055|21.396481,103.019577|21.392345,103.011383|21.385284,103.019157|21.380070,103.016167|21.405237,103.043243|21.387445,103.027641&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|21.395784,103.020599|21.384026,103.010460|21.383265,103.010818|21.402262,103.023354|21.396898,103.022003|21.402262,103.023354|21.383404,103.015732|21.409286,103.035423|21.408873,103.042633&signature=zSMxzr_3gJ0koBmiVHwczQtgsWY=",nan,nan,#1 of 8 hotels in Dien Bien Phu,195 ,3.5,3.7,3.8,3.6,3.5,Very good,44,https://www.tripadvisor.com/Hotel_Review-g662329-d655574-Reviews-Mu_ng_Thanh_Grand_Di_n_Bien_Ph-Dien_Bien_Phu_Dien_Bien_Province.html,,nan,3.5 of 5 bubbles,Quiet,Modern,"English, Vietnamese",23,Yen Ninh vegetarian restaurant,https://www.tripadvisor.com/Restaurant_Review-g662329-d4064123-Reviews-Yen_Ninh_vegetarian_restaurant-Dien_Bien_Phu_Dien_Bien_Province.html,Quà Tây Bắc,https://www.tripadvisor.com/Restaurant_Review-g662329-d26458735-Reviews-Qua_Tay_B_c-Dien_Bien_Phu_Dien_Bien_Province.html,Dan Toc Quan,https://www.tripadvisor.com/Restaurant_Review-g662329-d3940634-Reviews-Dan_Toc_Quan-Dien_Bien_Phu_Dien_Bien_Province.html,Xo Coffee,https://www.tripadvisor.com/Restaurant_Review-g662329-d26800397-Reviews-Xo_Coffee-Dien_Bien_Phu_Dien_Bien_Province.html,A1 Hill,https://www.tripadvisor.com/Attraction_Review-g662329-d8855040-Reviews-A1_Hill-Dien_Bien_Phu_Dien_Bien_Province.html,Dien Bien Phu Museum,https://www.tripadvisor.com/Attraction_Review-g662329-d11918847-Reviews-Dien_Bien_Phu_Museum-Dien_Bien_Phu_Dien_Bien_Province.html,Dien Bien Phu Military Cemetery,https://www.tripadvisor.com/Attraction_Review-g662329-d8861348-Reviews-Dien_Bien_Phu_Military_Cemetery-Dien_Bien_Phu_Dien_Bien_Province.html,Bunker of Colonel de Castries,https://www.tripadvisor.com/Attraction_Review-g662329-d8861351-Reviews-Bunker_of_Colonel_de_Castries-Dien_Bien_Phu_Dien_Bien_Province.html,6,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/9b/4f/8a/caption.jpg?w=700&h=-1&s=1
Điện Biên,Phuong Nam Hotel,"211, Group 3, Tan Thanh ward, Dien Bien Phu Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=13&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=21.396481,103.019577&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|21.392456,103.018417|21.387260,103.013512&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|21.396481,103.019577|21.400705,103.022064|21.389896,103.014404|21.392977,103.011055|21.396481,103.019577|21.392345,103.011383|21.392956,103.011116|21.392881,103.011047|21.393389,103.020859|21.395710,103.018929&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|21.395784,103.020599|21.402262,103.023354|21.396898,103.022003|21.402262,103.023354|21.394514,103.017029|21.389284,103.011024|21.389223,103.014809|21.397509,103.021301|21.396805,103.022118&signature=bKQuOuk4Gn-aKKVjh4FDWzane_c=",nan,nan,#2 of 8 hotels in Dien Bien Phu,25 ,4.0,4.8,5.0,4.4,4.3,Very good,nan,https://www.tripadvisor.com/Hotel_Review-g662329-d8042293-Reviews-Phuong_Nam_Hotel-Dien_Bien_Phu_Dien_Bien_Province.html,,nan,4.0 of 5 bubbles,Family,Trendy,"English, Thai, Vietnamese",13,Yen Ninh vegetarian restaurant,https://www.tripadvisor.com/Restaurant_Review-g662329-d4064123-Reviews-Yen_Ninh_vegetarian_restaurant-Dien_Bien_Phu_Dien_Bien_Province.html,Xo Coffee,https://www.tripadvisor.com/Restaurant_Review-g662329-d26800397-Reviews-Xo_Coffee-Dien_Bien_Phu_Dien_Bien_Province.html,La Boong,https://www.tripadvisor.com/Restaurant_Review-g662329-d27997394-Reviews-La_Boong-Dien_Bien_Phu_Dien_Bien_Province.html,X.o Coffee,https://www.tripadvisor.com/Restaurant_Review-g662329-d26799647-Reviews-X_o_Coffee-Dien_Bien_Phu_Dien_Bien_Province.html,A1 Hill,https://www.tripadvisor.com/Attraction_Review-g662329-d8855040-Reviews-A1_Hill-Dien_Bien_Phu_Dien_Bien_Province.html,Muong Thanh Market,https://www.tripadvisor.com/Attraction_Review-g662329-d19507246-Reviews-Muong_Thanh_Market-Dien_Bien_Phu_Dien_Bien_Province.html,Tên không xác định,,Tên không xác định,,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/e1/96/bb/phuong-nam-hotel.jpg?w=700&h=-1&s=1
Điện Biên,Ruby Hotel,"43, Team 11, Muong Thanh Ward, Dien Bien Phu 02303 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=13&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=21.389896,103.014404&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|21.392456,103.018417|21.380707,103.015099|21.387260,103.013512&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|21.389896,103.014404|21.389896,103.014404|21.392977,103.011055|21.396481,103.019577|21.392345,103.011383|21.385284,103.019157|21.380070,103.016167|21.392956,103.011116|21.382076,103.019783|21.392881,103.011047&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|21.395784,103.020599|21.384026,103.010460|21.383265,103.010818|21.396898,103.022003|21.383404,103.015732|21.394514,103.017029|21.388155,103.009399|21.386021,103.023010|21.384377,103.017174&signature=vf_gBUd88GSoG4n_BnUzMuDt_hU=",nan,nan,#1 of 6 small hotels in Dien Bien Phu,108 ,4.5,4.7,4.7,4.5,4.5,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g662329-d6936607-Reviews-Ruby_Hotel-Dien_Bien_Phu_Dien_Bien_Province.html,,nan,4.5 of 5 bubbles,Modern,Business,"English, French, Vietnamese",19,Yen Ninh vegetarian restaurant,https://www.tripadvisor.com/Restaurant_Review-g662329-d4064123-Reviews-Yen_Ninh_vegetarian_restaurant-Dien_Bien_Phu_Dien_Bien_Province.html,Quà Tây Bắc,https://www.tripadvisor.com/Restaurant_Review-g662329-d26458735-Reviews-Qua_Tay_B_c-Dien_Bien_Phu_Dien_Bien_Province.html,Dan Toc Quan,https://www.tripadvisor.com/Restaurant_Review-g662329-d3940634-Reviews-Dan_Toc_Quan-Dien_Bien_Phu_Dien_Bien_Province.html,La Boong,https://www.tripadvisor.com/Restaurant_Review-g662329-d27997394-Reviews-La_Boong-Dien_Bien_Phu_Dien_Bien_Province.html,A1 Hill,https://www.tripadvisor.com/Attraction_Review-g662329-d8855040-Reviews-A1_Hill-Dien_Bien_Phu_Dien_Bien_Province.html,Dien Bien Phu Museum,https://www.tripadvisor.com/Attraction_Review-g662329-d11918847-Reviews-Dien_Bien_Phu_Museum-Dien_Bien_Phu_Dien_Bien_Province.html,Muong Thanh Market,https://www.tripadvisor.com/Attraction_Review-g662329-d19507246-Reviews-Muong_Thanh_Market-Dien_Bien_Phu_Dien_Bien_Province.html,Tên không xác định,,3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/8c/ae/1c/ruby-hotel.jpg?w=700&h=-1&s=1
Điện Biên,Frontier Hostel & Tours,"8 Lo Van Hac, Dien Bien Phu 380000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=13&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=21.392977,103.011055&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|21.392456,103.018417|21.387260,103.013512&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|21.392977,103.011055|21.389896,103.014404|21.392977,103.011055|21.396481,103.019577|21.392345,103.011383|21.385284,103.019157|21.392956,103.011116|21.392881,103.011047|21.393389,103.020859|21.395710,103.018929&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|21.395784,103.020599|21.384026,103.010460|21.383265,103.010818|21.383404,103.015732|21.394514,103.017029|21.388155,103.009399|21.384377,103.017174|21.389284,103.011024|21.389223,103.014809&signature=smkw7Tqu1X7W4lRbKDjYSr71Ng4=",nan,nan,#1 of 5 hostels in Dien Bien Phu,14 ,5.0,4.8,5.0,5.0,5.0,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g662329-d25314395-Reviews-Frontier_Hostel_Tours-Dien_Bien_Phu_Dien_Bien_Province.html,,nan,5.0 of 5 bubbles,Budget,Charming,"English, Vietnamese",14,Yen Ninh vegetarian restaurant,https://www.tripadvisor.com/Restaurant_Review-g662329-d4064123-Reviews-Yen_Ninh_vegetarian_restaurant-Dien_Bien_Phu_Dien_Bien_Province.html,Quà Tây Bắc,https://www.tripadvisor.com/Restaurant_Review-g662329-d26458735-Reviews-Qua_Tay_B_c-Dien_Bien_Phu_Dien_Bien_Province.html,Dan Toc Quan,https://www.tripadvisor.com/Restaurant_Review-g662329-d3940634-Reviews-Dan_Toc_Quan-Dien_Bien_Phu_Dien_Bien_Province.html,Nhà Hàng - 70 - Cơm Tự Chọn - Cơm Rang - Các Món Ăn Dân Tộc.,https://www.tripadvisor.com/Restaurant_Review-g662329-d26867544-Reviews-Nha_Hang_70_Com_T_Ch_n_Com_Rang_Cac_Mon_An_Dan_T_c-Dien_Bien_Phu_Dien_Bien_Provi.html,A1 Hill,https://www.tripadvisor.com/Attraction_Review-g662329-d8855040-Reviews-A1_Hill-Dien_Bien_Phu_Dien_Bien_Province.html,Muong Thanh Market,https://www.tripadvisor.com/Attraction_Review-g662329-d19507246-Reviews-Muong_Thanh_Market-Dien_Bien_Phu_Dien_Bien_Province.html,Tên không xác định,,Tên không xác định,,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/c0/3e/36/caption.jpg?w=700&h=-1&s=1
Điện Biên,An Loc Hotel,"39 Nguyen Chi Thanh, Dien Bien Phu 03415 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=13&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=21.390368,103.014938&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|21.392456,103.018417|21.380707,103.015099|21.387260,103.013512&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|21.390368,103.014938|21.389896,103.014404|21.392977,103.011055|21.396481,103.019577|21.392345,103.011383|21.385284,103.019157|21.380070,103.016167|21.392956,103.011116|21.382076,103.019783|21.392881,103.011047&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|21.395784,103.020599|21.384026,103.010460|21.383265,103.010818|21.396898,103.022003|21.383404,103.015732|21.394514,103.017029|21.388155,103.009399|21.386021,103.023010|21.384377,103.017174&signature=7EBM2FAxxJG5nDI0fCsWHsNvj8k=",nan,nan,#5 of 8 hotels in Dien Bien Phu,2 ,3.5,5.0,nan,5.0,4.0,Very good,18,https://www.tripadvisor.com/Hotel_Review-g662329-d20316470-Reviews-An_Loc_Hotel-Dien_Bien_Phu_Dien_Bien_Province.html,,nan,3.5 of 5 bubbles,Budget,Business,nan,19,Yen Ninh vegetarian restaurant,https://www.tripadvisor.com/Restaurant_Review-g662329-d4064123-Reviews-Yen_Ninh_vegetarian_restaurant-Dien_Bien_Phu_Dien_Bien_Province.html,Quà Tây Bắc,https://www.tripadvisor.com/Restaurant_Review-g662329-d26458735-Reviews-Qua_Tay_B_c-Dien_Bien_Phu_Dien_Bien_Province.html,Dan Toc Quan,https://www.tripadvisor.com/Restaurant_Review-g662329-d3940634-Reviews-Dan_Toc_Quan-Dien_Bien_Phu_Dien_Bien_Province.html,La Boong,https://www.tripadvisor.com/Restaurant_Review-g662329-d27997394-Reviews-La_Boong-Dien_Bien_Phu_Dien_Bien_Province.html,A1 Hill,https://www.tripadvisor.com/Attraction_Review-g662329-d8855040-Reviews-A1_Hill-Dien_Bien_Phu_Dien_Bien_Province.html,Dien Bien Phu Museum,https://www.tripadvisor.com/Attraction_Review-g662329-d11918847-Reviews-Dien_Bien_Phu_Museum-Dien_Bien_Phu_Dien_Bien_Province.html,Muong Thanh Market,https://www.tripadvisor.com/Attraction_Review-g662329-d19507246-Reviews-Muong_Thanh_Market-Dien_Bien_Phu_Dien_Bien_Province.html,Tên không xác định,,3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/73/3c/09/khu-v-c-l-tan.jpg?w=700&h=-1&s=1
Điện Biên,Phadin Hotel,"63, Group 3, Thanh Binh ward, Dien Bien Phu Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=13&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=21.392345,103.011383&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|21.392456,103.018417|21.387260,103.013512&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|21.392345,103.011383|21.389896,103.014404|21.392977,103.011055|21.396481,103.019577|21.392345,103.011383|21.385284,103.019157|21.392956,103.011116|21.392881,103.011047|21.393389,103.020859|21.395710,103.018929&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|21.395784,103.020599|21.384026,103.010460|21.383265,103.010818|21.383404,103.015732|21.394514,103.017029|21.388155,103.009399|21.384377,103.017174|21.389284,103.011024|21.389223,103.014809&signature=8D5nT4mJsLYS1PlMGSs26d6wpLg=",nan,nan,#3 of 8 hotels in Dien Bien Phu,22 ,4.0,4.7,5.0,4.2,5.0,Very good,nan,https://www.tripadvisor.com/Hotel_Review-g662329-d12282685-Reviews-Phadin_Hotel-Dien_Bien_Phu_Dien_Bien_Province.html,"See why so many travelers make Phadin Hotel their hotel of choice when visiting Dien Bien Phu. Providing an ideal mix of value, comfort and convenience, it offers a budget friendly setting with an array of amenities designed for travelers like you. Dien Bien Phu Military Cemetery (1.7 mi), located nearby, makes Phadin Hotel a great place to stay for those interested in visiting this popular Dien Bien Phu landmark. Phadin Hotel is a budget friendly hotel offering air conditioning, a kitchenette, and a refrigerator in the rooms, and it is easy to stay connected during your stay as free wifi is offered to guests. The hotel features a 24 hour front desk, room service, and 24 hour check-in. Plus, guests can enjoy breakfast, which has made this a popular choice among travelers visiting Dien Bien Phu. For guests with a vehicle, free parking is available. If you are looking for a good seafood restaurant, you may want to check out Thaisphere Restaurant while staying at Phadin Hotel. Should time allow, Dien Bien Phu Museum and A1 Hill are some popular attractions that are within walking distance. At Phadin Hotel, your comfort and satisfaction come first, and they look forward to welcoming you to Dien Bien Phu.",nan,4.0 of 5 bubbles,Charming,Classic,"English, Chinese, Vietnamese",16,Yen Ninh vegetarian restaurant,https://www.tripadvisor.com/Restaurant_Review-g662329-d4064123-Reviews-Yen_Ninh_vegetarian_restaurant-Dien_Bien_Phu_Dien_Bien_Province.html,Quà Tây Bắc,https://www.tripadvisor.com/Restaurant_Review-g662329-d26458735-Reviews-Qua_Tay_B_c-Dien_Bien_Phu_Dien_Bien_Province.html,Dan Toc Quan,https://www.tripadvisor.com/Restaurant_Review-g662329-d3940634-Reviews-Dan_Toc_Quan-Dien_Bien_Phu_Dien_Bien_Province.html,Nhà Hàng - 70 - Cơm Tự Chọn - Cơm Rang - Các Món Ăn Dân Tộc.,https://www.tripadvisor.com/Restaurant_Review-g662329-d26867544-Reviews-Nha_Hang_70_Com_T_Ch_n_Com_Rang_Cac_Mon_An_Dan_T_c-Dien_Bien_Phu_Dien_Bien_Provi.html,A1 Hill,https://www.tripadvisor.com/Attraction_Review-g662329-d8855040-Reviews-A1_Hill-Dien_Bien_Phu_Dien_Bien_Province.html,Muong Thanh Market,https://www.tripadvisor.com/Attraction_Review-g662329-d19507246-Reviews-Muong_Thanh_Market-Dien_Bien_Phu_Dien_Bien_Province.html,Tên không xác định,,Tên không xác định,,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/d2/3d/91/getlstd-property-photo.jpg?w=700&h=-1&s=1
Điện Biên,Homestay A1,"70 Group 19, Hoang Cong Chat Street Muong Thanh Ward, Dien Bien Phu Vietnam",nan,nan,nan,#2 of 5 hostels in Dien Bien Phu,8 ,5.0,5.0,5.0,5.0,nan,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g662329-d12812818-Reviews-Homestay_A1-Dien_Bien_Phu_Dien_Bien_Province.html,,nan,5.0 of 5 bubbles,Family,Quaint,"English, Vietnamese",15,Yen Ninh vegetarian restaurant,https://www.tripadvisor.com/Restaurant_Review-g662329-d4064123-Reviews-Yen_Ninh_vegetarian_restaurant-Dien_Bien_Phu_Dien_Bien_Province.html,Quà Tây Bắc,https://www.tripadvisor.com/Restaurant_Review-g662329-d26458735-Reviews-Qua_Tay_B_c-Dien_Bien_Phu_Dien_Bien_Province.html,Dan Toc Quan,https://www.tripadvisor.com/Restaurant_Review-g662329-d3940634-Reviews-Dan_Toc_Quan-Dien_Bien_Phu_Dien_Bien_Province.html,Nhà Hàng - 70 - Cơm Tự Chọn - Cơm Rang - Các Món Ăn Dân Tộc.,https://www.tripadvisor.com/Restaurant_Review-g662329-d26867544-Reviews-Nha_Hang_70_Com_T_Ch_n_Com_Rang_Cac_Mon_An_Dan_T_c-Dien_Bien_Phu_Dien_Bien_Provi.html,A1 Hill,https://www.tripadvisor.com/Attraction_Review-g662329-d8855040-Reviews-A1_Hill-Dien_Bien_Phu_Dien_Bien_Province.html,Dien Bien Phu Museum,https://www.tripadvisor.com/Attraction_Review-g662329-d11918847-Reviews-Dien_Bien_Phu_Museum-Dien_Bien_Phu_Dien_Bien_Province.html,Muong Thanh Market,https://www.tripadvisor.com/Attraction_Review-g662329-d19507246-Reviews-Muong_Thanh_Market-Dien_Bien_Phu_Dien_Bien_Province.html,Tên không xác định,,3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/83/e1/89/bedroom-with-balcony.jpg?w=700&h=-1&s=1
Điện Biên,A1 Hotel,"No 3 Hoang Cong Chat Street, Muong Thanh Ward, Dien Bien Phu Vietnam",nan,nan,nan,#6 of 8 hotels in Dien Bien Phu,12 ,3.5,2.0,4.0,3.5,2.5,Very good,23,https://www.tripadvisor.com/Hotel_Review-g662329-d10307044-Reviews-A1_Hotel-Dien_Bien_Phu_Dien_Bien_Province.html,,nan,3.5 of 5 bubbles,Mid-range,Classic,nan,13,Quà Tây Bắc,https://www.tripadvisor.com/Restaurant_Review-g662329-d26458735-Reviews-Qua_Tay_B_c-Dien_Bien_Phu_Dien_Bien_Province.html,Dan Toc Quan,https://www.tripadvisor.com/Restaurant_Review-g662329-d3940634-Reviews-Dan_Toc_Quan-Dien_Bien_Phu_Dien_Bien_Province.html,Nhà Hàng - 70 - Cơm Tự Chọn - Cơm Rang - Các Món Ăn Dân Tộc.,https://www.tripadvisor.com/Restaurant_Review-g662329-d26867544-Reviews-Nha_Hang_70_Com_T_Ch_n_Com_Rang_Cac_Mon_An_Dan_T_c-Dien_Bien_Phu_Dien_Bien_Provi.html,Tocotoco,https://www.tripadvisor.com/Restaurant_Review-g662329-d23885448-Reviews-Tocotoco-Dien_Bien_Phu_Dien_Bien_Province.html,A1 Hill,https://www.tripadvisor.com/Attraction_Review-g662329-d8855040-Reviews-A1_Hill-Dien_Bien_Phu_Dien_Bien_Province.html,Dien Bien Phu Museum,https://www.tripadvisor.com/Attraction_Review-g662329-d11918847-Reviews-Dien_Bien_Phu_Museum-Dien_Bien_Phu_Dien_Bien_Province.html,Muong Thanh Market,https://www.tripadvisor.com/Attraction_Review-g662329-d19507246-Reviews-Muong_Thanh_Market-Dien_Bien_Phu_Dien_Bien_Province.html,Tên không xác định,,3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/55/84/3c/phong-twin.jpg?w=700&h=-1&s=1
Điện Biên,Hong Ky Hotel & Cafe Restaurant,"85 Tan Tien Group, Center Tuan Giao town, Dien Bien Phu Vietnam",nan,nan,nan,#1 of 3 guest houses in Dien Bien Phu,8 ,4.5,4.7,4.5,4.6,5.0,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g662329-d5958143-Reviews-Hong_Ky_Hotel_Cafe_Restaurant-Dien_Bien_Phu_Dien_Bien_Province.html,No description available,nan,4.5 of 5 bubbles,Charming,Quaint,"English, Vietnamese",Frequently,Coffee The Town,https://www.tripadvisor.com/Restaurant_Review-g19144761-d26162206-Reviews-Coffee_The_Town-Tuan_Giao_Dien_Bien_Province.html,Khách sạn Tây Bắc,https://www.tripadvisor.com/Restaurant_Review-g19144761-d23915427-Reviews-Khach_s_n_Tay_B_c-Tuan_Giao_Dien_Bien_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/09/f1/43/hong-ky-hotel-cafe-restaurant.jpg?w=700&h=-1&s=1
Điện Biên,Tada Hostel,"Vo Nguyen Giap 876 Block 4 - Tan Thanh, Dien Bien Phu 380000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=13&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=21.380070,103.016167&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|21.380707,103.015099|21.387260,103.013512&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|21.380070,103.016167|21.389896,103.014404|21.385284,103.019157|21.380070,103.016167|21.382076,103.019783|21.390368,103.014938|21.384220,103.017113|21.385134,103.018791|21.384390,103.015114|21.379601,103.017090&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|21.384026,103.010460|21.383265,103.010818|21.383404,103.015732|21.388155,103.009399|21.386021,103.023010|21.384377,103.017174|21.389284,103.011024|21.389223,103.014809|21.385157,103.013870&signature=w_-Qp6TPSndrZ_S0lFszeDGFHw4=",nan,nan,#3 of 5 hostels in Dien Bien Phu,4 ,4.5,nan,nan,nan,nan,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g662329-d13853787-Reviews-Tada_Hostel-Dien_Bien_Phu_Dien_Bien_Province.html,,nan,4.5 of 5 bubbles,Budget,nan,nan,10,Quà Tây Bắc,https://www.tripadvisor.com/Restaurant_Review-g662329-d26458735-Reviews-Qua_Tay_B_c-Dien_Bien_Phu_Dien_Bien_Province.html,Dan Toc Quan,https://www.tripadvisor.com/Restaurant_Review-g662329-d3940634-Reviews-Dan_Toc_Quan-Dien_Bien_Phu_Dien_Bien_Province.html,Nhà Hàng - 70 - Cơm Tự Chọn - Cơm Rang - Các Món Ăn Dân Tộc.,https://www.tripadvisor.com/Restaurant_Review-g662329-d26867544-Reviews-Nha_Hang_70_Com_T_Ch_n_Com_Rang_Cac_Mon_An_Dan_T_c-Dien_Bien_Phu_Dien_Bien_Provi.html,Buong Cafe,https://www.tripadvisor.com/Restaurant_Review-g662329-d19235175-Reviews-Buong_Cafe-Dien_Bien_Phu_Dien_Bien_Province.html,Dien Bien Phu Museum,https://www.tripadvisor.com/Attraction_Review-g662329-d11918847-Reviews-Dien_Bien_Phu_Museum-Dien_Bien_Phu_Dien_Bien_Province.html,Muong Thanh Market,https://www.tripadvisor.com/Attraction_Review-g662329-d19507246-Reviews-Muong_Thanh_Market-Dien_Bien_Phu_Dien_Bien_Province.html,Tên không xác định,,Tên không xác định,,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/5e/82/1f/tada-hostel.jpg?w=700&h=-1&s=1
