Tourist Attraction,Hotel Name,Address,Address Link,Hotel Website,Hotline,Ranking,Reviewers,Rating,Location rating,Cleanliness rating,Service rating,Value rating,Comment,Price,URL,Description,Award,Hotel Class,Hotel Style 1,Hotel Style 2,Language Spoken,Numbers of near Restaurants,Near Restaurant 1,Link Near Restaurant 1,Near Restaurant 2,Link Near Restaurant 2,Near Restaurant 3,Link Near Restaurant 3,Near Restaurant 4,Link Near Restaurant 4,Near Attraction 1,Link Near Attraction 1,Near Attraction 2,Link Near Attraction 2,Near Attraction 3,Link Near Attraction 3,Near Attraction 4,Link Near Attraction 4,Numbers of near Attractions,Hotel Image
Đồng Nai,Green Hope Lodge,"Hamlet 4, Nam Cat Tien ward Tan Phu district,, Nam Cat Tien Vietnam",nan,nan,nan,#1 of 7 lodges in Nam Cat Tien,283 ,5.0,4.8,4.5,4.8,4.8,Excellent,22,https://www.tripadvisor.com/Hotel_Review-g8841040-d4327529-Reviews-Green_Hope_Lodge-Nam_Cat_Tien_Tan_Phu_District_Dong_Nai_Province.html,,nan,5.0 of 5 bubbles,Quaint,Park View,"English, Vietnamese",nan,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Cat Tien Park,https://www.tripadvisor.com/Attraction_Review-g8841040-d12162656-Reviews-Cat_Tien_Park-Nam_Cat_Tien_Tan_Phu_District_Dong_Nai_Province.html,"Cat Tien Bear Sanctuary, Free the Bears",https://www.tripadvisor.com/Attraction_Review-g17307143-d26790200-Reviews-Cat_Tien_Bear_Sanctuary_Free_the_Bears-Cat_Tien_Phu_Cat_Binh_Dinh_Province.html,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/15/a4/63/photo0jpg.jpg?w=700&h=-1&s=1
Đồng Nai,Green Bamboo Lodge,"Hemlet 4, Nam Cat Tien Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.421101,107.430214&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|11.422869,107.442963|11.408152,107.413956&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.421101,107.430214|11.426784,107.434364|11.421101,107.430214|11.422890,107.443146|11.421063,107.430283|11.421372,107.430748|11.421151,107.430229|11.429024,107.437546|11.427274,107.435966|11.423826,107.431030&signature=2xQHHq7U_m31qmfgC1KChq6XLWU=",nan,nan,#2 of 7 lodges in Nam Cat Tien,460 ,4.5,4.8,4.4,4.8,4.6,Excellent,14,https://www.tripadvisor.com/Hotel_Review-g8841040-d3801212-Reviews-Green_Bamboo_Lodge-Nam_Cat_Tien_Tan_Phu_District_Dong_Nai_Province.html,,nan,4.5 of 5 bubbles,Budget,Family,"English, Vietnamese",nan,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Cat Tien Park,https://www.tripadvisor.com/Attraction_Review-g8841040-d12162656-Reviews-Cat_Tien_Park-Nam_Cat_Tien_Tan_Phu_District_Dong_Nai_Province.html,"Cat Tien Bear Sanctuary, Free the Bears",https://www.tripadvisor.com/Attraction_Review-g17307143-d26790200-Reviews-Cat_Tien_Bear_Sanctuary_Free_the_Bears-Cat_Tien_Phu_Cat_Binh_Dinh_Province.html,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/35/6d/b6/green-bamboo-lodge.jpg?w=700&h=-1&s=1
Đồng Nai,The Mira Central Park,"128/16 Nguyen Ai Quoc Tan Tien Ward, Bien Hoa Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=13&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=10.965250,106.848152&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|10.971901,106.853111&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|10.965250,106.848152|10.965250,106.848152|10.957249,106.844757|10.961192,106.845520|10.958309,106.856064|10.964860,106.846443|10.962220,106.854370|10.967170,106.854919|10.957874,106.844780|10.960890,106.855583&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|10.968860,106.854622|10.957500,106.847443|10.959290,106.843422|10.961178,106.849701|10.960517,106.846954|10.960570,106.843719|10.969420,106.853104|10.962241,106.854660|10.957503,106.843582&signature=N20z2C0Zc9Tu7C_HkABaCX6suzg=",nan,nan,#1 of 13 hotels in Bien Hoa,19 ,4.5,4.3,5.0,4.9,5.0,Excellent,56,https://www.tripadvisor.com/Hotel_Review-g1749176-d15193400-Reviews-The_Mira_Central_Park-Bien_Hoa_Dong_Nai_Province.html,,nan,4.5 of 5 bubbles,Business,Romantic,English,nan,Nha Vien Restaurant,https://www.tripadvisor.com/Restaurant_Review-g1749176-d3813565-Reviews-Nha_Vien_Restaurant-Bien_Hoa_Dong_Nai_Province.html,Kho Qua Rung,https://www.tripadvisor.com/Restaurant_Review-g1749176-d19073369-Reviews-Kho_Qua_Rung-Bien_Hoa_Dong_Nai_Province.html,Sky Coffee,https://www.tripadvisor.com/Restaurant_Review-g1749176-d11931142-Reviews-Sky_Coffee-Bien_Hoa_Dong_Nai_Province.html,Sky Rooftop Cafe & BBQ,https://www.tripadvisor.com/Restaurant_Review-g1749176-d11549960-Reviews-Sky_Rooftop_Cafe_BBQ-Bien_Hoa_Dong_Nai_Province.html,Rượu Tốt,https://www.tripadvisor.com/Attraction_Review-g1749176-d27148702-Reviews-Ru_u_T_t-Bien_Hoa_Dong_Nai_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/22/7d/09/hinh-khach-s-n.jpg?w=700&h=-1&s=1
Đồng Nai,Cat Tien Jungle Lodge,"854, Hamlet 4, Nam Cat Tien Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.423826,107.431030&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|11.422869,107.442963|11.408152,107.413956&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.423826,107.431030|11.426784,107.434364|11.421101,107.430214|11.422890,107.443146|11.421063,107.430283|11.421372,107.430748|11.421151,107.430229|11.429024,107.437546|11.427274,107.435966|11.423826,107.431030&signature=N22FRqetepn3iQGTGgFbs8d0KcA=",nan,nan,#7 of 7 lodges in Nam Cat Tien,110 ,4.0,4.5,4.4,4.4,3.8,Very good,59,https://www.tripadvisor.com/Hotel_Review-g8841040-d6677896-Reviews-Cat_Tien_Jungle_Lodge-Nam_Cat_Tien_Tan_Phu_District_Dong_Nai_Province.html,"Cat Tien Jungle Lodge is located next to the Cat Tien National Park - one of six biosphere reserves recognized by UNESCO in Vietnam. It is about 150 km North-East (about 2½ hours drive) from Ho Chi Minh City. Our vision is to be “Your Window Into Nature”. Jungle Lodge invites adventure travelers & all people to discover nature’s mysteries, appreciate its splendors and if you are passionate about nature conservation, to join us in our effort to protect & preserve it for the future.  Lodging Jungle Lodge – is a boutique hotel offering comfortable & spacious accommodation for up to 41 guests. A selection of rooms & bungalows are available to cater for package tours plus meet the preference of our outdoor loving guests. Our facilities are all carefully built into a natural green setting, facing Cat Tien National Park with the Dong Nai River in our backyard. Room Category	No Of Units	Unit Size (sq.m2)	Single/ Double	Twin	Persons (Max) Deluxe	4	42 	-	2	8 Super Deluxe	6 	52 	1	1	18 Studio	1	60	1	-	2 Bungalow – 3 guest	1	78	1	1	3 Bungalow – 4 guest	1	88	2	-	4 Bungalow – 6 guest	1	155	2	2	6 Dormitory	TBA	TBA	TBA	-	TBA Total 	14	-	-	-	41  Restaurant, Cafe & Bars Jungle Lodge has one restaurant, an outdoor cafe & a bar catering for over 120 guest. With an alfresco concept, guests can indulge in comfort amidst the serenity of nature in rural setting surroundings the Jungle Lodge. Our Happy Belly Restaurant serves Vietnamese, Asian & Western cuisine which aims to delight your senses. Here, we cater for breakfast, lunch and dinner plus a decent range of beverages to go along. After dinner, our stage at the Demilitarized Zone (DMZ) offers piped or on special events, live music. At the DMZ, our guest can enjoy the evenings under the open night sky or elect to sit within our sheltered lounge area. Our DMZ Cafe & Bar offers a unique & charming spot in the vicinity of Cat Tien National Park for meals & relaxation.  For private corner fans, we have a Tea House that overlooks the Cat Tien National Park & its surrounding hills. One has to climb a spiral staircase to reach the Tea House which also offers a vantage point of Jungle Lodge. We also have several quiet sitting corners within our back garden & next to the river that offers a serene atmosphere for reading & resting amidst the rustling of the bamboo & shady trees.  Kid’s Corner A children’s corner has been set aside for our little ones to mingle & play together. Coloring books, pencils & crayons, figurine painting & face painting materials are available at cost. Let your child expand their creative imagination when not doing any of the outdoor activities relating with the Park.  To familiarize our children with nature, we also introduce small furry animals like rabbits, gerbils or guinea pigs (& our pet python?) for the kids to handle. By this we hope to instill in them a closer relationship with our animal kingdom friends.  Meeting & Event Facilities Jungle Lodge has meeting rooms that can cater for over 120 participants. Our venue is not only suitable for adventure tours, researchers & retirees but we can also cater for special events or for companies to hold meetings, seminars & conferences. Function  Area	Dimension	Classroom	U-shape	Theater	Square 	Banquet Conference Room (A) 	05m x 10m	24	16	36	20	N/A Conference Room (B) 	10m x 10m	36	40	72	40	N/A Conference Room (C)  	15m x 10m	72	72	132	60	N/A Garden of Eden	50m x 30m	N/A	N/A	N/A	N/A	150 Hut of Eden	12m x 8m	N/A	N/A	N/A	N/A	60  Spa & Shower Our Jungle Lodge offers a dry & steam sauna room, 2 therapeutic Jacuzzi bathtubs and showering facilities. Utilization of our Spa & Shower facilities is on a pre-booking basis which is suitable for small groups of 2 to 8 people at a time. This is to allow for the privacy & comfort of our guest & to minimize congestion. Inquiry & reservation is made at our Front Desk.  Other Services -	Our souvenir shop supports & promotes community related merchandise. -	Bicycling, canoeing & motor cycle rentals. -	Transportation & tours to nearby attractions. -	Facilitation of outdoor team activities. -	Visits to our organic vegetable farms. -	Nature talks & slide shows in the evenings (for groups only). -	Rustling Of The Grassroots – Our community entertainment & nature awareness events (held every last Friday & Saturday of March, June & Sept). -	Rumble In The Jungle – Our nationwide nature awareness & outdoor rock concert (held between 27 & 30 December each year).  Adventure Tours Jungle Lodge offers our more inquisitive & energetic guests various outdoor tours to discover Cat Tien National Park which is the homeland of a large verity of beautiful birds, amphibians, reptiles, insects & mammal species. On the cultural aspect, along the Park boundaries, we haves a small community of ethnic minority people from the S’tieng, Tay and Ma tribes.  Places & Activities of Interest Include: -	Mountain biking though the Park roads & trails or the surrounding countryside. -	Canoeing along the National Park on the Dong Nai River. -	Track to Crocodile Lake (Bao Sau) – yes, there are many huge crocs in the Lake. -	Bird watching & wildlife photography - throughout the Park area. -	Visit the Endangered Primate Rescue Center or The Bear & Wildlife Rescue Station. -	Go on a night spotlighting trip in search for animals after dark. -	Track the Lagerstroemia Trail, walkabout the Botanical Garden or Heaven’s Rapids Trail. -	Swim & bask at Soi Mo’s clear natural lake (30km) or visit the hot spring of Thac Mai (60km). -	Visit the ethnic village & kayak/swim in a jungle lake at Ta Lai Village (15km away). -	Participate in village activities during the planting or crop/fruit harvesting season.",nan,4.0 of 5 bubbles,Modern,Mid-range,"English, Vietnamese",nan,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Cat Tien Park,https://www.tripadvisor.com/Attraction_Review-g8841040-d12162656-Reviews-Cat_Tien_Park-Nam_Cat_Tien_Tan_Phu_District_Dong_Nai_Province.html,"Cat Tien Bear Sanctuary, Free the Bears",https://www.tripadvisor.com/Attraction_Review-g17307143-d26790200-Reviews-Cat_Tien_Bear_Sanctuary_Free_the_Bears-Cat_Tien_Phu_Cat_Binh_Dinh_Province.html,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/9b/0d/de/cat-tien-jungle-lodge.jpg?w=700&h=-1&s=1
Đồng Nai,Hapyson Hotel,"52 Pham The Hien, Long Khanh 81000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=10.933273,107.257393&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|10.902220,107.246643&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|10.933273,107.257393|10.933273,107.257393|10.931114,107.245148|10.927160,107.250252|10.918876,107.259087|10.920440,107.246193|10.933345,107.253586|10.933960,107.243477|10.938080,107.239738|10.922351,107.240219&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|10.905316,107.324341|10.934750,107.253830|10.918510,107.258728|10.918600,107.252747|10.933006,107.238983|10.927160,107.245193|10.926550,107.247833|10.926550,107.247833&signature=p8xbETuaObmzq9JbhpApXXc1rHE=",nan,nan,#1 of 1 special hotel in Long Khanh,10 ,4.5,5.0,nan,5.0,5.0,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g2062761-d13742920-Reviews-Hapyson_Hotel-Long_Khanh_Dong_Nai_Province.html,,nan,4.5 of 5 bubbles,Budget,Luxury,nan,nan,Tram Dung Chan Dai Phu- Dai Phu Rest Stop,https://www.tripadvisor.com/Restaurant_Review-g23550758-d4793284-Reviews-Tram_Dung_Chan_Dai_Phu_Dai_Phu_Rest_Stop-Xuan_Phu_Dong_Nai_Province.html,Huyen Hau Rest Stop,https://www.tripadvisor.com/Restaurant_Review-g2062761-d13480970-Reviews-Huyen_Hau_Rest_Stop-Long_Khanh_Dong_Nai_Province.html,The Coffee Vy’s Garden,https://www.tripadvisor.com/Restaurant_Review-g2062761-d15097265-Reviews-The_Coffee_Vy_s_Garden-Long_Khanh_Dong_Nai_Province.html,The Coffee Vy's,https://www.tripadvisor.com/Restaurant_Review-g2062761-d15097253-Reviews-The_Coffee_Vy_s-Long_Khanh_Dong_Nai_Province.html,Khu Du Lich Sinh Thai Bo Cap Vang,https://www.tripadvisor.com/Attraction_Review-g17668121-d17637339-Reviews-Khu_Du_Lich_Sinh_Thai_Bo_Cap_Vang-Xa_Phuoc_Khanh_Dong_Nai_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/5e/b3/37/hapyson-hotel.jpg?w=700&h=-1&s=1
Đồng Nai,Mansion Park Hotel,"K73 Dường D8, Phường Thống Nhất, Bien Hoa 810000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=13&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=10.946435,106.829193&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|10.946570,106.825623|10.947392,106.832977&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|10.946435,106.829193|10.946435,106.829193|10.947781,106.828964|10.945452,106.821716|10.947990,106.822601|10.946876,106.830299|10.946469,106.827866|10.947570,106.829849|10.944929,106.828308|10.944761,106.827484&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|10.947680,106.832359|10.947800,106.831718|10.946247,106.829376|10.950790,106.819923|10.948263,106.833015|10.945704,106.822571|10.945704,106.822571|10.943915,106.827759|10.941975,106.822662&signature=l5yyWcdGSg4_N2CQyFsrvQZtYmI=",nan,nan,#3 of 13 hotels in Bien Hoa,6 ,5.0,4.8,4.5,4.8,4.8,Excellent,Only 5 left at,https://www.tripadvisor.com/Hotel_Review-g1749176-d23230847-Reviews-Mansion_Park_Hotel-Bien_Hoa_Dong_Nai_Province.html,,nan,5.0 of 5 bubbles,Quaint,Business,"English, Vietnamese",nan,Nhà Hàng Kaiserin,https://www.tripadvisor.com/Restaurant_Review-g1749176-d4832584-Reviews-Nha_Hang_Kaiserin-Bien_Hoa_Dong_Nai_Province.html,Texas Coffee and Tea House,https://www.tripadvisor.com/Restaurant_Review-g1749176-d10746658-Reviews-Texas_Coffee_and_Tea_House-Bien_Hoa_Dong_Nai_Province.html,Phù An Quán,https://www.tripadvisor.com/Restaurant_Review-g1749176-d28405448-Reviews-Phu_An_Quan-Bien_Hoa_Dong_Nai_Province.html,May Coffee & Beer,https://www.tripadvisor.com/Restaurant_Review-g1749176-d11616143-Reviews-May_Coffee_Beer-Bien_Hoa_Dong_Nai_Province.html,Lan Kwai Fong Bien Hoa,https://www.tripadvisor.com/Attraction_Review-g1749176-d5993845-Reviews-Lan_Kwai_Fong_Bien_Hoa-Bien_Hoa_Dong_Nai_Province.html,Adm Đồng Nai,https://www.tripadvisor.com/Attraction_Review-g1749176-d27789336-Reviews-Adm_D_ng_Nai-Bien_Hoa_Dong_Nai_Province.html,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/c0/c6/03/mansion-park-hotel-apartment.jpg?w=700&h=-1&s=1
Đồng Nai,Aurora Hotel Plaza,"253 Pham Van Thuan, Tan Mai Ward, Bien Hoa Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=13&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=10.957249,106.844757&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|10.957249,106.844757|10.965250,106.848152|10.957249,106.844757|10.961192,106.845520|10.957280,106.844788|10.957280,106.844788|10.957049,106.844734|10.957874,106.844780|10.964860,106.846443|10.950478,106.839874&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|10.953920,106.852562|10.957500,106.847443|10.949140,106.837440|10.949190,106.837471|10.953920,106.852562|10.959290,106.843422|10.949140,106.837440|10.961178,106.849701|10.957503,106.843582&signature=xLfvv3hNRkEWighJYXuVUyF8APw=",nan,nan,#2 of 13 hotels in Bien Hoa,37 ,4.0,3.8,4.2,4.2,3.8,Very good,nan,https://www.tripadvisor.com/Hotel_Review-g1749176-d1728668-Reviews-Aurora_Hotel_Plaza-Bien_Hoa_Dong_Nai_Province.html,"If you’re looking for a family-friendly hotel in Bien Hoa, look no further than Aurora Hotel Plaza. Aurora Hotel Plaza is a family-friendly hotel offering a minibar and air conditioning in the rooms, and it is easy to stay connected during your stay as free wifi is offered to guests. The hotel features a 24 hour front desk, a concierge, and room service. Plus, guests can enjoy a pool and an on-site restaurant, which have made this a popular choice among travelers visiting Bien Hoa. For guests with a vehicle, free parking is available. If you're looking for a place to eat, Nha Vien Restaurant (1.0 mi) is a popular option that is within walking distance of Aurora Hotel Plaza. The staff at Aurora Hotel Plaza looks forward to serving you during your upcoming visit.",nan,4.0 of 5 bubbles,Family,Trendy,"English, Vietnamese",nan,The Pizza Company,https://www.tripadvisor.com/Restaurant_Review-g1749176-d14003583-Reviews-The_Pizza_Company-Bien_Hoa_Dong_Nai_Province.html,Kho Qua Rung,https://www.tripadvisor.com/Restaurant_Review-g1749176-d19073369-Reviews-Kho_Qua_Rung-Bien_Hoa_Dong_Nai_Province.html,MOAS - Fusion Cuisine • Mixology,https://www.tripadvisor.com/Restaurant_Review-g1749176-d15354077-Reviews-MOAS_Fusion_Cuisine_Mixology-Bien_Hoa_Dong_Nai_Province.html,Chen,https://www.tripadvisor.com/Restaurant_Review-g1749176-d4766072-Reviews-Chen-Bien_Hoa_Dong_Nai_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/fe/90/63/aurora-hotel-plaza.jpg?w=700&h=-1&s=1
Đồng Nai,Eco Floor Bird Song Lodge,"Hamlet 4, Nam Cat Tien Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.421151,107.430229&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|11.422869,107.442963|11.408152,107.413956&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.421151,107.430229|11.426784,107.434364|11.421101,107.430214|11.422890,107.443146|11.421063,107.430283|11.421372,107.430748|11.421151,107.430229|11.429024,107.437546|11.427274,107.435966|11.423826,107.431030&signature=IZoKYEJ8ZdibdsbNzpH9swDDsKo=",nan,nan,#5 of 7 lodges in Nam Cat Tien,42 ,5.0,4.6,4.5,4.9,5.0,Excellent,28,https://www.tripadvisor.com/Hotel_Review-g8841040-d8685835-Reviews-Eco_Floor_Bird_Song_Lodge-Nam_Cat_Tien_Tan_Phu_District_Dong_Nai_Province.html,,nan,5.0 of 5 bubbles,Business,Romantic,"English, Vietnamese",nan,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Cat Tien Park,https://www.tripadvisor.com/Attraction_Review-g8841040-d12162656-Reviews-Cat_Tien_Park-Nam_Cat_Tien_Tan_Phu_District_Dong_Nai_Province.html,"Cat Tien Bear Sanctuary, Free the Bears",https://www.tripadvisor.com/Attraction_Review-g17307143-d26790200-Reviews-Cat_Tien_Bear_Sanctuary_Free_the_Bears-Cat_Tien_Phu_Cat_Binh_Dinh_Province.html,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/7d/b8/bd/photo1jpg.jpg?w=700&h=-1&s=1
Đồng Nai,Thuy Tien Eco-Lodge,"879 Street 600A Hamlet 1, Nam Cat Tien 810000 Vietnam",nan,nan,nan,#1 of 4 hotels in Nam Cat Tien,12 ,5.0,5.0,5.0,5.0,5.0,Excellent,12,https://www.tripadvisor.com/Hotel_Review-g8841040-d14982339-Reviews-Thuy_Tien_Eco_Lodge-Nam_Cat_Tien_Tan_Phu_District_Dong_Nai_Province.html,,nan,5.0 of 5 bubbles,Budget,Business,Vietnamese,nan,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Cat Tien Park,https://www.tripadvisor.com/Attraction_Review-g8841040-d12162656-Reviews-Cat_Tien_Park-Nam_Cat_Tien_Tan_Phu_District_Dong_Nai_Province.html,"Cat Tien Bear Sanctuary, Free the Bears",https://www.tripadvisor.com/Attraction_Review-g17307143-d26790200-Reviews-Cat_Tien_Bear_Sanctuary_Free_the_Bears-Cat_Tien_Phu_Cat_Binh_Dinh_Province.html,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/f1/51/0a/thuy-tien-eco-lodge.jpg?w=700&h=-1&s=1
Đồng Nai,Sunny Eco Lodge,"Ấp 1, Nam Cat Tien Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=11.420000,107.431999&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|11.422869,107.442963|11.408152,107.413956&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|11.420000,107.431999|11.426784,107.434364|11.421101,107.430214|11.422890,107.443146|11.421063,107.430283|11.421372,107.430748|11.421151,107.430229|11.429024,107.437546|11.427274,107.435966|11.423826,107.431030&signature=nXmal1B_2zTiMOxOwo3NeJ-vJz0=",nan,nan,#2 of 4 hotels in Nam Cat Tien,1 review,5.0,nan,nan,nan,nan,Excellent,17,https://www.tripadvisor.com/Hotel_Review-g8841040-d26627273-Reviews-Sunny_Eco_Lodge-Nam_Cat_Tien_Tan_Phu_District_Dong_Nai_Province.html,,nan,5.0 of 5 bubbles,nan,nan,nan,nan,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Cat Tien Park,https://www.tripadvisor.com/Attraction_Review-g8841040-d12162656-Reviews-Cat_Tien_Park-Nam_Cat_Tien_Tan_Phu_District_Dong_Nai_Province.html,"Cat Tien Bear Sanctuary, Free the Bears",https://www.tripadvisor.com/Attraction_Review-g17307143-d26790200-Reviews-Cat_Tien_Bear_Sanctuary_Free_the_Bears-Cat_Tien_Phu_Cat_Binh_Dinh_Province.html,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/2d/8d/4f/ab/sunny-eco-lodge.jpg?w=700&h=-1&s=1
