Tourist Attraction,Hotel Name,Address,Address Link,Hotel Website,Hotline,Ranking,Reviewers,Rating,Location rating,Cleanliness rating,Service rating,Value rating,Comment,Price,URL,Description,Award,Hotel Class,Hotel Style 1,Hotel Style 2,Language Spoken,Numbers of near Restaurants,Near Restaurant 1,Link Near Restaurant 1,Near Restaurant 2,Link Near Restaurant 2,Near Restaurant 3,Link Near Restaurant 3,Near Restaurant 4,Link Near Restaurant 4,Near Attraction 1,Link Near Attraction 1,Near Attraction 2,Link Near Attraction 2,Near Attraction 3,Link Near Attraction 3,Near Attraction 4,Link Near Attraction 4,Numbers of near Attractions,Hotel Image
Hòa Bình,Avana Retreat,"Panh Village Bao La Commune, Mai Chau 36000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=20.701590,104.945793&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|20.737860,104.941170|20.740040,104.916031|20.723448,104.896828|20.749796,104.905342&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|20.701590,104.945793|20.701590,104.945793|20.666401,104.979591|20.666670,105.000000|20.648899,104.979324|20.690134,105.008987|20.652792,104.963905|20.716669,104.966667|20.652643,104.963898|20.719419,104.998413&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|20.690134,105.008987&signature=32norRj1PQtxmiRIDhXMIBSPGQw=",https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=23169139&from=Hotel_Review&area=&slot=3&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=307786451&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkYeaWtkx0sZ7mNKigsNWMdxv7Fh4pWvhFxBWyv4TR3k4ZkrWB5ah2Dm8MT9nb8m3TA&bapid=3&cs=1b0ad1ed0ce730a6dca8cb46ceb5185bb&ba_uid=c42a75f7-df1c-4018-85be-6a56cdc5e7ac,02183819868,#3 of 10 hotels in Mai Chau,170 ,5.0,4.8,5.0,5.0,4.8,Excellent,340,https://www.tripadvisor.com/Hotel_Review-g1652592-d23169139-Reviews-Avana_Retreat-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html?spAttributionToken=MjY5ODU3NjE,,nan,5.0 of 5 bubbles,Business,Romantic,"English, Vietnamese",1,Bo Luong Restaurant,https://www.tripadvisor.com/Restaurant_Review-g1652592-d26440631-Reviews-Bo_Luong_Restaurant-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Thung Khe Pass,https://www.tripadvisor.com/Attraction_Review-g1652592-d13326200-Reviews-Thung_Khe_Pass-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Pa Co Tea Plantation,https://www.tripadvisor.com/Attraction_Review-g26577699-d26528896-Reviews-Pa_Co_Tea_Plantation-Pa_Co_Mai_Chau_District_Hoa_Binh_Province.html,Cloud Hunting Paradise,https://www.tripadvisor.com/Attraction_Review-g26577681-d26528899-Reviews-Cloud_Hunting_Paradise-Hang_Kia_Mai_Chau_District_Hoa_Binh_Province.html,Pa Co Night Market,https://www.tripadvisor.com/Attraction_Review-g1652592-d26528888-Reviews-Pa_Co_Night_Market-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/0f/20/d8/avana-retreat.jpg?w=700&h=-1&s=1
Hòa Bình,Mai Chau Hideaway Lake Resort,"Xóm Suối Lốn, Mai Chau Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=20.754158,105.074371&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|20.754158,105.074371|20.754158,105.074371|20.735952,105.110168|20.754414,105.074898|20.770407,105.109665|20.807871,105.115845&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|20.752287,105.073647|20.716669,105.033333|20.701088,105.073624&signature=Rx15b_rE2PzYxMknBtm019Y0G8g=",https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=13458118&from=Hotel_Review&area=&slot=3&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=307786474&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkcqpaVwDJ1C0UDeHINGz7nDpFM4vW4iMPi07CbuC358dmM_LYOzcdTDZv24J9adT7w&bapid=3&cs=12ce5afef66e0024dc2c7f4097b58fac5&ba_uid=7810822e-cb70-4951-af27-8846301d2646,0987536787,#1 of 10 hotels in Mai Chau,290 ,5.0,4.8,4.9,4.8,4.8,Excellent,126,https://www.tripadvisor.com/Hotel_Review-g1652592-d13458118-Reviews-Mai_Chau_Hideaway_Lake_Resort-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,,nan,5.0 of 5 bubbles,Family,Trendy,"English, Vietnamese",3,Mai Chau Hideaway Restaurant,https://www.tripadvisor.com/Restaurant_Review-g3320435-d23172426-Reviews-Mai_Chau_Hideaway_Restaurant-Hoa_Binh_Hoa_Binh_Province.html,Pho Co Nam Dinh,https://www.tripadvisor.com/Restaurant_Review-g1652592-d28104543-Reviews-Pho_Co_Nam_Dinh-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Nhà Hàng Hoa Ban Mai Châu,https://www.tripadvisor.com/Restaurant_Review-g1652592-d25291284-Reviews-Nha_Hang_Hoa_Ban_Mai_Chau-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/25/44/af/caption.jpg?w=700&h=-1&s=1
Hòa Bình,Mai Chau Lodge,"Poom Coong Tieu Khu 4, Mai Chau, Hoa Binh, Viet Nam, Mai Chau 28000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=13&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=20.654049,105.078384&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|20.654049,105.078384|20.654049,105.078384|20.654964,105.079056|20.657780,105.069740|20.646944,105.077682|20.653837,105.067055|20.653746,105.071587|20.653860,105.072830|20.654474,105.072929|20.653246,105.071892&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|20.659834,105.080559|20.654058,105.073112|20.650560,105.072266|20.653656,105.072838|20.652710,105.071274|20.653996,105.073257|20.654942,105.079208|20.652710,105.071274|20.654785,105.079330&signature=5kPUR-VktPgEt35rfVT06t_hhEc=",nan,nan,#2 of 10 hotels in Mai Chau,576 ,4.5,4.5,4.5,4.5,4.2,Excellent,54,https://www.tripadvisor.com/Hotel_Review-g1652592-d1076828-Reviews-Mai_Chau_Lodge-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,,nan,4.5 of 5 bubbles,Quiet,Mountain View,"English, Vietnamese",11,Quan 3 Chi Em,https://www.tripadvisor.com/Restaurant_Review-g1652592-d15180050-Reviews-Quan_3_Chi_Em-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Sunset Bar,https://www.tripadvisor.com/Restaurant_Review-g1652592-d7742161-Reviews-Sunset_Bar-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Coffe Lop,https://www.tripadvisor.com/Restaurant_Review-g1652592-d16657155-Reviews-Coffe_Lop-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Mini bar & Food,https://www.tripadvisor.com/Restaurant_Review-g1652592-d10777833-Reviews-Mini_bar_Food-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/c5/e5/14/overview.jpg?w=700&h=-1&s=1
Hòa Bình,Avana Retreat,"Panh Village Bao La Commune, Mai Chau 36000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=20.701590,104.945793&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|20.737860,104.941170|20.740040,104.916031|20.723448,104.896828|20.749796,104.905342&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|20.701590,104.945793|20.701590,104.945793|20.666401,104.979591|20.666670,105.000000|20.648899,104.979324|20.690134,105.008987|20.652792,104.963905|20.716669,104.966667|20.652643,104.963898|20.719419,104.998413&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|20.690134,105.008987&signature=32norRj1PQtxmiRIDhXMIBSPGQw=",https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=23169139&from=Hotel_Review&area=&slot=3&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=307786519&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkYeaWtkx0sZ7mNKigsNWMdw89IQL7jSrjxJdt5zxXomw5AA1jgdJ4Eg0NATgqXREIg&bapid=3&cs=10fe85a12e3f6834a9bf60c86ca01f2d3&ba_uid=d13de5bd-9e1f-41de-9280-6c2781437c6b,02183819868,#3 of 10 hotels in Mai Chau,170 ,5.0,4.8,5.0,5.0,4.8,Excellent,340,https://www.tripadvisor.com/Hotel_Review-g1652592-d23169139-Reviews-Avana_Retreat-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,,nan,5.0 of 5 bubbles,Business,Romantic,"English, Vietnamese",1,Bo Luong Restaurant,https://www.tripadvisor.com/Restaurant_Review-g1652592-d26440631-Reviews-Bo_Luong_Restaurant-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Thung Khe Pass,https://www.tripadvisor.com/Attraction_Review-g1652592-d13326200-Reviews-Thung_Khe_Pass-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Pa Co Tea Plantation,https://www.tripadvisor.com/Attraction_Review-g26577699-d26528896-Reviews-Pa_Co_Tea_Plantation-Pa_Co_Mai_Chau_District_Hoa_Binh_Province.html,Cloud Hunting Paradise,https://www.tripadvisor.com/Attraction_Review-g26577681-d26528899-Reviews-Cloud_Hunting_Paradise-Hang_Kia_Mai_Chau_District_Hoa_Binh_Province.html,Pa Co Night Market,https://www.tripadvisor.com/Attraction_Review-g1652592-d26528888-Reviews-Pa_Co_Night_Market-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/0f/20/d8/avana-retreat.jpg?w=700&h=-1&s=1
Hòa Bình,Mai Chau Ecolodge,"Na Chieng Village, Mai Chau 350 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=13&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=20.657780,105.069740&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|20.648544,105.068321&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|20.657780,105.069740|20.654049,105.078384|20.654964,105.079056|20.657780,105.069740|20.655828,105.065308|20.653837,105.067055|20.649464,105.066933|20.653746,105.071587|20.653860,105.072830|20.654474,105.072929&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|20.659834,105.080559|20.654058,105.073112|20.650560,105.072266|20.653656,105.072838|20.652710,105.071274|20.655560,105.066574|20.655554,105.066429|20.653996,105.073257|20.654942,105.079208&signature=oGEgVUOkDTb_DGi0IS62eMFCKKM=",nan,nan,#4 of 10 hotels in Mai Chau,891 ,4.5,4.9,4.7,4.7,4.5,Excellent,98,https://www.tripadvisor.com/Hotel_Review-g1652592-d6898450-Reviews-Mai_Chau_Ecolodge-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,,nan,4.5 of 5 bubbles,Quaint,Great View,"English, Thai, Vietnamese",14,Quan 3 Chi Em,https://www.tripadvisor.com/Restaurant_Review-g1652592-d15180050-Reviews-Quan_3_Chi_Em-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Sunset Bar,https://www.tripadvisor.com/Restaurant_Review-g1652592-d7742161-Reviews-Sunset_Bar-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Coffe Lop,https://www.tripadvisor.com/Restaurant_Review-g1652592-d16657155-Reviews-Coffe_Lop-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Mini bar & Food,https://www.tripadvisor.com/Restaurant_Review-g1652592-d10777833-Reviews-Mini_bar_Food-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Hoa Ban Plus,https://www.tripadvisor.com/Attraction_Review-g1652592-d6495876-Reviews-Hoa_Ban_Plus-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/ba/18/f3/mai-chau-ecolodge.jpg?w=700&h=-1&s=1
Hòa Bình,Bakhan Village Resort,"01 Khan Ha Ba Khan, Mai Chau 36408 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=20.735952,105.110168&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|20.681919,105.080093&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|20.735952,105.110168|20.754158,105.074371|20.735952,105.110168|20.675928,105.074554|20.679220,105.076622|20.770407,105.109665|20.754414,105.074898|20.670500,105.115334|20.807871,105.115845&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|20.667963,105.085045|20.752287,105.073647|20.701088,105.073624&signature=zSwMduthBp1NaAuVip1EX9cSs7o=",nan,nan,#1 of 3 resorts in Mai Chau,40 ,4.5,4.6,4.6,4.4,4.5,Excellent,65,https://www.tripadvisor.com/Hotel_Review-g1652592-d17642990-Reviews-Bakhan_Village_Resort-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,,nan,4.5 of 5 bubbles,Boutique,Quaint,"English, French, Vietnamese",3,I tea+,https://www.tripadvisor.com/Restaurant_Review-g1652592-d15843201-Reviews-I_tea-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Mai Chau Hideaway Restaurant,https://www.tripadvisor.com/Restaurant_Review-g3320435-d23172426-Reviews-Mai_Chau_Hideaway_Restaurant-Hoa_Binh_Hoa_Binh_Province.html,Nhà Hàng Hoa Ban Mai Châu,https://www.tripadvisor.com/Restaurant_Review-g1652592-d25291284-Reviews-Nha_Hang_Hoa_Ban_Mai_Chau-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Tên không xác định,,White Rock Pass,https://www.tripadvisor.com/Attraction_Review-g1652592-d17757774-Reviews-White_Rock_Pass-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/cf/14/d6/deluxe-twin-room.jpg?w=700&h=-1&s=1
Hòa Bình,Mai Chau Hideaway Lake Resort,"Xóm Suối Lốn, Mai Chau Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=20.754158,105.074371&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|20.754158,105.074371|20.754158,105.074371|20.735952,105.110168|20.754414,105.074898|20.770407,105.109665|20.807871,105.115845&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|20.752287,105.073647|20.716669,105.033333|20.701088,105.073624&signature=Rx15b_rE2PzYxMknBtm019Y0G8g=",https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=13458118&from=Hotel_Review&area=&slot=3&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=307786587&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkcqpaVwDJ1C0UDeHINGz7nA6cc6abCzuz71Bxh55rLtHcGf1cldYn7McE29Roz4bew&bapid=3&cs=1de2167958c3c03903126372774b1dc23&ba_uid=15cb1fd1-7bef-4a98-ba3b-31cf6523f814,0987536787,#1 of 10 hotels in Mai Chau,290 ,5.0,4.8,4.9,4.8,4.8,Excellent,126,https://www.tripadvisor.com/Hotel_Review-g1652592-d13458118-Reviews-Mai_Chau_Hideaway_Lake_Resort-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html?spAttributionToken=MjY5NjU3Njc,,nan,5.0 of 5 bubbles,Family,Trendy,"English, Vietnamese",3,Mai Chau Hideaway Restaurant,https://www.tripadvisor.com/Restaurant_Review-g3320435-d23172426-Reviews-Mai_Chau_Hideaway_Restaurant-Hoa_Binh_Hoa_Binh_Province.html,Pho Co Nam Dinh,https://www.tripadvisor.com/Restaurant_Review-g1652592-d28104543-Reviews-Pho_Co_Nam_Dinh-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Nhà Hàng Hoa Ban Mai Châu,https://www.tripadvisor.com/Restaurant_Review-g1652592-d25291284-Reviews-Nha_Hang_Hoa_Ban_Mai_Chau-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/25/44/af/caption.jpg?w=700&h=-1&s=1
Hòa Bình,Mandala Retreats Kim Bôi,Kim Boi 36906 Vietnam,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=20.666620,105.543037&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|20.666620,105.543037|20.666620,105.543037|20.689850,105.523834|20.687288,105.524872|20.688347,105.518135|20.695339,105.507217|20.697018,105.508446|20.695574,105.506500&signature=h6t1Qv0lVytOjFef49UmAyglrmk=",nan,nan,#1 of 2 hotels in Kim Boi,26 ,5.0,4.9,5.0,4.9,4.9,Excellent,62,https://www.tripadvisor.com/Hotel_Review-g25185508-d26636033-Reviews-Mandala_Retreats_Kim_Boi-Kim_Boi_Hoa_Binh_Province.html,,nan,5.0 of 5 bubbles,Business,Mid-range,"English, Vietnamese",nan,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/6d/66/ff/ben-ngoai.jpg?w=700&h=-1&s=1
Hòa Bình,Serena Resort Kim Boi,"Xóm Khai Đồi, Sào Báy, Hoa Binh 355100 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=20.592735,105.587502&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|20.592735,105.587502|20.592735,105.587502|20.592726,105.587524|20.591002,105.590553&signature=jdalDKTLgT2pfcRvSs8UQ2u5PCg=",nan,nan,#1 of 1 resort in Hoa Binh,82 ,4.5,4.4,3.8,4.1,4.3,Excellent,59,https://www.tripadvisor.com/Hotel_Review-g3320435-d12342982-Reviews-Serena_Resort_Kim_Boi-Hoa_Binh_Hoa_Binh_Province.html,,nan,4.5 of 5 bubbles,Family,Trendy,"English, Vietnamese",nan,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/2c/aa/9d/serena-resort-kim-boi.jpg?w=700&h=-1&s=1
Hòa Bình,Little Mai Chau Home Stay,Mai Chau Vietnam,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=13&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=20.655828,105.065308&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|20.648544,105.068321&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|20.655828,105.065308|20.657780,105.069740|20.655828,105.065308|20.653837,105.067055|20.649464,105.066933|20.653746,105.071587|20.653860,105.072830|20.654474,105.072929|20.653246,105.071892|20.651409,105.071892&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|20.654058,105.073112|20.650560,105.072266|20.653656,105.072838|20.652710,105.071274|20.655560,105.066574|20.655554,105.066429|20.653996,105.073257|20.661402,105.068237|20.652710,105.071274&signature=9EQgbW12mP2JQb1kT0fctA7j5Xs=",nan,nan,#1 of 8 guest houses in Mai Chau,61 ,5.0,5.0,5.0,4.9,4.8,Excellent,10,https://www.tripadvisor.com/Hotel_Review-g1652592-d13929696-Reviews-Little_Mai_Chau_Home_Stay-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,,nan,5.0 of 5 bubbles,Budget,Family,nan,10,Sunset Bar,https://www.tripadvisor.com/Restaurant_Review-g1652592-d7742161-Reviews-Sunset_Bar-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Coffe Lop,https://www.tripadvisor.com/Restaurant_Review-g1652592-d16657155-Reviews-Coffe_Lop-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Mini bar & Food,https://www.tripadvisor.com/Restaurant_Review-g1652592-d10777833-Reviews-Mini_bar_Food-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Mai Chau Home,https://www.tripadvisor.com/Restaurant_Review-g1652592-d16763041-Reviews-Mai_Chau_Home-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Hoa Ban Plus,https://www.tripadvisor.com/Attraction_Review-g1652592-d6495876-Reviews-Hoa_Ban_Plus-Mai_Chau_Mai_Chau_District_Hoa_Binh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/9d/00/49/delicious-dinner.jpg?w=700&h=-1&s=1
