Tourist Attraction,Hotel Name,Address,Address Link,Hotel Website,Hotline,Ranking,Reviewers,Rating,Location rating,Cleanliness rating,Service rating,Value rating,Comment,Price,URL,Description,Award,Hotel Class,Hotel Style 1,Hotel Style 2,Language Spoken,Numbers of near Restaurants,Near Restaurant 1,Link Near Restaurant 1,Near Restaurant 2,Link Near Restaurant 2,Near Restaurant 3,Link Near Restaurant 3,Near Restaurant 4,Link Near Restaurant 4,Near Attraction 1,Link Near Attraction 1,Near Attraction 2,Link Near Attraction 2,Near Attraction 3,Link Near Attraction 3,Near Attraction 4,Link Near Attraction 4,Numbers of near Attractions,Hotel Image
Khánh Hòa,The Empyrean Nha Trang Hotel,"02 Nguyen Thi Minh Khai, Loc Tho, Nha Trang 57100 Vietnam",nan,https://www.tripadvisor.com,02583848888,#10 of 384 hotels in Nha Trang,331 ,5.0,5.0,4.9,5.0,5.0,Excellent,48,https://www.tripadvisor.com/Hotel_Review-g293928-d25435037-Reviews-The_Empyrean_Nha_Trang_Hotel-Nha_Trang_Khanh_Hoa_Province.html?spAttributionToken=MjcwMTM2MzE,,nan,5.0 of 5 bubbles,Luxury,City View,"English, Russian, Chinese, Korean and 1 more",nan,Alpaca Homestyle Cafe,https://www.tripadvisor.com/Restaurant_Review-g293928-d8624662-Reviews-Alpaca_Homestyle_Cafe-Nha_Trang_Khanh_Hoa_Province.html,Xóm Mới Garden,https://www.tripadvisor.com/Restaurant_Review-g293928-d25170121-Reviews-Xom_M_i_Garden-Nha_Trang_Khanh_Hoa_Province.html,Ngon Gallery Nha Trang,https://www.tripadvisor.com/Restaurant_Review-g293928-d24034737-Reviews-Ngon_Gallery_Nha_Trang-Nha_Trang_Khanh_Hoa_Province.html,Mắm Restaurant - Homestyle Vietnamese Flavors,https://www.tripadvisor.com/Restaurant_Review-g293928-d27169330-Reviews-M_m_Restaurant_Homestyle_Vietnamese_Flavors-Nha_Trang_Khanh_Hoa_Province.html,XQ Hand Embroidery,https://www.tripadvisor.com/Attraction_Review-g293928-d4101130-Reviews-XQ_Hand_Embroidery-Nha_Trang_Khanh_Hoa_Province.html,Hiếu Tattoo Nha Trang,https://www.tripadvisor.com/Attraction_Review-g293928-d26771889-Reviews-Hi_u_Tattoo_Nha_Trang-Nha_Trang_Khanh_Hoa_Province.html,Nha Trang Water Puppet Theater,https://www.tripadvisor.com/Attraction_Review-g293928-d8046397-Reviews-Nha_Trang_Water_Puppet_Theater-Nha_Trang_Khanh_Hoa_Province.html,Rum House,https://www.tripadvisor.com/Attraction_Review-g293928-d26841012-Reviews-Rum_House-Nha_Trang_Khanh_Hoa_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/cd/2d/9f/the-empyrean-nha-trang.jpg?w=700&h=-1&s=1
Khánh Hòa,Vinpearl Beachfront Nha Trang,"78 - 80 Tran Phu Street Lộc Thọ, Nha Trang 650000 Vietnam",nan,nan,nan,#6 of 384 hotels in Nha Trang,"1,265 ",5.0,4.9,5.0,4.9,4.9,Excellent,52,https://www.tripadvisor.com/Hotel_Review-g293928-d15142275-Reviews-Vinpearl_Beachfront_Nha_Trang-Nha_Trang_Khanh_Hoa_Province.html,,nan,5.0 of 5 bubbles,Trendy,Ocean View,"English, Korean, Vietnamese",nan,Ngon Gallery Nha Trang,https://www.tripadvisor.com/Restaurant_Review-g293928-d24034737-Reviews-Ngon_Gallery_Nha_Trang-Nha_Trang_Khanh_Hoa_Province.html,Dinner at Cim’s,https://www.tripadvisor.com/Restaurant_Review-g293928-d15296376-Reviews-Dinner_at_Cim_s-Nha_Trang_Khanh_Hoa_Province.html,Swiss House La Casserole,https://www.tripadvisor.com/Restaurant_Review-g293928-d3839317-Reviews-Swiss_House_La_Casserole-Nha_Trang_Khanh_Hoa_Province.html,Cheers Sports Pub,https://www.tripadvisor.com/Restaurant_Review-g293928-d7590112-Reviews-Cheers_Sports_Pub-Nha_Trang_Khanh_Hoa_Province.html,Killed Kenny Bar,https://www.tripadvisor.com/Attraction_Review-g293928-d14108980-Reviews-Killed_Kenny_Bar-Nha_Trang_Khanh_Hoa_Province.html,XQ Hand Embroidery,https://www.tripadvisor.com/Attraction_Review-g293928-d4101130-Reviews-XQ_Hand_Embroidery-Nha_Trang_Khanh_Hoa_Province.html,Viet Farm,https://www.tripadvisor.com/Attraction_Review-g293928-d13969634-Reviews-Viet_Farm-Nha_Trang_Khanh_Hoa_Province.html,Rum House,https://www.tripadvisor.com/Attraction_Review-g293928-d26841012-Reviews-Rum_House-Nha_Trang_Khanh_Hoa_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/0f/b7/39/restaurant.jpg?w=700&h=-1&s=1
Khánh Hòa,Sheraton Nha Trang Hotel & Spa,"26 - 28 Tran Phu Street, Nha Trang Vietnam",nan,https://www.tripadvisor.com,0018446310595,#1 of 384 hotels in Nha Trang,"3,838 ",4.5,4.7,4.8,4.7,4.5,Excellent,148,https://www.tripadvisor.com/Hotel_Review-g293928-d1534400-Reviews-Sheraton_Nha_Trang_Hotel_Spa-Nha_Trang_Khanh_Hoa_Province.html,,nan,4.5 of 5 bubbles,Family,Green,"English, Russian, Chinese, Korean and 1 more",nan,Feast,https://www.tripadvisor.com/Restaurant_Review-g293928-d1803465-Reviews-Feast-Nha_Trang_Khanh_Hoa_Province.html,Altitude Rooftop Bar,https://www.tripadvisor.com/Restaurant_Review-g293928-d2233968-Reviews-Altitude_Rooftop_Bar-Nha_Trang_Khanh_Hoa_Province.html,&More by Sheraton,https://www.tripadvisor.com/Restaurant_Review-g293928-d1803466-Reviews-More_by_Sheraton-Nha_Trang_Khanh_Hoa_Province.html,Steam n' Spice,https://www.tripadvisor.com/Restaurant_Review-g293928-d1803467-Reviews-Steam_n_Spice-Nha_Trang_Khanh_Hoa_Province.html,Thap Tram Huong,https://www.tripadvisor.com/Attraction_Review-g293928-d9990046-Reviews-Thap_Tram_Huong-Nha_Trang_Khanh_Hoa_Province.html,Havana Club,https://www.tripadvisor.com/Attraction_Review-g293928-d9748275-Reviews-Havana_Club-Nha_Trang_Khanh_Hoa_Province.html,Nha Trang Center,https://www.tripadvisor.com/Attraction_Review-g293928-d7245662-Reviews-Nha_Trang_Center-Nha_Trang_Khanh_Hoa_Province.html,Diamond Bay Gaming Club,https://www.tripadvisor.com/Attraction_Review-g293928-d27287634-Reviews-Diamond_Bay_Gaming_Club-Nha_Trang_Khanh_Hoa_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/0c/b4/e3/infinity-swimming-pool.jpg?w=700&h=-1&s=1
Khánh Hòa,Havana Nha Trang Hotel,"38 Tran Phu Street Loc Tho Ward, Nha Trang 650000 Vietnam",nan,nan,nan,#32 of 384 hotels in Nha Trang,"3,197 ",5.0,4.9,4.8,4.7,4.7,Excellent,43,https://www.tripadvisor.com/Hotel_Review-g293928-d4328685-Reviews-Havana_Nha_Trang_Hotel-Nha_Trang_Khanh_Hoa_Province.html,,nan,5.0 of 5 bubbles,Green,Marina View,Vietnamese,nan,Feast,https://www.tripadvisor.com/Restaurant_Review-g293928-d1803465-Reviews-Feast-Nha_Trang_Khanh_Hoa_Province.html,Alpaca Homestyle Cafe,https://www.tripadvisor.com/Restaurant_Review-g293928-d8624662-Reviews-Alpaca_Homestyle_Cafe-Nha_Trang_Khanh_Hoa_Province.html,Altitude Rooftop Bar,https://www.tripadvisor.com/Restaurant_Review-g293928-d2233968-Reviews-Altitude_Rooftop_Bar-Nha_Trang_Khanh_Hoa_Province.html,&More by Sheraton,https://www.tripadvisor.com/Restaurant_Review-g293928-d1803466-Reviews-More_by_Sheraton-Nha_Trang_Khanh_Hoa_Province.html,Hiếu Tattoo Nha Trang,https://www.tripadvisor.com/Attraction_Review-g293928-d26771889-Reviews-Hi_u_Tattoo_Nha_Trang-Nha_Trang_Khanh_Hoa_Province.html,Havana Club,https://www.tripadvisor.com/Attraction_Review-g293928-d9748275-Reviews-Havana_Club-Nha_Trang_Khanh_Hoa_Province.html,Diamond Bay Gaming Club,https://www.tripadvisor.com/Attraction_Review-g293928-d27287634-Reviews-Diamond_Bay_Gaming_Club-Nha_Trang_Khanh_Hoa_Province.html,Nha Trang Shopping,https://www.tripadvisor.com/Attraction_Review-g293928-d7037905-Reviews-Nha_Trang_Shopping-Nha_Trang_Khanh_Hoa_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/85/56/bc/havana-nha-trang-hotel.jpg?w=700&h=-1&s=1
Khánh Hòa,The Anam Cam Ranh,"Cam Ranh, Cam Hai Dong 650000 Vietnam",nan,nan,nan,#3 of 5 resorts in Cam Hai Dong,"1,496 ",5.0,4.7,4.9,4.7,4.6,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g18928520-d10587972-Reviews-The_Anam_Cam_Ranh-Cam_Hai_Dong_Cam_Lam_District_Khanh_Hoa_Province.html,,nan,5.0 of 5 bubbles,Romantic,Charming,"English, Chinese, Vietnamese",nan,Quán Hải Sản Mộng Ước,https://www.tripadvisor.com/Restaurant_Review-g18928520-d25551556-Reviews-Quan_H_i_S_n_M_ng_U_c-Cam_Hai_Dong_Cam_Lam_District_Khanh_Hoa_Province.html,La Casa Italian Restaurant At Alma Resort,https://www.tripadvisor.com/Restaurant_Review-g18928520-d25060423-Reviews-La_Casa_Italian_Restaurant_At_Alma_Resort-Cam_Hai_Dong_Cam_Lam_District_Khanh_.html,Mong Uoc Seafood Restaurant,https://www.tripadvisor.com/Restaurant_Review-g18928520-d25550166-Reviews-Mong_Uoc_Seafood_Restaurant-Cam_Hai_Dong_Cam_Lam_District_Khanh_Hoa_Province.html,Alma Lounge at Alma Resort,https://www.tripadvisor.com/Restaurant_Review-g18928520-d25064571-Reviews-Alma_Lounge_at_Alma_Resort-Cam_Hai_Dong_Cam_Lam_District_Khanh_Hoa_Province.html,Biển Bãi Dài,https://www.tripadvisor.com/Attraction_Review-g1025208-d8095403-Reviews-Bi_n_Bai_Dai-Cam_Ranh_Khanh_Hoa_Province.html,Splash Water Park,https://www.tripadvisor.com/Attraction_Review-g18928520-d25064348-Reviews-Splash_Water_Park-Cam_Hai_Dong_Cam_Lam_District_Khanh_Hoa_Province.html,Cham Khanh Hoa,https://www.tripadvisor.com/Attraction_Review-g14125084-d20063813-Reviews-Cham_Khanh_Hoa-Cam_Duc_Cam_Lam_District_Khanh_Hoa_Province.html,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/35/f2/1c/the-anam.jpg?w=700&h=-1&s=1
Khánh Hòa,Vinpearl Resort & Spa Nha Trang Bay,"Đảo Hòn Tre, Nha Trang 650000 Vietnam",nan,nan,nan,#12 of 384 hotels in Nha Trang,"3,629 ",5.0,4.7,4.5,4.6,4.5,Excellent,94,https://www.tripadvisor.com/Hotel_Review-g293928-d7620255-Reviews-Vinpearl_Resort_Spa_Nha_Trang_Bay-Nha_Trang_Khanh_Hoa_Province.html,,nan,5.0 of 5 bubbles,Modern,Park View,"English, Vietnamese",nan,Feast,https://www.tripadvisor.com/Restaurant_Review-g293928-d1803465-Reviews-Feast-Nha_Trang_Khanh_Hoa_Province.html,Alpaca Homestyle Cafe,https://www.tripadvisor.com/Restaurant_Review-g293928-d8624662-Reviews-Alpaca_Homestyle_Cafe-Nha_Trang_Khanh_Hoa_Province.html,Altitude Rooftop Bar,https://www.tripadvisor.com/Restaurant_Review-g293928-d2233968-Reviews-Altitude_Rooftop_Bar-Nha_Trang_Khanh_Hoa_Province.html,&More by Sheraton,https://www.tripadvisor.com/Restaurant_Review-g293928-d1803466-Reviews-More_by_Sheraton-Nha_Trang_Khanh_Hoa_Province.html,Emperor Cruises Origin Nha Trang,https://www.tripadvisor.com/Attraction_Review-g293928-d7929240-Reviews-Emperor_Cruises_Origin_Nha_Trang-Nha_Trang_Khanh_Hoa_Province.html,Karma Nha Trang,https://www.tripadvisor.com/Attraction_Review-g293928-d25239452-Reviews-Karma_Nha_Trang-Nha_Trang_Khanh_Hoa_Province.html,Po Nagar Cham Towers,https://www.tripadvisor.com/Attraction_Review-g293928-d451112-Reviews-Po_Nagar_Cham_Towers-Nha_Trang_Khanh_Hoa_Province.html,Long Thanh Photo Studio,https://www.tripadvisor.com/Attraction_Review-g293928-d451113-Reviews-Long_Thanh_Photo_Studio-Nha_Trang_Khanh_Hoa_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/17/45/4a/vinpearl-resort-spa-nha.jpg?w=700&h=-1&s=1
Khánh Hòa,Diamond Bay Hotel,"20 Tran Phu Street Loc Tho Ward, Nha Trang 65000 Vietnam",nan,https://www.tripadvisor.com,02583819777,#28 of 384 hotels in Nha Trang,702 ,5.0,4.9,4.9,4.9,4.9,Excellent,31,https://www.tripadvisor.com/Hotel_Review-g293928-d10073453-Reviews-Diamond_Bay_Hotel-Nha_Trang_Khanh_Hoa_Province.html?spAttributionToken=MjY5ODQ3MDA,,nan,5.0 of 5 bubbles,City View,Ocean View,"English, Chinese, Vietnamese",nan,Feast,https://www.tripadvisor.com/Restaurant_Review-g293928-d1803465-Reviews-Feast-Nha_Trang_Khanh_Hoa_Province.html,Altitude Rooftop Bar,https://www.tripadvisor.com/Restaurant_Review-g293928-d2233968-Reviews-Altitude_Rooftop_Bar-Nha_Trang_Khanh_Hoa_Province.html,&More by Sheraton,https://www.tripadvisor.com/Restaurant_Review-g293928-d1803466-Reviews-More_by_Sheraton-Nha_Trang_Khanh_Hoa_Province.html,Steam n' Spice,https://www.tripadvisor.com/Restaurant_Review-g293928-d1803467-Reviews-Steam_n_Spice-Nha_Trang_Khanh_Hoa_Province.html,Alexandre Yersin Museum,https://www.tripadvisor.com/Attraction_Review-g293928-d451109-Reviews-Alexandre_Yersin_Museum-Nha_Trang_Khanh_Hoa_Province.html,Thap Tram Huong,https://www.tripadvisor.com/Attraction_Review-g293928-d9990046-Reviews-Thap_Tram_Huong-Nha_Trang_Khanh_Hoa_Province.html,Havana Club,https://www.tripadvisor.com/Attraction_Review-g293928-d9748275-Reviews-Havana_Club-Nha_Trang_Khanh_Hoa_Province.html,Nha Trang Center,https://www.tripadvisor.com/Attraction_Review-g293928-d7245662-Reviews-Nha_Trang_Center-Nha_Trang_Khanh_Hoa_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/e6/df/aa/khach-s-n-diamond-bay.jpg?w=700&h=-1&s=1
Khánh Hòa,Hon Tam Resort,"Hon Tam island, Nha Trang 650000 Vietnam",nan,nan,nan,#2 of 15 resorts in Nha Trang,"1,762 ",4.5,4.8,4.4,4.5,4.4,Excellent,51,https://www.tripadvisor.com/Hotel_Review-g293928-d1194915-Reviews-Hon_Tam_Resort-Nha_Trang_Khanh_Hoa_Province.html,,nan,4.5 of 5 bubbles,Family Resort,Marina View,"English, Chinese, Vietnamese",nan,Dinner at Cim’s,https://www.tripadvisor.com/Restaurant_Review-g293928-d15296376-Reviews-Dinner_at_Cim_s-Nha_Trang_Khanh_Hoa_Province.html,Swiss House La Casserole,https://www.tripadvisor.com/Restaurant_Review-g293928-d3839317-Reviews-Swiss_House_La_Casserole-Nha_Trang_Khanh_Hoa_Province.html,Sushi Mania,https://www.tripadvisor.com/Restaurant_Review-g293928-d17596444-Reviews-Sushi_Mania-Nha_Trang_Khanh_Hoa_Province.html,Nom Nom Nha Trang,https://www.tripadvisor.com/Restaurant_Review-g293928-d10045083-Reviews-Nom_Nom_Nha_Trang-Nha_Trang_Khanh_Hoa_Province.html,Emperor Cruises Origin Nha Trang,https://www.tripadvisor.com/Attraction_Review-g293928-d7929240-Reviews-Emperor_Cruises_Origin_Nha_Trang-Nha_Trang_Khanh_Hoa_Province.html,Karma Nha Trang,https://www.tripadvisor.com/Attraction_Review-g293928-d25239452-Reviews-Karma_Nha_Trang-Nha_Trang_Khanh_Hoa_Province.html,VinWonders Nha Trang,https://www.tripadvisor.com/Attraction_Review-g293928-d1451754-Reviews-VinWonders_Nha_Trang-Nha_Trang_Khanh_Hoa_Province.html,Killed Kenny Bar,https://www.tripadvisor.com/Attraction_Review-g293928-d14108980-Reviews-Killed_Kenny_Bar-Nha_Trang_Khanh_Hoa_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/51/94/77/landscape.jpg?w=700&h=-1&s=1
Khánh Hòa,Vinpearl Resort Nha Trang,"Hon Tre Island, Nha Trang 650000 Vietnam",nan,nan,nan,#4 of 15 resorts in Nha Trang,"2,881 ",4.5,4.6,4.6,4.4,4.2,Excellent,85,https://www.tripadvisor.com/Hotel_Review-g293928-d446818-Reviews-Vinpearl_Resort_Nha_Trang-Nha_Trang_Khanh_Hoa_Province.html,,nan,4.5 of 5 bubbles,Family Resort,Park View,"English, Chinese, Vietnamese",nan,Feast,https://www.tripadvisor.com/Restaurant_Review-g293928-d1803465-Reviews-Feast-Nha_Trang_Khanh_Hoa_Province.html,Alpaca Homestyle Cafe,https://www.tripadvisor.com/Restaurant_Review-g293928-d8624662-Reviews-Alpaca_Homestyle_Cafe-Nha_Trang_Khanh_Hoa_Province.html,Altitude Rooftop Bar,https://www.tripadvisor.com/Restaurant_Review-g293928-d2233968-Reviews-Altitude_Rooftop_Bar-Nha_Trang_Khanh_Hoa_Province.html,&More by Sheraton,https://www.tripadvisor.com/Restaurant_Review-g293928-d1803466-Reviews-More_by_Sheraton-Nha_Trang_Khanh_Hoa_Province.html,Emperor Cruises Origin Nha Trang,https://www.tripadvisor.com/Attraction_Review-g293928-d7929240-Reviews-Emperor_Cruises_Origin_Nha_Trang-Nha_Trang_Khanh_Hoa_Province.html,Karma Nha Trang,https://www.tripadvisor.com/Attraction_Review-g293928-d25239452-Reviews-Karma_Nha_Trang-Nha_Trang_Khanh_Hoa_Province.html,Po Nagar Cham Towers,https://www.tripadvisor.com/Attraction_Review-g293928-d451112-Reviews-Po_Nagar_Cham_Towers-Nha_Trang_Khanh_Hoa_Province.html,Long Thanh Photo Studio,https://www.tripadvisor.com/Attraction_Review-g293928-d451113-Reviews-Long_Thanh_Photo_Studio-Nha_Trang_Khanh_Hoa_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/17/44/ca/vinpearl-resort-nha-trang.jpg?w=700&h=-1&s=1
Khánh Hòa,Mövenpick Resort Cam Ranh,"Plot D12 ABC, Cam Hai Dong 57615 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=12.045581,109.208176&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|12.067392,109.200867|11.992140,109.212959|12.070438,109.196701|11.998078,109.219002|12.055400,109.160942&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|12.045581,109.208176|12.060249,109.199898|12.086464,109.192482|12.100508,109.192680|12.030672,109.213081|12.036990,109.212929|12.072595,109.194809|12.051439,109.205399|12.082331,109.193695|12.045581,109.208176&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|12.048460,109.193481|12.074383,109.197968|12.048739,109.193771|12.072321,109.194588|12.071251,109.194931|12.072978,109.195007|12.072777,109.194275|12.049312,109.207970|12.049563,109.195534&signature=_uoBJ_REL5Tu-Er_UkTB_9S-RMs=",nan,nan,#5 of 5 resorts in Cam Hai Dong,575 ,4.5,4.6,4.6,4.4,4.4,Excellent,99,https://www.tripadvisor.com/Hotel_Review-g18928520-d19065457-Reviews-Movenpick_Resort_Cam_Ranh-Cam_Hai_Dong_Cam_Lam_District_Khanh_Hoa_Province.html,,nan,4.5 of 5 bubbles,Modern,Business,"English, French, Chinese, Japanese and 2 more",nan,Quán Hải Sản Mộng Ước,https://www.tripadvisor.com/Restaurant_Review-g18928520-d25551556-Reviews-Quan_H_i_S_n_M_ng_U_c-Cam_Hai_Dong_Cam_Lam_District_Khanh_Hoa_Province.html,La Casa Italian Restaurant At Alma Resort,https://www.tripadvisor.com/Restaurant_Review-g18928520-d25060423-Reviews-La_Casa_Italian_Restaurant_At_Alma_Resort-Cam_Hai_Dong_Cam_Lam_District_Khanh_.html,Mong Uoc Seafood Restaurant,https://www.tripadvisor.com/Restaurant_Review-g18928520-d25550166-Reviews-Mong_Uoc_Seafood_Restaurant-Cam_Hai_Dong_Cam_Lam_District_Khanh_Hoa_Province.html,Alma Lounge at Alma Resort,https://www.tripadvisor.com/Restaurant_Review-g18928520-d25064571-Reviews-Alma_Lounge_at_Alma_Resort-Cam_Hai_Dong_Cam_Lam_District_Khanh_Hoa_Province.html,Biển Bãi Dài,https://www.tripadvisor.com/Attraction_Review-g1025208-d8095403-Reviews-Bi_n_Bai_Dai-Cam_Ranh_Khanh_Hoa_Province.html,Vietnam - Russia Monument,https://www.tripadvisor.com/Attraction_Review-g1025208-d9876745-Reviews-Vietnam_Russia_Monument-Cam_Ranh_Khanh_Hoa_Province.html,Splash Water Park,https://www.tripadvisor.com/Attraction_Review-g18928520-d25064348-Reviews-Splash_Water_Park-Cam_Hai_Dong_Cam_Lam_District_Khanh_Hoa_Province.html,Long Beach Pearl,https://www.tripadvisor.com/Attraction_Review-g1025208-d26451965-Reviews-Long_Beach_Pearl-Cam_Ranh_Khanh_Hoa_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/6c/8d/bc/exterior.jpg?w=700&h=-1&s=1
