Tourist Attraction,Hotel Name,Address,Address Link,Hotel Website,Hotline,Ranking,Reviewers,Rating,Location rating,Cleanliness rating,Service rating,Value rating,Comment,Price,URL,Description,Award,Hotel Class,Hotel Style 1,Hotel Style 2,Language Spoken,Numbers of near Restaurants,Near Restaurant 1,Link Near Restaurant 1,Near Restaurant 2,Link Near Restaurant 2,Near Restaurant 3,Link Near Restaurant 3,Near Restaurant 4,Link Near Restaurant 4,Near Attraction 1,Link Near Attraction 1,Near Attraction 2,Link Near Attraction 2,Near Attraction 3,Link Near Attraction 3,Near Attraction 4,Link Near Attraction 4,Numbers of near Attractions,Hotel Image
Lai Châu,Muong Thanh Lai Chau Hotel,"113 Le Duan Street, Tan Phong Ward, Lai Chau 28000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=22.396612,103.471046&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|22.396612,103.471046|22.396612,103.471046|22.399670,103.446220|22.388815,103.462646|22.393311,103.475769|22.391085,103.478310|22.406179,103.431923|22.401539,103.462585|22.397583,103.471725|22.392000,103.467003&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|22.393913,103.465378|22.383221,103.472450|22.383966,103.468300|22.394409,103.467697&signature=G61ZZGGSB1D3ccHwLzGQvSXycrE=",nan,nan,#1 of 3 hotels in Lai Chau,192 ,4.5,4.7,4.7,4.5,4.7,Excellent,28,https://www.tripadvisor.com/Hotel_Review-g811257-d3229325-Reviews-Muong_Thanh_Lai_Chau_Hotel-Lai_Chau_Lai_Chau_Province.html,,nan,4.5 of 5 bubbles,Family,Business,Vietnamese,nan,Dreamy Coffee,https://www.tripadvisor.com/Restaurant_Review-g811257-d11825463-Reviews-Dreamy_Coffee-Lai_Chau_Lai_Chau_Province.html,Nhà Hàng Mạnh Hùng,https://www.tripadvisor.com/Restaurant_Review-g811257-d18178597-Reviews-Nha_Hang_M_nh_Hung-Lai_Chau_Lai_Chau_Province.html,Mong Caphe,https://www.tripadvisor.com/Restaurant_Review-g811257-d13476624-Reviews-Mong_Caphe-Lai_Chau_Lai_Chau_Province.html,Chạng Vạng Lai Châu,https://www.tripadvisor.com/Restaurant_Review-g811257-d28504521-Reviews-Ch_ng_V_ng_Lai_Chau-Lai_Chau_Lai_Chau_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/49/57/e0/khach-s-n-mu-ng-thanh.jpg?w=700&h=-1&s=1
Lai Châu,Minh Son Hotel,"33 Nguyen Thi Minh Khai, Lai Chau 30000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=22.391085,103.478310&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|22.391085,103.478310|22.396612,103.471046|22.399670,103.446220|22.388815,103.462646|22.393311,103.475769|22.391085,103.478310|22.406179,103.431923|22.401539,103.462585|22.384483,103.472992|22.386223,103.470261&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|22.393913,103.465378|22.383221,103.472450|22.383966,103.468300|22.394409,103.467697&signature=2HmUp09x7BFAOxs-AfB0xVfNl0I=",nan,nan,#2 of 3 hotels in Lai Chau,1 review,3.0,nan,nan,nan,nan,Average,14,https://www.tripadvisor.com/Hotel_Review-g811257-d15655002-Reviews-Minh_Son_Hotel-Lai_Chau_Lai_Chau_Province.html,,nan,3.0 of 5 bubbles,Budget,Business,nan,nan,Dreamy Coffee,https://www.tripadvisor.com/Restaurant_Review-g811257-d11825463-Reviews-Dreamy_Coffee-Lai_Chau_Lai_Chau_Province.html,Nhà Hàng Mạnh Hùng,https://www.tripadvisor.com/Restaurant_Review-g811257-d18178597-Reviews-Nha_Hang_M_nh_Hung-Lai_Chau_Lai_Chau_Province.html,Mong Caphe,https://www.tripadvisor.com/Restaurant_Review-g811257-d13476624-Reviews-Mong_Caphe-Lai_Chau_Lai_Chau_Province.html,Chạng Vạng Lai Châu,https://www.tripadvisor.com/Restaurant_Review-g811257-d28504521-Reviews-Ch_ng_V_ng_Lai_Chau-Lai_Chau_Lai_Chau_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/2d/8c/54/4b/minh-son-hotel.jpg?w=700&h=-1&s=1
Lai Châu,Tan Uyen Paradise,"No 17, Tan Uyen Town, Lai Chau 30700 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=915x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=22.175554,103.772369&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|22.175554,103.772369|22.175554,103.772369|22.178644,103.760185&signature=PfOMDmZj7Eqi4Jr8Y2E_ar4rEsg=",nan,nan,#1 of 2 hostels in Lai Chau,4 ,5.0,nan,nan,nan,nan,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g811257-d26521272-Reviews-Tan_Uyen_Paradise-Lai_Chau_Lai_Chau_Province.html,,nan,5.0 of 5 bubbles,Mid-range,Quaint,nan,nan,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/0d/6e/f9/caption.jpg?w=700&h=-1&s=1
Lai Châu,Tay Bac Hotel,"149 Tran Hung Dao, Lai Chau Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=915x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=22.399670,103.446220&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|22.399670,103.446220|22.396612,103.471046|22.399670,103.446220|22.388815,103.462646|22.393311,103.475769|22.406179,103.431923|22.391085,103.478310|22.401539,103.462585|22.399670,103.446220|22.398130,103.454613&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|22.393913,103.465378|22.383221,103.472450|22.383966,103.468300|22.394409,103.467697&signature=RFNYPUvql3MhySf3Mi-Du7vQ5lA=",nan,nan,#1 of 1 lodge in Lai Chau,2 ,5.0,nan,nan,nan,nan,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g811257-d11770511-Reviews-Tay_Bac_Hotel-Lai_Chau_Lai_Chau_Province.html,,nan,5.0 of 5 bubbles,nan,nan,nan,4,Dreamy Coffee,https://www.tripadvisor.com/Restaurant_Review-g811257-d11825463-Reviews-Dreamy_Coffee-Lai_Chau_Lai_Chau_Province.html,Nhà Hàng Mạnh Hùng,https://www.tripadvisor.com/Restaurant_Review-g811257-d18178597-Reviews-Nha_Hang_M_nh_Hung-Lai_Chau_Lai_Chau_Province.html,Mong Caphe,https://www.tripadvisor.com/Restaurant_Review-g811257-d13476624-Reviews-Mong_Caphe-Lai_Chau_Lai_Chau_Province.html,Chạng Vạng Lai Châu,https://www.tripadvisor.com/Restaurant_Review-g811257-d28504521-Reviews-Ch_ng_V_ng_Lai_Chau-Lai_Chau_Lai_Chau_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/87/12/47/phong-twin-gia-ch-200k.jpg?w=700&h=-1&s=1
Lai Châu,Thuy Tien Hotel,"87, Group 9, Tran Quoc Manh Street Tan Phong Ward, Lai Chau Vietnam",nan,nan,nan,#1 of 3 special hotels in Lai Chau,1 review,4.0,nan,nan,nan,nan,Very good,nan,https://www.tripadvisor.com/Hotel_Review-g811257-d13322705-Reviews-Thuy_Tien_Hotel-Lai_Chau_Lai_Chau_Province.html,No description available,nan,4.0 of 5 bubbles,Budget,Family,Vietnamese,4,Dreamy Coffee,https://www.tripadvisor.com/Restaurant_Review-g811257-d11825463-Reviews-Dreamy_Coffee-Lai_Chau_Lai_Chau_Province.html,Nhà Hàng Mạnh Hùng,https://www.tripadvisor.com/Restaurant_Review-g811257-d18178597-Reviews-Nha_Hang_M_nh_Hung-Lai_Chau_Lai_Chau_Province.html,Mong Caphe,https://www.tripadvisor.com/Restaurant_Review-g811257-d13476624-Reviews-Mong_Caphe-Lai_Chau_Lai_Chau_Province.html,Chạng Vạng Lai Châu,https://www.tripadvisor.com/Restaurant_Review-g811257-d28504521-Reviews-Ch_ng_V_ng_Lai_Chau-Lai_Chau_Lai_Chau_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f6/2c/59/buckwheat-flower.jpg?w=700&h=-1&s=1
Lai Châu,Nha Khach Huong Phong,"59 Dai Lo Le Loi Tan Phong, Lai Chau Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=915x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=22.393311,103.475769&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|22.393311,103.475769|22.396612,103.471046|22.399670,103.446220|22.388815,103.462646|22.393311,103.475769|22.391085,103.478310|22.406179,103.431923|22.401539,103.462585|22.397583,103.471725|22.391039,103.467514&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|22.393913,103.465378|22.383221,103.472450|22.383966,103.468300|22.394409,103.467697&signature=tY_J5pZExxTffEQK8p5hk5S5x0w=",nan,nan,#1 of 1 guest house in Lai Chau,1 review,4.0,nan,nan,nan,nan,Very good,nan,https://www.tripadvisor.com/Hotel_Review-g811257-d13545624-Reviews-Nha_Khach_Huong_Phong-Lai_Chau_Lai_Chau_Province.html,,nan,4.0 of 5 bubbles,nan,nan,nan,4,Dreamy Coffee,https://www.tripadvisor.com/Restaurant_Review-g811257-d11825463-Reviews-Dreamy_Coffee-Lai_Chau_Lai_Chau_Province.html,Nhà Hàng Mạnh Hùng,https://www.tripadvisor.com/Restaurant_Review-g811257-d18178597-Reviews-Nha_Hang_M_nh_Hung-Lai_Chau_Lai_Chau_Province.html,Mong Caphe,https://www.tripadvisor.com/Restaurant_Review-g811257-d13476624-Reviews-Mong_Caphe-Lai_Chau_Lai_Chau_Province.html,Chạng Vạng Lai Châu,https://www.tripadvisor.com/Restaurant_Review-g811257-d28504521-Reviews-Ch_ng_V_ng_Lai_Chau-Lai_Chau_Lai_Chau_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f6/2c/59/buckwheat-flower.jpg?w=700&h=-1&s=1
Lai Châu,Hoa Anh Dao Hotel,"287 Nguyen Trai, Lai Chau Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=915x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=22.406179,103.431923&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|22.406179,103.431923|22.396612,103.471046|22.399670,103.446220|22.388815,103.462646|22.393311,103.475769|22.406179,103.431923|22.391085,103.478310|22.401539,103.462585|22.399670,103.446220|22.398130,103.454613&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|22.393913,103.465378|22.383221,103.472450|22.383966,103.468300|22.394409,103.467697&signature=yhlpBzkcgWfmLFrTsckFaxhEr24=",nan,nan,#2 of 3 special hotels in Lai Chau,1 review,3.0,nan,nan,nan,nan,Average,nan,https://www.tripadvisor.com/Hotel_Review-g811257-d17532926-Reviews-Hoa_Anh_Dao_Hotel-Lai_Chau_Lai_Chau_Province.html,,nan,3.0 of 5 bubbles,nan,nan,nan,4,Dreamy Coffee,https://www.tripadvisor.com/Restaurant_Review-g811257-d11825463-Reviews-Dreamy_Coffee-Lai_Chau_Lai_Chau_Province.html,Nhà Hàng Mạnh Hùng,https://www.tripadvisor.com/Restaurant_Review-g811257-d18178597-Reviews-Nha_Hang_M_nh_Hung-Lai_Chau_Lai_Chau_Province.html,Mong Caphe,https://www.tripadvisor.com/Restaurant_Review-g811257-d13476624-Reviews-Mong_Caphe-Lai_Chau_Lai_Chau_Province.html,Chạng Vạng Lai Châu,https://www.tripadvisor.com/Restaurant_Review-g811257-d28504521-Reviews-Ch_ng_V_ng_Lai_Chau-Lai_Chau_Lai_Chau_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f6/2c/59/buckwheat-flower.jpg?w=700&h=-1&s=1
Lai Châu,Nha Nghi Hoa Sua,"179 Le Duan Tan Phong, Lai Chau 390000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=915x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=22.401539,103.462585&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|22.401539,103.462585|22.396612,103.471046|22.399670,103.446220|22.388815,103.462646|22.393311,103.475769|22.391085,103.478310|22.406179,103.431923|22.401539,103.462585|22.399345,103.458672|22.399738,103.456207&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|22.393913,103.465378|22.383221,103.472450|22.383966,103.468300|22.394409,103.467697&signature=w3OQhBZhIbJ4u1NhlNXvU8LbL18=",nan,nan,#2 of 2 hostels in Lai Chau,2 ,3.0,nan,nan,nan,nan,Average,nan,https://www.tripadvisor.com/Hotel_Review-g811257-d15180081-Reviews-Nha_Nghi_Hoa_Sua-Lai_Chau_Lai_Chau_Province.html,,nan,3.0 of 5 bubbles,nan,nan,nan,4,Dreamy Coffee,https://www.tripadvisor.com/Restaurant_Review-g811257-d11825463-Reviews-Dreamy_Coffee-Lai_Chau_Lai_Chau_Province.html,Nhà Hàng Mạnh Hùng,https://www.tripadvisor.com/Restaurant_Review-g811257-d18178597-Reviews-Nha_Hang_M_nh_Hung-Lai_Chau_Lai_Chau_Province.html,Mong Caphe,https://www.tripadvisor.com/Restaurant_Review-g811257-d13476624-Reviews-Mong_Caphe-Lai_Chau_Lai_Chau_Province.html,Chạng Vạng Lai Châu,https://www.tripadvisor.com/Restaurant_Review-g811257-d28504521-Reviews-Ch_ng_V_ng_Lai_Chau-Lai_Chau_Lai_Chau_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/d2/f1/ec/getlstd-property-photo.jpg?w=700&h=-1&s=1
Lai Châu,Ánh Hồng Hotel,"027 Đường Bờ Hồ Công Viên Thủy Sơn, Lai Chau 30000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=915x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=22.390993,103.467400&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|22.390993,103.467400|22.396612,103.471046|22.399670,103.446220|22.388815,103.462646|22.393311,103.475769|22.391085,103.478310|22.406179,103.431923|22.401539,103.462585|22.390993,103.467400|22.391039,103.467514&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|22.393913,103.465378|22.383221,103.472450|22.383966,103.468300|22.394409,103.467697&signature=zKzdDlCUzeifkyKloV0FNckqUhk=",nan,nan,Write a review,"027 Đường Bờ Hồ Công Viên Thủy Sơn, Lai Chau 30000 Vietnam",nan,nan,nan,nan,nan,nan,nan,https://www.tripadvisor.com/Hotel_Review-g811257-d27976277-Reviews-Anh_H_ng_Hotel-Lai_Chau_Lai_Chau_Province.html,,nan,,nan,nan,"English, Chinese, Vietnamese",4,Dreamy Coffee,https://www.tripadvisor.com/Restaurant_Review-g811257-d11825463-Reviews-Dreamy_Coffee-Lai_Chau_Lai_Chau_Province.html,Nhà Hàng Mạnh Hùng,https://www.tripadvisor.com/Restaurant_Review-g811257-d18178597-Reviews-Nha_Hang_M_nh_Hung-Lai_Chau_Lai_Chau_Province.html,Mong Caphe,https://www.tripadvisor.com/Restaurant_Review-g811257-d13476624-Reviews-Mong_Caphe-Lai_Chau_Lai_Chau_Province.html,Chạng Vạng Lai Châu,https://www.tripadvisor.com/Restaurant_Review-g811257-d28504521-Reviews-Ch_ng_V_ng_Lai_Chau-Lai_Chau_Lai_Chau_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/a6/97/23/caption.jpg?w=700&h=-1&s=1
Lai Châu,Truong Phat Hotel,"Group 23 Hoang Minh Giam street, Lai Chau Vietnam",nan,nan,nan,#3 of 3 special hotels in Lai Chau,1 review,2.0,nan,nan,nan,nan,Poor,nan,https://www.tripadvisor.com/Hotel_Review-g811257-d12482946-Reviews-Truong_Phat_Hotel-Lai_Chau_Lai_Chau_Province.html,,nan,2.0 of 5 bubbles,nan,nan,"English, Danish, German, Norwegian and 1 more",nan,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,nan
