Tourist Attraction,Hotel Name,Address,Address Link,Hotel Website,Hotline,Ranking,Reviewers,Rating,Location rating,Cleanliness rating,Service rating,Value rating,Comment,Price,URL,Description,Award,Hotel Class,Hotel Style 1,Hotel Style 2,Language Spoken,Numbers of near Restaurants,Near Restaurant 1,Link Near Restaurant 1,Near Restaurant 2,Link Near Restaurant 2,Near Restaurant 3,Link Near Restaurant 3,Near Restaurant 4,Link Near Restaurant 4,Near Attraction 1,Link Near Attraction 1,Near Attraction 2,Link Near Attraction 2,Near Attraction 3,Link Near Attraction 3,Near Attraction 4,Link Near Attraction 4,Numbers of near Attractions,Hotel Image
Long An,Phu Thang Grand Hotel,"Tan Do Industrial Park, Binh Tien 2 Commune, Duc Hoa Ha 82700 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=915x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=10.799180,106.490860&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|10.771120,106.506737&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|10.799180,106.490860|10.799180,106.490860|10.772090,106.551819|10.817185,106.459335|10.769250,106.554497|10.794823,106.470230|10.767160,106.499763|10.819370,106.557587&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|10.799399,106.558197|10.759730,106.492538|10.775400,106.552483&signature=lPEkZ3nTndCEj5VTsABD3zWrc1g=",nan,nan,#1 of 1 hotels in Duc Hoa Ha,2 ,5.0,nan,nan,nan,nan,Excellent,35,https://www.tripadvisor.com/Hotel_Review-g23369392-d23303565-Reviews-Phu_Thang_Grand_Hotel-Duc_Hoa_Ha_Duc_Hoa_District_Long_An_Province_Mekong_Delta.html,,nan,5.0 of 5 bubbles,nan,nan,"English, Chinese, Vietnamese",3,The Coffee Bean And Tea Leaf Han Thuyen,https://www.tripadvisor.com/Restaurant_Review-g293925-d26342791-Reviews-The_Coffee_Bean_And_Tea_Leaf_Han_Thuyen-Ho_Chi_Minh_City.html,May Coffee,https://www.tripadvisor.com/Restaurant_Review-g293925-d7166213-Reviews-May_Coffee-Ho_Chi_Minh_City.html,Hai san nhay Res-Cipe,https://www.tripadvisor.com/Restaurant_Review-g293925-d10826448-Reviews-Hai_san_nhay_Res_Cipe-Ho_Chi_Minh_City.html,Tên không xác định,,Butterfly Valley,https://www.tripadvisor.com/Attraction_Review-g737051-d15852695-Reviews-Butterfly_Valley-Cat_Ba_Hai_Phong.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/f0/3a/9b/phu-thang-grand-hotel.jpg?w=700&h=-1&s=1
Long An,Cherry Hotel Ben Luc,"Nguyen Van Tiep 11 01 đuong so 11, kdc duong 10, Ben Luc Vietnam",nan,nan,nan,#1 of 1 lodge in Ben Luc,1 review,5.0,5.0,5.0,5.0,5.0,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g12600596-d13834431-Reviews-Cherry_Hotel_Ben_Luc-Ben_Luc_Long_An_Province_Mekong_Delta.html,,nan,5.0 of 5 bubbles,nan,nan,nan,nan,Holy Annie's,https://www.tripadvisor.com/Restaurant_Review-g12600596-d27931191-Reviews-Holy_Annie_s-Ben_Luc_Long_An_Province_Mekong_Delta.html,Jollibee,https://www.tripadvisor.com/Restaurant_Review-g12600596-d14061522-Reviews-Jollibee-Ben_Luc_Long_An_Province_Mekong_Delta.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/82/61/0d/caption.jpg?w=700&h=-1&s=1
Long An,An Khang Hotel,"736 TL 825, Village 5, Duc Hoa Dong Vietnam",nan,nan,nan,#1 of 1 lodge in Duc Hoa Dong,1 review,5.0,nan,nan,nan,nan,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g9710348-d9707176-Reviews-An_Khang_Hotel-Duc_Hoa_Dong_Long_An_Province_Mekong_Delta.html,,nan,5.0 of 5 bubbles,nan,nan,nan,nan,Com Nieu Thien Ly,https://www.tripadvisor.com/Restaurant_Review-g293925-d15637586-Reviews-Com_Nieu_Thien_Ly-Ho_Chi_Minh_City.html,Hoang Yen Restuarant,https://www.tripadvisor.com/Restaurant_Review-g293925-d10784287-Reviews-Hoang_Yen_Restuarant-Ho_Chi_Minh_City.html,Hội Quán Bê Thui Hải Sản Trung Chỉnh,https://www.tripadvisor.com/Restaurant_Review-g298084-d28161297-Reviews-H_i_Quan_Be_Thui_H_i_S_n_Trung_Ch_nh-Tay_Ninh_Tay_Ninh_Province.html,Bánh Canh Năm Dung 2,https://www.tripadvisor.com/Restaurant_Review-g298084-d27500541-Reviews-Ba_nh_Canh_Nam_Dung_2-Tay_Ninh_Tay_Ninh_Province.html,Tha La Xom Dao,https://www.tripadvisor.com/Attraction_Review-g298084-d4945616-Reviews-Tha_La_Xom_Dao-Tay_Ninh_Tay_Ninh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/7d/33/27/tiny-leaf-cottage-is.jpg?w=700&h=-1&s=1
Long An,Lang Noi Tan Lap Hotel,"Duong 62, Moc Hoa 850000 Vietnam",nan,nan,nan,#1 of 1 hotels in Moc Hoa,1 review,5.0,nan,nan,nan,nan,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g14221678-d14182808-Reviews-Lang_Noi_Tan_Lap_Hotel-Moc_Hoa_Long_An_Province_Mekong_Delta.html,,nan,5.0 of 5 bubbles,Budget,Family,nan,nan,Tôm Tôm Tôm - Restaurant,https://www.tripadvisor.com/Restaurant_Review-g293928-d28057472-Reviews-Tom_Tom_Tom_Restaurant-Nha_Trang_Khanh_Hoa_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/96/b3/4b/restaurant.jpg?w=700&h=-1&s=1
Long An,Hoang De Hotel,"67 Huynh Van Tao, Tan An Vietnam",nan,nan,nan,#1 of 1 small hotel in Tan An,3 ,3.0,nan,nan,nan,nan,Average,nan,https://www.tripadvisor.com/Hotel_Review-g2062769-d12120352-Reviews-Hoang_De_Hotel-Tan_An_Long_An_Province_Mekong_Delta.html,,nan,3.0 of 5 bubbles,Quaint,German,German,nan,Restaurant & Hotel Thanh Van 2,https://www.tripadvisor.com/Restaurant_Review-g2062769-d10766357-Reviews-Restaurant_Hotel_Thanh_Van_2-Tan_An_Long_An_Province_Mekong_Delta.html,Binh Mi Tuan Map Sai Gon,https://www.tripadvisor.com/Restaurant_Review-g2062769-d19454036-Reviews-Binh_Mi_Tuan_Map_Sai_Gon-Tan_An_Long_An_Province_Mekong_Delta.html,Jisan - Bep Tra Truyen Thong,https://www.tripadvisor.com/Restaurant_Review-g2062769-d19273574-Reviews-Jisan_Bep_Tra_Truyen_Thong-Tan_An_Long_An_Province_Mekong_Delta.html,Duda 3 - Heritage Tea,https://www.tripadvisor.com/Restaurant_Review-g2062769-d27461553-Reviews-Duda_3_Heritage_Tea-Tan_An_Long_An_Province_Mekong_Delta.html,Jump Arena,https://www.tripadvisor.com/Attraction_Review-g2062769-d15236905-Reviews-Jump_Arena-Tan_An_Long_An_Province_Mekong_Delta.html,Lang Noi Tan Lap,https://www.tripadvisor.com/Attraction_Review-g2062768-d15815697-Reviews-Lang_Noi_Tan_Lap-Long_An_Province_Mekong_Delta.html,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/4f/fa/2f/phong-c-s-ch-s-gia-d.jpg?w=700&h=-1&s=1
Long An,My Dinh Hotel,"119 Hung Vuong Street, Tan An Vietnam",nan,nan,nan,#1 of 2 hotels in Tan An,2 ,2.5,3.0,nan,3.0,nan,Average,nan,https://www.tripadvisor.com/Hotel_Review-g2062769-d3309038-Reviews-My_Dinh_Hotel-Tan_An_Long_An_Province_Mekong_Delta.html,,nan,2.5 of 5 bubbles,Mid-range,Budget,Vietnamese,nan,Restaurant & Hotel Thanh Van 2,https://www.tripadvisor.com/Restaurant_Review-g2062769-d10766357-Reviews-Restaurant_Hotel_Thanh_Van_2-Tan_An_Long_An_Province_Mekong_Delta.html,The Pizza Company,https://www.tripadvisor.com/Restaurant_Review-g2062769-d23086072-Reviews-The_Pizza_Company-Tan_An_Long_An_Province_Mekong_Delta.html,Duda 3 - Heritage Tea,https://www.tripadvisor.com/Restaurant_Review-g23266280-d27461548-Reviews-Duda_3_Heritage_Tea-Gia_Tan_2_Dong_Nai_Province.html,Duda 3 - Heritage Tea,https://www.tripadvisor.com/Restaurant_Review-g2062769-d27461553-Reviews-Duda_3_Heritage_Tea-Tan_An_Long_An_Province_Mekong_Delta.html,Jump Arena,https://www.tripadvisor.com/Attraction_Review-g2062769-d15236905-Reviews-Jump_Arena-Tan_An_Long_An_Province_Mekong_Delta.html,Lang Noi Tan Lap,https://www.tripadvisor.com/Attraction_Review-g2062768-d15815697-Reviews-Lang_Noi_Tan_Lap-Long_An_Province_Mekong_Delta.html,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/21/79/8c/com-t-m-chay-healthy.jpg?w=700&h=-1&s=1
Long An,Thanh Van 2 Hotel,"33 Ho Van Long Street, Ward 2, Tan An Vietnam",nan,nan,nan,#2 of 2 hotels in Tan An,1 review,2.0,nan,nan,nan,nan,Poor,nan,https://www.tripadvisor.com/Hotel_Review-g2062769-d11549188-Reviews-Thanh_Van_2_Hotel-Tan_An_Long_An_Province_Mekong_Delta.html,,nan,2.0 of 5 bubbles,Budget,nan,nan,nan,Restaurant & Hotel Thanh Van 2,https://www.tripadvisor.com/Restaurant_Review-g2062769-d10766357-Reviews-Restaurant_Hotel_Thanh_Van_2-Tan_An_Long_An_Province_Mekong_Delta.html,Binh Mi Tuan Map Sai Gon,https://www.tripadvisor.com/Restaurant_Review-g2062769-d19454036-Reviews-Binh_Mi_Tuan_Map_Sai_Gon-Tan_An_Long_An_Province_Mekong_Delta.html,Jisan - Bep Tra Truyen Thong,https://www.tripadvisor.com/Restaurant_Review-g2062769-d19273574-Reviews-Jisan_Bep_Tra_Truyen_Thong-Tan_An_Long_An_Province_Mekong_Delta.html,Duda 3 - Heritage Tea,https://www.tripadvisor.com/Restaurant_Review-g2062769-d27461553-Reviews-Duda_3_Heritage_Tea-Tan_An_Long_An_Province_Mekong_Delta.html,Jump Arena,https://www.tripadvisor.com/Attraction_Review-g2062769-d15236905-Reviews-Jump_Arena-Tan_An_Long_An_Province_Mekong_Delta.html,Lang Noi Tan Lap,https://www.tripadvisor.com/Attraction_Review-g2062768-d15815697-Reviews-Lang_Noi_Tan_Lap-Long_An_Province_Mekong_Delta.html,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/21/79/8c/com-t-m-chay-healthy.jpg?w=700&h=-1&s=1
Long An,Cherry Hotel 2 Ben Luc,Ben Luc Vietnam,nan,nan,nan,Write a review,Ben Luc Vietnam,nan,nan,nan,nan,nan,nan,nan,https://www.tripadvisor.com/Hotel_Review-g12600596-d17595971-Reviews-Cherry_Hotel_2_Ben_Luc-Ben_Luc_Long_An_Province_Mekong_Delta.html,No description available,nan,nan,nan,nan,nan,nan,Holy Annie's,https://www.tripadvisor.com/Restaurant_Review-g12600596-d27931191-Reviews-Holy_Annie_s-Ben_Luc_Long_An_Province_Mekong_Delta.html,Jollibee,https://www.tripadvisor.com/Restaurant_Review-g12600596-d14061522-Reviews-Jollibee-Ben_Luc_Long_An_Province_Mekong_Delta.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/2d/8a/01/5a/cherry-hotel-b-n-l-c.jpg?w=700&h=-1&s=1
Long An,Khach San Phu Quy,Ben Luc Vietnam,nan,nan,nan,Write a review,Ben Luc Vietnam,nan,nan,nan,nan,nan,nan,nan,https://www.tripadvisor.com/Hotel_Review-g12600596-d17579448-Reviews-Khach_San_Phu_Quy-Ben_Luc_Long_An_Province_Mekong_Delta.html,No description available,nan,nan,nan,nan,nan,nan,Holy Annie's,https://www.tripadvisor.com/Restaurant_Review-g12600596-d27931191-Reviews-Holy_Annie_s-Ben_Luc_Long_An_Province_Mekong_Delta.html,Jollibee,https://www.tripadvisor.com/Restaurant_Review-g12600596-d14061522-Reviews-Jollibee-Ben_Luc_Long_An_Province_Mekong_Delta.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/34/67/8f/new-corners-wowbeertea.jpg?w=700&h=-1&s=1
Long An,Happyland Bungalow,"Thanh Duc Commune Happyland Tourist Area, Ben Luc Vietnam",nan,nan,nan,Write a review,"Thanh Duc Commune Happyland Tourist Area, Ben Luc Vietnam",nan,nan,nan,nan,nan,nan,nan,https://www.tripadvisor.com/Hotel_Review-g12600596-d24118742-Reviews-Happyland_Bungalow-Ben_Luc_Long_An_Province_Mekong_Delta.html,No description available,nan,nan,nan,nan,nan,nan,Jollibee,https://www.tripadvisor.com/Restaurant_Review-g12600596-d14061522-Reviews-Jollibee-Ben_Luc_Long_An_Province_Mekong_Delta.html,Holy Annie's,https://www.tripadvisor.com/Restaurant_Review-g12600596-d27931191-Reviews-Holy_Annie_s-Ben_Luc_Long_An_Province_Mekong_Delta.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/34/67/8f/new-corners-wowbeertea.jpg?w=700&h=-1&s=1
