Tourist Attraction,Hotel Name,Address,Address Link,Hotel Website,Hotline,Ranking,Reviewers,Rating,Location rating,Cleanliness rating,Service rating,Value rating,Comment,Price,URL,Description,Award,Hotel Class,Hotel Style 1,Hotel Style 2,Language Spoken,Numbers of near Restaurants,Near Restaurant 1,Link Near Restaurant 1,Near Restaurant 2,Link Near Restaurant 2,Near Restaurant 3,Link Near Restaurant 3,Near Restaurant 4,Link Near Restaurant 4,Near Attraction 1,Link Near Attraction 1,Near Attraction 2,Link Near Attraction 2,Near Attraction 3,Link Near Attraction 3,Near Attraction 4,Link Near Attraction 4,Numbers of near Attractions,Hotel Image
Nam Định,SOJO Hotel Nam Dinh,"272 Đường Trần Hưng Đạo, Bà Triệu, Nam Dinh 420000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=20.428698,106.174072&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|20.428698,106.174072|20.428698,106.174072|20.437492,106.176178|20.433348,106.167244|20.436516,106.157852|20.426929,106.171127|20.441591,106.190598|20.430019,106.187363|20.432140,106.180283|20.438595,106.159409&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|20.437248,106.154671|20.433889,106.177292|20.420990,106.165070|20.435383,106.160912|20.423491,106.178749|20.413700,106.173279|20.438049,106.152779|20.433821,106.172966|20.439449,106.174606&signature=CzDS1OREB6Th1Tok8UfmLEuOpTM=",nan,nan,#1 of 5 hotels in Nam Dinh,41 ,5.0,4.9,3.5,4.6,4.9,Excellent,46,https://www.tripadvisor.com/Hotel_Review-g8366461-d21503818-Reviews-SOJO_Hotel_Nam_Dinh-Nam_Dinh_Nam_Dinh_Province.html,,nan,5.0 of 5 bubbles,Business,Romantic,"English, Japanese, Vietnamese",nan,GoGi House,https://www.tripadvisor.com/Restaurant_Review-g8366461-d15097173-Reviews-GoGi_House-Nam_Dinh_Nam_Dinh_Province.html,Golden Lake Palace,https://www.tripadvisor.com/Restaurant_Review-g293924-d21232669-Reviews-Golden_Lake_Palace-Hanoi.html,Cafe Cat Tuong,https://www.tripadvisor.com/Restaurant_Review-g8366461-d8650511-Reviews-Cafe_Cat_Tuong-Nam_Dinh_Nam_Dinh_Province.html,Hutong Nam Dinh,https://www.tripadvisor.com/Restaurant_Review-g8366461-d15097208-Reviews-Hutong_Nam_Dinh-Nam_Dinh_Nam_Dinh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/a0/9c/6d/sojo-hotel-nam-dinh.jpg?w=700&h=-1&s=1
Nam Định,Nam Cuong Nam Dinh Hotel,"538 Tran Hung Dao Hoa Vuong, Nam Dinh 420000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=20.433348,106.167244&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|20.433348,106.167244|20.428698,106.174072|20.437492,106.176178|20.433348,106.167244|20.436516,106.157852|20.426929,106.171127|20.441591,106.190598|20.430019,106.187363|20.432140,106.180283|20.438595,106.159409&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|20.437248,106.154671|20.433889,106.177292|20.420990,106.165070|20.435383,106.160912|20.423491,106.178749|20.413700,106.173279|20.438049,106.152779|20.433821,106.172966|20.435574,106.159172&signature=zNVf5EdQzpn9nA9h3ALjDGQGG2s=",nan,nan,#2 of 5 hotels in Nam Dinh,14 ,4.0,5.0,4.8,3.8,4.4,Very good,79,https://www.tripadvisor.com/Hotel_Review-g8366461-d17328578-Reviews-Nam_Cuong_Nam_Dinh_Hotel-Nam_Dinh_Nam_Dinh_Province.html,,nan,4.0 of 5 bubbles,Business,Romantic,nan,nan,GoGi House,https://www.tripadvisor.com/Restaurant_Review-g8366461-d15097173-Reviews-GoGi_House-Nam_Dinh_Nam_Dinh_Province.html,Golden Lake Palace,https://www.tripadvisor.com/Restaurant_Review-g293924-d21232669-Reviews-Golden_Lake_Palace-Hanoi.html,Cafe Cat Tuong,https://www.tripadvisor.com/Restaurant_Review-g8366461-d8650511-Reviews-Cafe_Cat_Tuong-Nam_Dinh_Nam_Dinh_Province.html,Hutong Nam Dinh,https://www.tripadvisor.com/Restaurant_Review-g8366461-d15097208-Reviews-Hutong_Nam_Dinh-Nam_Dinh_Nam_Dinh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/8c/b6/20/khach-s-n-nam-cu-ng-nam.jpg?w=700&h=-1&s=1
Nam Định,Lakeside 2 Hotel,"168 Duong Dong A, Nam Dinh Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=20.436516,106.157852&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|20.436516,106.157852|20.428698,106.174072|20.437492,106.176178|20.433348,106.167244|20.436516,106.157852|20.426929,106.171127|20.441591,106.190598|20.430019,106.187363|20.432140,106.180283|20.438595,106.159409&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|20.437248,106.154671|20.433889,106.177292|20.420990,106.165070|20.435383,106.160912|20.423491,106.178749|20.413700,106.173279|20.438049,106.152779|20.435574,106.159172|20.438936,106.158897&signature=qTeDVPsDcUsn3wIqlyx8SgzNZDg=",nan,nan,#1 of 1 small hotel in Nam Dinh,7 ,4.0,4.5,5.0,4.3,3.0,Very good,nan,https://www.tripadvisor.com/Hotel_Review-g8366461-d8299364-Reviews-Lakeside_2_Hotel-Nam_Dinh_Nam_Dinh_Province.html,,nan,4.0 of 5 bubbles,Budget,nan,nan,nan,GoGi House,https://www.tripadvisor.com/Restaurant_Review-g8366461-d15097173-Reviews-GoGi_House-Nam_Dinh_Nam_Dinh_Province.html,Golden Lake Palace,https://www.tripadvisor.com/Restaurant_Review-g293924-d21232669-Reviews-Golden_Lake_Palace-Hanoi.html,Cafe Cat Tuong,https://www.tripadvisor.com/Restaurant_Review-g8366461-d8650511-Reviews-Cafe_Cat_Tuong-Nam_Dinh_Nam_Dinh_Province.html,Hutong Nam Dinh,https://www.tripadvisor.com/Restaurant_Review-g8366461-d15097208-Reviews-Hutong_Nam_Dinh-Nam_Dinh_Nam_Dinh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/c5/e0/1c/lakeside-2-hotel.jpg?w=700&h=-1&s=1
Nam Định,Đình Đình Saigon Airport Hotel,"74A Giải Phóng Phường 4, Quận Tân Bình, Nam Dinh Vietnam",nan,nan,nan,#3 of 5 hotels in Nam Dinh,1 review,5.0,nan,nan,nan,nan,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g8366461-d27139985-Reviews-Dinh_Dinh_Saigon_Airport_Hotel-Nam_Dinh_Nam_Dinh_Province.html,,nan,5.0 of 5 bubbles,Budget,Business,nan,nan,GoGi House,https://www.tripadvisor.com/Restaurant_Review-g8366461-d15097173-Reviews-GoGi_House-Nam_Dinh_Nam_Dinh_Province.html,Golden Lake Palace,https://www.tripadvisor.com/Restaurant_Review-g293924-d21232669-Reviews-Golden_Lake_Palace-Hanoi.html,Cafe Cat Tuong,https://www.tripadvisor.com/Restaurant_Review-g8366461-d8650511-Reviews-Cafe_Cat_Tuong-Nam_Dinh_Nam_Dinh_Province.html,Hutong Nam Dinh,https://www.tripadvisor.com/Restaurant_Review-g8366461-d15097208-Reviews-Hutong_Nam_Dinh-Nam_Dinh_Nam_Dinh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/43/48/e2/double-room-very-clean.jpg?w=700&h=-1&s=1
Nam Định,Luxury Hotel Nam Dinh,"46 Thai Binh Street, Nam Dinh Vietnam",nan,nan,nan,#1 of 2 lodges in Nam Dinh,1 review,5.0,nan,nan,nan,nan,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g8366461-d6834487-Reviews-Luxury_Hotel_Nam_Dinh-Nam_Dinh_Nam_Dinh_Province.html,,nan,5.0 of 5 bubbles,nan,nan,nan,nan,GoGi House,https://www.tripadvisor.com/Restaurant_Review-g8366461-d15097173-Reviews-GoGi_House-Nam_Dinh_Nam_Dinh_Province.html,Golden Lake Palace,https://www.tripadvisor.com/Restaurant_Review-g293924-d21232669-Reviews-Golden_Lake_Palace-Hanoi.html,Cafe Cat Tuong,https://www.tripadvisor.com/Restaurant_Review-g8366461-d8650511-Reviews-Cafe_Cat_Tuong-Nam_Dinh_Nam_Dinh_Province.html,Hutong Nam Dinh,https://www.tripadvisor.com/Restaurant_Review-g8366461-d15097208-Reviews-Hutong_Nam_Dinh-Nam_Dinh_Nam_Dinh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/b9/58/38/luxury-hotel-nam-dinh.jpg?w=700&h=-1&s=1
Nam Định,Lakeside 1 Hotel,"168 Hung Vuong Street, Vi Xuyen Ward, Nam Dinh 32000 Vietnam",nan,nan,nan,#4 of 5 hotels in Nam Dinh,3 ,3.5,nan,5.0,4.0,nan,Very good,nan,https://www.tripadvisor.com/Hotel_Review-g8366461-d8685902-Reviews-Lakeside_1_Hotel-Nam_Dinh_Nam_Dinh_Province.html,,nan,3.5 of 5 bubbles,Luxury,Budget,nan,nan,GoGi House,https://www.tripadvisor.com/Restaurant_Review-g8366461-d15097173-Reviews-GoGi_House-Nam_Dinh_Nam_Dinh_Province.html,Golden Lake Palace,https://www.tripadvisor.com/Restaurant_Review-g293924-d21232669-Reviews-Golden_Lake_Palace-Hanoi.html,Cafe Cat Tuong,https://www.tripadvisor.com/Restaurant_Review-g8366461-d8650511-Reviews-Cafe_Cat_Tuong-Nam_Dinh_Nam_Dinh_Province.html,Hutong Nam Dinh,https://www.tripadvisor.com/Restaurant_Review-g8366461-d15097208-Reviews-Hutong_Nam_Dinh-Nam_Dinh_Nam_Dinh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/c6/bc/29/20151214-183436-largejpg.jpg?w=700&h=-1&s=1
Nam Định,Vi Hoang Hotel,"153 Nguyen Du, Nam Dinh Vietnam",nan,nan,nan,#2 of 2 lodges in Nam Dinh,8 ,3.0,3.7,4.0,3.6,3.5,Average,nan,https://www.tripadvisor.com/Hotel_Review-g8366461-d8299322-Reviews-Vi_Hoang_Hotel-Nam_Dinh_Nam_Dinh_Province.html,,nan,3.0 of 5 bubbles,Budget,nan,nan,nan,GoGi House,https://www.tripadvisor.com/Restaurant_Review-g8366461-d15097173-Reviews-GoGi_House-Nam_Dinh_Nam_Dinh_Province.html,Golden Lake Palace,https://www.tripadvisor.com/Restaurant_Review-g293924-d21232669-Reviews-Golden_Lake_Palace-Hanoi.html,Cafe Cat Tuong,https://www.tripadvisor.com/Restaurant_Review-g8366461-d8650511-Reviews-Cafe_Cat_Tuong-Nam_Dinh_Nam_Dinh_Province.html,Hutong Nam Dinh,https://www.tripadvisor.com/Restaurant_Review-g8366461-d15097208-Reviews-Hutong_Nam_Dinh-Nam_Dinh_Nam_Dinh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,nan
Nam Định,Malisa Hotel,"110 Nguyen Cong Tru Loc Hoa Ward, Nam Dinh 07000 Vietnam",nan,nan,nan,Write a review,"110 Nguyen Cong Tru Loc Hoa Ward, Nam Dinh 07000 Vietnam",nan,nan,nan,nan,nan,nan,26,https://www.tripadvisor.com/Hotel_Review-g8366461-d20813556-Reviews-Malisa_Hotel-Nam_Dinh_Nam_Dinh_Province.html,,nan,,nan,nan,nan,nan,GoGi House,https://www.tripadvisor.com/Restaurant_Review-g8366461-d15097173-Reviews-GoGi_House-Nam_Dinh_Nam_Dinh_Province.html,Golden Lake Palace,https://www.tripadvisor.com/Restaurant_Review-g293924-d21232669-Reviews-Golden_Lake_Palace-Hanoi.html,Cafe Cat Tuong,https://www.tripadvisor.com/Restaurant_Review-g8366461-d8650511-Reviews-Cafe_Cat_Tuong-Nam_Dinh_Nam_Dinh_Province.html,Hutong Nam Dinh,https://www.tripadvisor.com/Restaurant_Review-g8366461-d15097208-Reviews-Hutong_Nam_Dinh-Nam_Dinh_Nam_Dinh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4a/e3/b4/khach-s-n-malisa.jpg?w=700&h=-1&s=1
Nam Định,Nam Cuong Nam Dinh Hotel,"538 Trần Hưng Đạo, Nam Dinh 420000 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=11&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=20.433895,106.166458&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|20.433895,106.166458|20.428698,106.174072|20.437492,106.176178|20.433348,106.167244|20.436516,106.157852|20.426929,106.171127|20.441591,106.190598|20.430019,106.187363|20.432140,106.180283|20.438595,106.159409&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|20.437248,106.154671|20.433889,106.177292|20.420990,106.165070|20.435383,106.160912|20.423491,106.178749|20.413700,106.173279|20.438049,106.152779|20.433821,106.172966|20.435574,106.159172&signature=IleGGljflENeRKYJSoquHXF0YI0=",nan,nan,Write a review,"538 Trần Hưng Đạo, Nam Dinh 420000 Vietnam",nan,nan,nan,nan,nan,nan,68,https://www.tripadvisor.com/Hotel_Review-g8366461-d26227214-Reviews-Nam_Cuong_Nam_Dinh_Hotel-Nam_Dinh_Nam_Dinh_Province.html,No description available,nan,,nan,nan,nan,nan,GoGi House,https://www.tripadvisor.com/Restaurant_Review-g8366461-d15097173-Reviews-GoGi_House-Nam_Dinh_Nam_Dinh_Province.html,Golden Lake Palace,https://www.tripadvisor.com/Restaurant_Review-g293924-d21232669-Reviews-Golden_Lake_Palace-Hanoi.html,Cafe Cat Tuong,https://www.tripadvisor.com/Restaurant_Review-g8366461-d8650511-Reviews-Cafe_Cat_Tuong-Nam_Dinh_Nam_Dinh_Province.html,Hutong Nam Dinh,https://www.tripadvisor.com/Restaurant_Review-g8366461-d15097208-Reviews-Hutong_Nam_Dinh-Nam_Dinh_Nam_Dinh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/2d/2b/dc/back-side-of-giao-phong.jpg?w=700&h=-1&s=1
Nam Định,Ruby Hotel,"118 Pho Bắc Ninh, Nam Dinh 420000 Vietnam",nan,nan,nan,Write a review,"118 Pho Bắc Ninh, Nam Dinh 420000 Vietnam",nan,nan,nan,nan,nan,nan,17,https://www.tripadvisor.com/Hotel_Review-g8366461-d26441104-Reviews-Ruby_Hotel-Nam_Dinh_Nam_Dinh_Province.html,No description available,nan,,nan,nan,nan,nan,GoGi House,https://www.tripadvisor.com/Restaurant_Review-g8366461-d15097173-Reviews-GoGi_House-Nam_Dinh_Nam_Dinh_Province.html,Golden Lake Palace,https://www.tripadvisor.com/Restaurant_Review-g293924-d21232669-Reviews-Golden_Lake_Palace-Hanoi.html,Cafe Cat Tuong,https://www.tripadvisor.com/Restaurant_Review-g8366461-d8650511-Reviews-Cafe_Cat_Tuong-Nam_Dinh_Nam_Dinh_Province.html,Hutong Nam Dinh,https://www.tripadvisor.com/Restaurant_Review-g8366461-d15097208-Reviews-Hutong_Nam_Dinh-Nam_Dinh_Nam_Dinh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/2d/85/0d/30/tv-and-multimedia.jpg?w=700&h=-1&s=1
