Tourist Attraction,Hotel Name,Address,Address Link,Hotel Website,Hotline,Ranking,Reviewers,Rating,Location rating,Cleanliness rating,Service rating,Value rating,Comment,Price,URL,Description,Award,Hotel Class,Hotel Style 1,Hotel Style 2,Language Spoken,Numbers of near Restaurants,Near Restaurant 1,Link Near Restaurant 1,Near Restaurant 2,Link Near Restaurant 2,Near Restaurant 3,Link Near Restaurant 3,Near Restaurant 4,Link Near Restaurant 4,Near Attraction 1,Link Near Attraction 1,Near Attraction 2,Link Near Attraction 2,Near Attraction 3,Link Near Attraction 3,Near Attraction 4,Link Near Attraction 4,Numbers of near Attractions,Hotel Image
Quảng Nam,Little Hoi An A Boutique Hotel & Spa,"02 Thoai Ngoc Hau Cam Pho, Hoi An 51000 Vietnam",nan,https://www.tripadvisor.com,02353869999,#13 of 404 hotels in Hoi An,"5,148 ",5.0,4.8,4.8,4.9,4.8,Excellent,58,https://www.tripadvisor.com/Hotel_Review-g298082-d3591197-Reviews-Little_Hoi_An_A_Boutique_Hotel_Spa-Hoi_An_Quang_Nam_Province.html?spAttributionToken=Mjc1ODAxMzM,,nan,5.0 of 5 bubbles,Centrally Located,Boutique,"English, Vietnamese",nan,The Soul Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298082-d13387957-Reviews-The_Soul_Restaurant-Hoi_An_Quang_Nam_Province.html,Pause And Enjoy Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298082-d19408725-Reviews-Pause_And_Enjoy_Restaurant-Hoi_An_Quang_Nam_Province.html,"""Lồng Đèn"" Restaurant",https://www.tripadvisor.com/Restaurant_Review-g298082-d25411786-Reviews-L_ng_Den_Restaurant-Hoi_An_Quang_Nam_Province.html,Hoi An Heart Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298082-d25259196-Reviews-Hoi_An_Heart_Restaurant-Hoi_An_Quang_Nam_Province.html,Đèn Lồng Hưng An,https://www.tripadvisor.com/Attraction_Review-g298082-d15353737-Reviews-Den_L_ng_Hung_An-Hoi_An_Quang_Nam_Province.html,Be Be Tailor 2,https://www.tripadvisor.com/Attraction_Review-g298082-d16956077-Reviews-Be_Be_Tailor_2-Hoi_An_Quang_Nam_Province.html,Helen Tailor,https://www.tripadvisor.com/Attraction_Review-g298082-d9721575-Reviews-Helen_Tailor-Hoi_An_Quang_Nam_Province.html,The Vy Cloth Shop,https://www.tripadvisor.com/Attraction_Review-g298082-d12212948-Reviews-The_Vy_Cloth_Shop-Hoi_An_Quang_Nam_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/65/05/ec/the-unique-boutique-hotel.jpg?w=700&h=-1&s=1
Quảng Nam,RiverTown Hoi An Resort & Spa,"47 Thoai Ngoc Hau Street, Hoi An 560000 Vietnam",nan,https://www.tripadvisor.com,02353924924,#1 of 35 resorts in Hoi An,"4,712 ",5.0,4.9,5.0,5.0,5.0,Excellent,52,https://www.tripadvisor.com/Hotel_Review-g298082-d10311875-Reviews-RiverTown_Hoi_An_Resort_Spa-Hoi_An_Quang_Nam_Province.html,,nan,5.0 of 5 bubbles,Family Resort,Lake View,"English, Korean, Vietnamese",nan,The Soul Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298082-d13387957-Reviews-The_Soul_Restaurant-Hoi_An_Quang_Nam_Province.html,"""Lồng Đèn"" Restaurant",https://www.tripadvisor.com/Restaurant_Review-g298082-d25411786-Reviews-L_ng_Den_Restaurant-Hoi_An_Quang_Nam_Province.html,Charm Hoi An Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298082-d27043654-Reviews-Charm_Hoi_An_Restaurant-Hoi_An_Quang_Nam_Province.html,Bới Cơm Hoi An Restaurant & Cafe,https://www.tripadvisor.com/Restaurant_Review-g298082-d26152228-Reviews-B_i_Com_Hoi_An_Restaurant_Cafe-Hoi_An_Quang_Nam_Province.html,The Vy Cloth Shop,https://www.tripadvisor.com/Attraction_Review-g298082-d12212948-Reviews-The_Vy_Cloth_Shop-Hoi_An_Quang_Nam_Province.html,Tay Do Cloth Shop,https://www.tripadvisor.com/Attraction_Review-g298082-d10034831-Reviews-Tay_Do_Cloth_Shop-Hoi_An_Quang_Nam_Province.html,Hair Of The Dog Bar Hoi An,https://www.tripadvisor.com/Attraction_Review-g298082-d24948829-Reviews-Hair_Of_The_Dog_Bar_Hoi_An-Hoi_An_Quang_Nam_Province.html,La Tailor,https://www.tripadvisor.com/Attraction_Review-g298082-d14450363-Reviews-La_Tailor-Hoi_An_Quang_Nam_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/24/ce/d2/infinity-family-pool.jpg?w=700&h=-1&s=1
Quảng Nam,Little Gem - An Eco-Friendly Boutique Hotel & Spa,"Hoi Muong Southern Bank - Nguyen Duy Hieu Street Alley 114 Tran Nhan Tong, Hoi An 51300 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=15&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=15.878526,108.341850&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|15.880060,108.338043|15.879972,108.337646|15.880411,108.341988|15.880080,108.338959|15.880494,108.341408|15.880058,108.338043|15.874860,108.339821|15.878407,108.344643|15.880559,108.344032&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|15.878526,108.341850|15.878526,108.341850|15.877566,108.339035|15.880405,108.338623|15.882032,108.340622|15.878522,108.341499|15.880766,108.342743|15.881639,108.344749|15.879643,108.344398|15.881597,108.344666&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|15.878102,108.345139|15.877102,108.337791|15.880585,108.341446|15.877156,108.339157|15.880239,108.338638|15.878360,108.338509|15.877100,108.340561|15.878980,108.341286|15.877036,108.340530&signature=hGkYloRFLjLmNbwg_3zkOSfO63E=",https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=26527827&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=308111193&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkYeaWtkx0sZ7mNKigsNWMdznJksdjIPSswl6BcI8_c8SKC1j70rz9u6hjYZc68L0rQ&bapid=1&cs=1486fd3d2eb0c412ce114fb19448686fa&ba_uid=f930a8b3-bde5-49ff-b4d7-87f2463fcc9b,02353866666,#3 of 404 hotels in Hoi An,797 ,5.0,4.8,5.0,5.0,5.0,Excellent,41,https://www.tripadvisor.com/Hotel_Review-g298082-d26527827-Reviews-Little_Gem_An_Eco_Friendly_Boutique_Hotel_Spa-Hoi_An_Quang_Nam_Province.html,,nan,5.0 of 5 bubbles,Romantic,Charming,"English, French, Chinese, Japanese and 2 more",nan,Nhan's Kitchen,https://www.tripadvisor.com/Restaurant_Review-g298082-d12453466-Reviews-Nhan_s_Kitchen-Hoi_An_Quang_Nam_Province.html,Traders Waterfront Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298082-d15020036-Reviews-Traders_Waterfront_Restaurant-Hoi_An_Quang_Nam_Province.html,Le Petit Bistro Hoi An,https://www.tripadvisor.com/Restaurant_Review-g298082-d23742916-Reviews-Le_Petit_Bistro_Hoi_An-Hoi_An_Quang_Nam_Province.html,Phan Gia,https://www.tripadvisor.com/Restaurant_Review-g298082-d17287969-Reviews-Phan_Gia-Hoi_An_Quang_Nam_Province.html,Hoi An Ancient Town,https://www.tripadvisor.com/Attraction_Review-g298082-d4507121-Reviews-Hoi_An_Ancient_Town-Hoi_An_Quang_Nam_Province.html,Remy Tailor Hoi An,https://www.tripadvisor.com/Attraction_Review-g298082-d11717930-Reviews-Remy_Tailor_Hoi_An-Hoi_An_Quang_Nam_Province.html,Lotus Leaf Fine Arts & Jewellery,https://www.tripadvisor.com/Attraction_Review-g298082-d12940326-Reviews-Lotus_Leaf_Fine_Arts_Jewellery-Hoi_An_Quang_Nam_Province.html,Layna Tailor,https://www.tripadvisor.com/Attraction_Review-g298082-d12945543-Reviews-Layna_Tailor-Hoi_An_Quang_Nam_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/d1/4f/11/caption.jpg?w=700&h=-1&s=1
Quảng Nam,Hadana Boutique Resort Hoian,"538 Cua Dai Street, Hoi An 550000 Vietnam",nan,nan,nan,#9 of 404 hotels in Hoi An,"4,393 ",5.0,4.8,4.9,4.9,4.9,Excellent,40,https://www.tripadvisor.com/Hotel_Review-g298082-d528397-Reviews-Hadana_Boutique_Resort_Hoian-Hoi_An_Quang_Nam_Province.html,,nan,5.0 of 5 bubbles,City View,Residential Neighborhood,"English, Vietnamese",nan,Traders Waterfront Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298082-d15020036-Reviews-Traders_Waterfront_Restaurant-Hoi_An_Quang_Nam_Province.html,Le Petit Bistro Hoi An,https://www.tripadvisor.com/Restaurant_Review-g298082-d23742916-Reviews-Le_Petit_Bistro_Hoi_An-Hoi_An_Quang_Nam_Province.html,Phan Gia,https://www.tripadvisor.com/Restaurant_Review-g298082-d17287969-Reviews-Phan_Gia-Hoi_An_Quang_Nam_Province.html,Deli Sky Bar Hoi An,https://www.tripadvisor.com/Restaurant_Review-g298082-d25318521-Reviews-Deli_Sky_Bar_Hoi_An-Hoi_An_Quang_Nam_Province.html,Hoi An Ancient Town,https://www.tripadvisor.com/Attraction_Review-g298082-d4507121-Reviews-Hoi_An_Ancient_Town-Hoi_An_Quang_Nam_Province.html,Lusi Tailor,https://www.tripadvisor.com/Attraction_Review-g298082-d24904569-Reviews-Lusi_Tailor-Hoi_An_Quang_Nam_Province.html,Mekong Tailor,https://www.tripadvisor.com/Attraction_Review-g298082-d3642787-Reviews-Mekong_Tailor-Hoi_An_Quang_Nam_Province.html,An Viet Custom Tailor,https://www.tripadvisor.com/Attraction_Review-g298082-d8571682-Reviews-An_Viet_Custom_Tailor-Hoi_An_Quang_Nam_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/62/b8/99/hadana-boutique-resort.jpg?w=700&h=-1&s=1
Quảng Nam,Cozy An Boutique Hotel Hoian,"128 Trần Quang Khải, Hoi An 53000 Vietnam",nan,nan,nan,#6 of 404 hotels in Hoi An,544 ,5.0,4.8,5.0,5.0,4.9,Excellent,39,https://www.tripadvisor.com/Hotel_Review-g298082-d26709586-Reviews-Cozy_An_Boutique_Hotel_Hoian-Hoi_An_Quang_Nam_Province.html,,nan,5.0 of 5 bubbles,City View,Business,"English, Vietnamese",nan,Traders Waterfront Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298082-d15020036-Reviews-Traders_Waterfront_Restaurant-Hoi_An_Quang_Nam_Province.html,Le Petit Bistro Hoi An,https://www.tripadvisor.com/Restaurant_Review-g298082-d23742916-Reviews-Le_Petit_Bistro_Hoi_An-Hoi_An_Quang_Nam_Province.html,Phan Gia,https://www.tripadvisor.com/Restaurant_Review-g298082-d17287969-Reviews-Phan_Gia-Hoi_An_Quang_Nam_Province.html,Deli Sky Bar Hoi An,https://www.tripadvisor.com/Restaurant_Review-g298082-d25318521-Reviews-Deli_Sky_Bar_Hoi_An-Hoi_An_Quang_Nam_Province.html,Hoi An Ancient Town,https://www.tripadvisor.com/Attraction_Review-g298082-d4507121-Reviews-Hoi_An_Ancient_Town-Hoi_An_Quang_Nam_Province.html,Lusi Tailor,https://www.tripadvisor.com/Attraction_Review-g298082-d24904569-Reviews-Lusi_Tailor-Hoi_An_Quang_Nam_Province.html,Mekong Tailor,https://www.tripadvisor.com/Attraction_Review-g298082-d3642787-Reviews-Mekong_Tailor-Hoi_An_Quang_Nam_Province.html,An Viet Custom Tailor,https://www.tripadvisor.com/Attraction_Review-g298082-d8571682-Reviews-An_Viet_Custom_Tailor-Hoi_An_Quang_Nam_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/a0/e9/f3/cozy-an-peaceful-river.jpg?w=700&h=-1&s=1
Quảng Nam,Grand Sunrise Palace Hoi An,"320 Cửa Đại, Hoi An 51000 Vietnam",nan,nan,nan,#18 of 404 hotels in Hoi An,846 ,5.0,4.8,5.0,5.0,5.0,Excellent,64,https://www.tripadvisor.com/Hotel_Review-g298082-d25456643-Reviews-Grand_Sunrise_Palace_Hoi_An-Hoi_An_Quang_Nam_Province.html,,nan,5.0 of 5 bubbles,Romantic,Business,"English, Vietnamese",nan,Paddy Field Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298082-d26516589-Reviews-Paddy_Field_Restaurant-Hoi_An_Quang_Nam_Province.html,JAN Restaurant (Local Food),https://www.tripadvisor.com/Restaurant_Review-g298082-d25376153-Reviews-JAN_Restaurant_Local_Food-Hoi_An_Quang_Nam_Province.html,Hoshigami Sushi Japanese Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298082-d10270946-Reviews-Hoshigami_Sushi_Japanese_Restaurant-Hoi_An_Quang_Nam_Province.html,Restaurant 328,https://www.tripadvisor.com/Restaurant_Review-g298082-d3589268-Reviews-Restaurant_328-Hoi_An_Quang_Nam_Province.html,CSO Gallery,https://www.tripadvisor.com/Attraction_Review-g298082-d27161346-Reviews-CSO_Gallery-Hoi_An_Quang_Nam_Province.html,Thuan Tinh Island,https://www.tripadvisor.com/Attraction_Review-g298082-d1637367-Reviews-Thuan_Tinh_Island-Hoi_An_Quang_Nam_Province.html,Nga 328 Tailor,https://www.tripadvisor.com/Attraction_Review-g298082-d24176185-Reviews-Nga_328_Tailor-Hoi_An_Quang_Nam_Province.html,The Hangout Tattoo Studio,https://www.tripadvisor.com/Attraction_Review-g298082-d25332376-Reviews-The_Hangout_Tattoo_Studio-Hoi_An_Quang_Nam_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/17/e3/84/grand-sunrise-palace.jpg?w=700&h=-1&s=1
Quảng Nam,Gió Chiều Homestay,"Tổ 17 Thôn Phước Trung, Hoi An 564030 Vietnam","https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.hotel_review&zoom=13&size=1134x375&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=en_US&center=15.869240,108.319008&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FA_Pin_2x.png|scale:2|15.877160,108.325417|15.878600,108.323959|15.878855,108.322540|15.879803,108.319183|15.875733,108.321846|15.876975,108.320694|15.875776,108.325943|15.875160,108.325584|15.877214,108.326256&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FH_Pin_2x.png|scale:2|15.869240,108.319008|15.875966,108.319672|15.879603,108.319366|15.875957,108.322815|15.876813,108.320572|15.876604,108.318375|15.877109,108.320503|15.875828,108.322319|15.874135,108.323517|15.876420,108.321762&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v2%2FR_Pin_2x.png|scale:2|15.875554,108.319473|15.874045,108.326294|15.875956,108.322815|15.877126,108.325516|15.873698,108.326050|15.877107,108.320496|15.875232,108.324982|15.877135,108.322014|15.875830,108.325050&signature=TQ8uLPc9tMcpmNwabIi01yccE_8=",nan,nan,Write a review,"Tổ 17 Thôn Phước Trung, Hoi An 564030 Vietnam",nan,nan,nan,nan,nan,nan,15,https://www.tripadvisor.com/Hotel_Review-g298082-d27610879-Reviews-Gio_Chi_u_Homestay-Hoi_An_Quang_Nam_Province.html?spAttributionToken=MjY5ODIzODU,,nan,,nan,nan,"English, Vietnamese",nan,The Soul Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298082-d13387957-Reviews-The_Soul_Restaurant-Hoi_An_Quang_Nam_Province.html,Pause And Enjoy Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298082-d19408725-Reviews-Pause_And_Enjoy_Restaurant-Hoi_An_Quang_Nam_Province.html,"""Lồng Đèn"" Restaurant",https://www.tripadvisor.com/Restaurant_Review-g298082-d25411786-Reviews-L_ng_Den_Restaurant-Hoi_An_Quang_Nam_Province.html,Hoi An Heart Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298082-d25259196-Reviews-Hoi_An_Heart_Restaurant-Hoi_An_Quang_Nam_Province.html,Đèn Lồng Hưng An,https://www.tripadvisor.com/Attraction_Review-g298082-d15353737-Reviews-Den_L_ng_Hung_An-Hoi_An_Quang_Nam_Province.html,Be Be Tailor 2,https://www.tripadvisor.com/Attraction_Review-g298082-d16956077-Reviews-Be_Be_Tailor_2-Hoi_An_Quang_Nam_Province.html,The Vy Cloth Shop,https://www.tripadvisor.com/Attraction_Review-g298082-d12212948-Reviews-The_Vy_Cloth_Shop-Hoi_An_Quang_Nam_Province.html,Tay Do Cloth Shop,https://www.tripadvisor.com/Attraction_Review-g298082-d10034831-Reviews-Tay_Do_Cloth_Shop-Hoi_An_Quang_Nam_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/dc/a5/fe/caption.jpg?w=700&h=-1&s=1
Quảng Nam,Hoi An Sincerity Hotel & Spa,"1 Le Dinh Tham Street, Hoi An 51000 Vietnam",nan,nan,nan,#4 of 404 hotels in Hoi An,"5,081 ",5.0,4.8,4.9,5.0,5.0,Excellent,34,https://www.tripadvisor.com/Hotel_Review-g298082-d8595053-Reviews-Hoi_An_Sincerity_Hotel_Spa-Hoi_An_Quang_Nam_Province.html,,nan,5.0 of 5 bubbles,Family,Modern,Vietnamese,nan,Claypot,https://www.tripadvisor.com/Restaurant_Review-g298082-d12474282-Reviews-Claypot-Hoi_An_Quang_Nam_Province.html,Rosie's Cafe,https://www.tripadvisor.com/Restaurant_Review-g298082-d10331162-Reviews-Rosie_s_Cafe-Hoi_An_Quang_Nam_Province.html,TinTin Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298082-d3218557-Reviews-TinTin_Restaurant-Hoi_An_Quang_Nam_Province.html,9 Grains Bakery & Cafe,https://www.tripadvisor.com/Restaurant_Review-g298082-d15591107-Reviews-9_Grains_Bakery_Cafe-Hoi_An_Quang_Nam_Province.html,My Anh Silk Tailor,https://www.tripadvisor.com/Attraction_Review-g298082-d5256498-Reviews-My_Anh_Silk_Tailor-Hoi_An_Quang_Nam_Province.html,Henna Art Hoi An,https://www.tripadvisor.com/Attraction_Review-g298082-d10594172-Reviews-Henna_Art_Hoi_An-Hoi_An_Quang_Nam_Province.html,Lobo Leather,https://www.tripadvisor.com/Attraction_Review-g298082-d17558615-Reviews-Lobo_Leather-Hoi_An_Quang_Nam_Province.html,Hoi An Faifo Tailor Suit,https://www.tripadvisor.com/Attraction_Review-g298082-d26661096-Reviews-Hoi_An_Faifo_Tailor_Suit-Hoi_An_Quang_Nam_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/93/45/9e/hoi-an-sincerity-hotel.jpg?w=700&h=-1&s=1
Quảng Nam,Mulberry Collection Silk Village,"41 Pham Van Dong, Hoi An 560000 Vietnam",nan,nan,nan,#4 of 35 resorts in Hoi An,"2,630 ",5.0,4.6,4.9,4.9,4.8,Excellent,42,https://www.tripadvisor.com/Hotel_Review-g298082-d8643198-Reviews-Mulberry_Collection_Silk_Village-Hoi_An_Quang_Nam_Province.html,,nan,5.0 of 5 bubbles,Green,Quiet,Vietnamese,nan,Bonte Cafe,https://www.tripadvisor.com/Restaurant_Review-g298082-d23284264-Reviews-Bonte_Cafe-Hoi_An_Quang_Nam_Province.html,Mai Poke,https://www.tripadvisor.com/Restaurant_Review-g298082-d27011275-Reviews-Mai_Poke-Hoi_An_Quang_Nam_Province.html,Bao Coffee,https://www.tripadvisor.com/Restaurant_Review-g298082-d15815047-Reviews-Bao_Coffee-Hoi_An_Quang_Nam_Province.html,Bamboo Restaurant and Cooking class,https://www.tripadvisor.com/Restaurant_Review-g298082-d26229898-Reviews-Bamboo_Restaurant_and_Cooking_class-Hoi_An_Quang_Nam_Province.html,Silk Village Hoi An - The Tourist,https://www.tripadvisor.com/Attraction_Review-g25289644-d4023433-Reviews-Silk_Village_Hoi_An_The_Tourist-Cam_Pho_Hoi_An_Quang_Nam_Province.html,Nony Leather,https://www.tripadvisor.com/Attraction_Review-g298082-d6473850-Reviews-Nony_Leather-Hoi_An_Quang_Nam_Province.html,Hoi An Student Tours,https://www.tripadvisor.com/Attraction_Review-g298082-d20377076-Reviews-Hoi_An_Student_Tours-Hoi_An_Quang_Nam_Province.html,Hoi An Silk Tours,https://www.tripadvisor.com/Attraction_Review-g298082-d19875076-Reviews-Hoi_An_Silk_Tours-Hoi_An_Quang_Nam_Province.html,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/15/c4/ef/beautiful-silk-village.jpg?w=700&h=-1&s=1
Quảng Nam,Silk Sense Hoi An River Resort,"01 Dong Da Street, Hoi An 560000 Vietnam",nan,nan,nan,#2 of 35 resorts in Hoi An,"1,618 ",5.0,4.8,5.0,5.0,4.9,Excellent,69,https://www.tripadvisor.com/Hotel_Review-g298082-d11949373-Reviews-Silk_Sense_Hoi_An_River_Resort-Hoi_An_Quang_Nam_Province.html,,nan,5.0 of 5 bubbles,Family,Great View,"English, Korean, Vietnamese",nan,Ixora Cafe & Dining,https://www.tripadvisor.com/Restaurant_Review-g298082-d19115904-Reviews-Ixora_Cafe_Dining-Hoi_An_Quang_Nam_Province.html,Golden Nut Hoi An Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298082-d13083898-Reviews-Golden_Nut_Hoi_An_Restaurant-Hoi_An_Quang_Nam_Province.html,Co Hong Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298082-d10317838-Reviews-Co_Hong_Restaurant-Hoi_An_Quang_Nam_Province.html,Micasa Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298082-d2409908-Reviews-Micasa_Restaurant-Hoi_An_Quang_Nam_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/81/78/75/silk-sense-hoi-an-river.jpg?w=700&h=-1&s=1
