Tourist Attraction,Hotel Name,Address,Address Link,Hotel Website,Hotline,Ranking,Reviewers,Rating,Location rating,Cleanliness rating,Service rating,Value rating,Comment,Price,URL,Description,Award,Hotel Class,Hotel Style 1,Hotel Style 2,Language Spoken,Numbers of near Restaurants,Near Restaurant 1,Link Near Restaurant 1,Near Restaurant 2,Link Near Restaurant 2,Near Restaurant 3,Link Near Restaurant 3,Near Restaurant 4,Link Near Restaurant 4,Near Attraction 1,Link Near Attraction 1,Near Attraction 2,Link Near Attraction 2,Near Attraction 3,Link Near Attraction 3,Near Attraction 4,Link Near Attraction 4,Numbers of near Attractions,Hotel Image
Quảng Ninh,Coto Eco Lodge,"Hong Van Beach, Hong Hai Hamlet, Dong Tien Ward, Co To District,, Dao Co To Vietnam",nan,nan,nan,#1 of 3 lodges in Dao Co To,53 ,5.0,4.9,4.6,4.9,4.8,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g12844967-d3198442-Reviews-Coto_Eco_Lodge-Dao_Co_To_Quang_Ninh_Province.html?spAttributionToken=MjY5OTcxODI,,nan,5.0 of 5 bubbles,Family,Trendy,Vietnamese,4,Tạp Hoá Tâm Huân,https://www.tripadvisor.com/Restaurant_Review-g15292527-d26637878-Reviews-T_p_Hoa_Tam_Huan-Th_Tran_Co_To_Dao_Co_To_Quang_Ninh_Province.html,Nhà Hàng Úy Thanh,https://www.tripadvisor.com/Restaurant_Review-g15292527-d18928557-Reviews-Nha_Hang_Uy_Thanh-Th_Tran_Co_To_Dao_Co_To_Quang_Ninh_Province.html,Tiem Tra Chanh 66 - Co To,https://www.tripadvisor.com/Restaurant_Review-g15292527-d19377893-Reviews-Tiem_Tra_Chanh_66_Co_To-Th_Tran_Co_To_Dao_Co_To_Quang_Ninh_Province.html,Ocean Cafe,https://www.tripadvisor.com/Restaurant_Review-g15292527-d25171159-Reviews-Ocean_Cafe-Th_Tran_Co_To_Dao_Co_To_Quang_Ninh_Province.html,Co To Island,https://www.tripadvisor.com/Attraction_Review-g12844967-d6978608-Reviews-Co_To_Island-Dao_Co_To_Quang_Ninh_Province.html,The Sunset Gulf,https://www.tripadvisor.com/Attraction_Review-g15292527-d25161898-Reviews-The_Sunset_Gulf-Th_Tran_Co_To_Dao_Co_To_Quang_Ninh_Province.html,Hon Chep Con,https://www.tripadvisor.com/Attraction_Review-g12844967-d25168324-Reviews-Hon_Chep_Con-Dao_Co_To_Quang_Ninh_Province.html,Ho Chi Minh Park,https://www.tripadvisor.com/Attraction_Review-g15292527-d25161990-Reviews-Ho_Chi_Minh_Park-Th_Tran_Co_To_Dao_Co_To_Quang_Ninh_Province.html,15,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/c7/ce/15/overview.jpg?w=700&h=-1&s=1
Quảng Ninh,Mường Thanh Luxury Hạ Long Centre Hotel,"Số 2 đường Hạ Long, Phường Bãi Cháy, Thành Phố Hạ Long,Tỉnh Quảng Ninh, Bai Chay, Halong Bay 200000 Vietnam",nan,nan,nan,#1 of 34 hotels in Bai Chay,297 ,5.0,5.0,4.9,4.9,4.9,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g13163470-d21374136-Reviews-Mu_ng_Thanh_Luxury_H_Long_Centre_Hotel-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html,No description available,nan,5.0 of 5 bubbles,Business,Ocean View,"English, Chinese, Korean, Vietnamese",33,Nhà Hàng Hải Sản Ngon Đại Dương Vàng 9999,https://www.tripadvisor.com/Restaurant_Review-g14776299-d26442286-Reviews-Nha_Hang_H_i_S_n_Ngon_D_i_Duong_Vang_9999-Ha_Long_Quang_Ninh_Province.html,Á Đông Cuisine,https://www.tripadvisor.com/Restaurant_Review-g13163470-d26830569-Reviews-A_Dong_Cuisine-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html,Linh Dan Restaurant,https://www.tripadvisor.com/Restaurant_Review-g13163470-d3588913-Reviews-Linh_Dan_Restaurant-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html,Vinace Italian Restaurant,https://www.tripadvisor.com/Restaurant_Review-g13163470-d27128281-Reviews-Vinace_Italian_Restaurant-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html,Sun World Ha Long Complex,https://www.tripadvisor.com/Attraction_Review-g13163470-d11893961-Reviews-Sun_World_Ha_Long_Complex-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html,Sun World Halong Park,https://www.tripadvisor.com/Attraction_Review-g14776299-d21213413-Reviews-Sun_World_Halong_Park-Ha_Long_Quang_Ninh_Province.html,Pirates Club,https://www.tripadvisor.com/Attraction_Review-g293923-d26360495-Reviews-Pirates_Club-Halong_Bay_Quang_Ninh_Province.html,Sun - Cocktailbar,https://www.tripadvisor.com/Attraction_Review-g293923-d14086654-Reviews-Sun_Cocktailbar-Halong_Bay_Quang_Ninh_Province.html,7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/78/29/f5/caption.jpg?w=700&h=-1&s=1
Quảng Ninh,Best Western Premier Sapphire Ha Long,"Building S2, Lot Hh05, Ha Long 200000 Vietnam",nan,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=23888797&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=307978734&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkYeaWtkx0sZ7mNKigsNWMdx547wd841Mou0pWVCebHVbFuQe0QCKUbYeRwOyltyEfg&bapid=2&cs=1150a6c783cb67f097cb962f5b0e37f8a&ba_uid=826116e4-0779-4808-ab32-ed09f40e1adf,0346411234,#1 of 55 hotels in Ha Long,112 ,5.0,4.9,4.9,5.0,4.9,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g14776299-d23888797-Reviews-Best_Western_Premier_Sapphire_Ha_Long-Ha_Long_Quang_Ninh_Province.html,,nan,5.0 of 5 bubbles,Business,Romantic,"English, Vietnamese",14,T-Fresh Healthy Drinks & Tea,https://www.tripadvisor.com/Restaurant_Review-g14776299-d19042278-Reviews-T_Fresh_Healthy_Drinks_Tea-Ha_Long_Quang_Ninh_Province.html,Miam Miam Bread & Cafe,https://www.tripadvisor.com/Restaurant_Review-g14776299-d17435021-Reviews-Miam_Miam_Bread_Cafe-Ha_Long_Quang_Ninh_Province.html,Apna Indian Family Restaurant,https://www.tripadvisor.com/Restaurant_Review-g14776299-d28144097-Reviews-Apna_Indian_Family_Restaurant-Ha_Long_Quang_Ninh_Province.html,Vanakam Indian Family Restaurant,https://www.tripadvisor.com/Restaurant_Review-g14776299-d28131605-Reviews-Vanakam_Indian_Family_Restaurant-Ha_Long_Quang_Ninh_Province.html,Cong Vien Hoa Ha Long,https://www.tripadvisor.com/Attraction_Review-g14776299-d15292351-Reviews-Cong_Vien_Hoa_Ha_Long-Ha_Long_Quang_Ninh_Province.html,Tuần Châu Park,https://www.tripadvisor.com/Attraction_Review-g14776299-d28123755-Reviews-Tu_n_Chau_Park-Ha_Long_Quang_Ninh_Province.html,Tên không xác định,,Tên không xác định,,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b2/58/85/10-exclusive-offers-when.jpg?w=700&h=-1&s=1
Quảng Ninh,Paradise Suites Hotel,"Ngoc Chau, Paradise Town, Halong Bay, Tuan Chau Island 844000 Vietnam",nan,nan,nan,#1 of 17 hotels in Tuan Chau Island,988 ,4.5,4.4,4.9,4.8,4.7,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g3737857-d4004184-Reviews-Paradise_Suites_Hotel-Tuan_Chau_Island_Halong_Bay_Quang_Ninh_Province.html,,nan,4.5 of 5 bubbles,Quiet,Modern,"English, Chinese, Vietnamese",12,Whisky Gallery Restaurant,https://www.tripadvisor.com/Restaurant_Review-g3737857-d12804777-Reviews-Whisky_Gallery_Restaurant-Tuan_Chau_Island_Halong_Bay_Quang_Ninh_Province.html,Chill Beach Bar,https://www.tripadvisor.com/Restaurant_Review-g14776299-d24133448-Reviews-Chill_Beach_Bar-Ha_Long_Quang_Ninh_Province.html,Rose Bay Beach Bar - Restaurant,https://www.tripadvisor.com/Restaurant_Review-g14776299-d24143952-Reviews-Rose_Bay_Beach_Bar_Restaurant-Ha_Long_Quang_Ninh_Province.html,Tiki Bar At Tuan Chau Island,https://www.tripadvisor.com/Restaurant_Review-g3737857-d26103758-Reviews-Tiki_Bar_At_Tuan_Chau_Island-Tuan_Chau_Island_Halong_Bay_Quang_Ninh_Province.html,Whisky Gallery Bar - JO Pub,https://www.tripadvisor.com/Attraction_Review-g293923-d8564173-Reviews-Whisky_Gallery_Bar_JO_Pub-Halong_Bay_Quang_Ninh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/fa/f6/dd/paradise-suites-hotel.jpg?w=700&h=-1&s=1
Quảng Ninh,Vinpearl Resort & Spa Ha Long,Halong Bay 200000 Vietnam,nan,nan,nan,#1 of 5 resorts in Halong Bay,"1,295 ",4.5,4.7,4.7,4.6,4.7,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g293923-d8595372-Reviews-Vinpearl_Resort_Spa_Ha_Long-Halong_Bay_Quang_Ninh_Province.html,,nan,4.5 of 5 bubbles,Family,Trendy,"English, Chinese, Vietnamese",168,Nhà Hàng Hải Sản Ngon Đại Dương Vàng 9999,https://www.tripadvisor.com/Restaurant_Review-g14776299-d26442286-Reviews-Nha_Hang_H_i_S_n_Ngon_D_i_Duong_Vang_9999-Ha_Long_Quang_Ninh_Province.html,Nhà Hàng Ngọc Phương Nam Hạ Long,https://www.tripadvisor.com/Restaurant_Review-g13163470-d14058890-Reviews-Nha_Hang_Ng_c_Phuong_Nam_H_Long-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html,Á Đông Cuisine,https://www.tripadvisor.com/Restaurant_Review-g13163470-d26830569-Reviews-A_Dong_Cuisine-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html,Linh Dan Restaurant,https://www.tripadvisor.com/Restaurant_Review-g13163470-d3588913-Reviews-Linh_Dan_Restaurant-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html,Dau Go Cave,https://www.tripadvisor.com/Attraction_Review-g293923-d456291-Reviews-Dau_Go_Cave-Halong_Bay_Quang_Ninh_Province.html,Dong Thien Cung,https://www.tripadvisor.com/Attraction_Review-g293923-d2027899-Reviews-Dong_Thien_Cung-Halong_Bay_Quang_Ninh_Province.html,Castaway Island,https://www.tripadvisor.com/Attraction_Review-g293923-d1651201-Reviews-Castaway_Island-Halong_Bay_Quang_Ninh_Province.html,Halong Bay Cruises Tour - S.E.A Wander,https://www.tripadvisor.com/Attraction_Review-g293923-d16870294-Reviews-Halong_Bay_Cruises_Tour_S_E_A_Wander-Halong_Bay_Quang_Ninh_Province.html,42,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/2a/4f/c2/vinpearl-resort-spa-ha.jpg?w=700&h=-1&s=1
Quảng Ninh,Legacy Yen Tu - MGallery,"Xã Thượng Yên Công Relic scenic Yen Tu, Commune, Uong Bi 200000 Vietnam",nan,nan,nan,#1 of 1 special hotel in Uong Bi,434 ,4.5,4.8,4.8,4.7,4.7,Excellent,129,https://www.tripadvisor.com/Hotel_Review-g12616698-d15016168-Reviews-Legacy_Yen_Tu_MGallery-Uong_Bi_Quang_Ninh_Province.html,,nan,4.5 of 5 bubbles,Family,Trendy,"English, Vietnamese",2,Tho Quang Restaurant,https://www.tripadvisor.com/Restaurant_Review-g12616698-d19453571-Reviews-Tho_Quang_Restaurant-Uong_Bi_Quang_Ninh_Province.html,Thien Quan Lounge,https://www.tripadvisor.com/Restaurant_Review-g12616698-d19453578-Reviews-Thien_Quan_Lounge-Uong_Bi_Quang_Ninh_Province.html,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,Tên không xác định,,nan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/2a/1b/cd/exterior.jpg?w=700&h=-1&s=1
Quảng Ninh,DeLaSea Ha Long Hotel,"A9 Lot 1 Ha Long Marine Boulevard, Halong Bay 200000 Vietnam",nan,https://www.tripadvisor.com,02036503289,#3 of 109 hotels in Halong Bay,118 ,5.0,4.8,5.0,4.9,4.8,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g293923-d20972956-Reviews-DeLaSea_Ha_Long_Hotel-Halong_Bay_Quang_Ninh_Province.html?spAttributionToken=MjY5OTY5MTI,,nan,5.0 of 5 bubbles,Business,City View,"English, Vietnamese",25,Nhà Hàng Ngọc Phương Nam Hạ Long,https://www.tripadvisor.com/Restaurant_Review-g13163470-d14058890-Reviews-Nha_Hang_Ng_c_Phuong_Nam_H_Long-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html,RedCoral Halong Indian Halal Restaurant,https://www.tripadvisor.com/Restaurant_Review-g13163477-d19806626-Reviews-RedCoral_Halong_Indian_Halal_Restaurant-Hung_Thang_Halong_Bay_Quang_Ninh_Provi.html,Cua Vang Restaurant,https://www.tripadvisor.com/Restaurant_Review-g293923-d4243414-Reviews-Cua_Vang_Restaurant-Halong_Bay_Quang_Ninh_Province.html,14 Pizza Halong,https://www.tripadvisor.com/Restaurant_Review-g293923-d12879030-Reviews-14_Pizza_Halong-Halong_Bay_Quang_Ninh_Province.html,Bai Chay Commercial Center,https://www.tripadvisor.com/Attraction_Review-g293923-d8291632-Reviews-Bai_Chay_Commercial_Center-Halong_Bay_Quang_Ninh_Province.html,Viet Yacht,https://www.tripadvisor.com/Attraction_Review-g293923-d11899150-Reviews-Viet_Yacht-Halong_Bay_Quang_Ninh_Province.html,tiNiWorld,https://www.tripadvisor.com/Attraction_Review-g293923-d9996408-Reviews-TiNiWorld-Halong_Bay_Quang_Ninh_Province.html,Tên không xác định,,3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/9e/22/2f/caption.jpg?w=700&h=-1&s=1
Quảng Ninh,Oakwood Ha Long,"No 9, Ha Long Street Bai Chay Ward, Bai Chay, Halong Bay 200000 Vietnam",nan,nan,nan,#3 of 34 hotels in Bai Chay,135 ,5.0,4.7,5.0,4.7,4.7,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g13163470-d19881155-Reviews-Oakwood_Ha_Long-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html,,nan,5.0 of 5 bubbles,Luxury,Charming,"Chinese, Korean, Vietnamese",176,Nhà Hàng Hải Sản Ngon Đại Dương Vàng 9999,https://www.tripadvisor.com/Restaurant_Review-g14776299-d26442286-Reviews-Nha_Hang_H_i_S_n_Ngon_D_i_Duong_Vang_9999-Ha_Long_Quang_Ninh_Province.html,Nhà Hàng Ngọc Phương Nam Hạ Long,https://www.tripadvisor.com/Restaurant_Review-g13163470-d14058890-Reviews-Nha_Hang_Ng_c_Phuong_Nam_H_Long-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html,Á Đông Cuisine,https://www.tripadvisor.com/Restaurant_Review-g13163470-d26830569-Reviews-A_Dong_Cuisine-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html,Linh Dan Restaurant,https://www.tripadvisor.com/Restaurant_Review-g13163470-d3588913-Reviews-Linh_Dan_Restaurant-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html,Dau Go Cave,https://www.tripadvisor.com/Attraction_Review-g293923-d456291-Reviews-Dau_Go_Cave-Halong_Bay_Quang_Ninh_Province.html,Dong Thien Cung,https://www.tripadvisor.com/Attraction_Review-g293923-d2027899-Reviews-Dong_Thien_Cung-Halong_Bay_Quang_Ninh_Province.html,Castaway Island,https://www.tripadvisor.com/Attraction_Review-g293923-d1651201-Reviews-Castaway_Island-Halong_Bay_Quang_Ninh_Province.html,Halong Bay Cruises Tour - S.E.A Wander,https://www.tripadvisor.com/Attraction_Review-g293923-d16870294-Reviews-Halong_Bay_Cruises_Tour_S_E_A_Wander-Halong_Bay_Quang_Ninh_Province.html,42,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/92/25/43/oakwood-ha-long-garden.jpg?w=700&h=-1&s=1
Quảng Ninh,DeLaSea Ha Long Hotel,"A9 Lot 1 Ha Long Marine Boulevard, Halong Bay 200000 Vietnam",nan,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=20972956&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=307978824&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkYeaWtkx0sZ7mNKigsNWMdxq0zDS7Ue9OXJ183KtaOzbG3dBvgd2JyzLrFzXilt6DQ&bapid=2&cs=1753b21e4cc0173d01046095ba2bf2178&ba_uid=6461fad0-24b1-470c-9d47-2285f919ffba,02036503289,#3 of 109 hotels in Halong Bay,118 ,5.0,4.8,5.0,4.9,4.8,Excellent,34,https://www.tripadvisor.com/Hotel_Review-g293923-d20972956-Reviews-DeLaSea_Ha_Long_Hotel-Halong_Bay_Quang_Ninh_Province.html,,nan,5.0 of 5 bubbles,Business,City View,"English, Vietnamese",25,Nhà Hàng Ngọc Phương Nam Hạ Long,https://www.tripadvisor.com/Restaurant_Review-g13163470-d14058890-Reviews-Nha_Hang_Ng_c_Phuong_Nam_H_Long-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html,RedCoral Halong Indian Halal Restaurant,https://www.tripadvisor.com/Restaurant_Review-g13163477-d19806626-Reviews-RedCoral_Halong_Indian_Halal_Restaurant-Hung_Thang_Halong_Bay_Quang_Ninh_Provi.html,Cua Vang Restaurant,https://www.tripadvisor.com/Restaurant_Review-g293923-d4243414-Reviews-Cua_Vang_Restaurant-Halong_Bay_Quang_Ninh_Province.html,14 Pizza Halong,https://www.tripadvisor.com/Restaurant_Review-g293923-d12879030-Reviews-14_Pizza_Halong-Halong_Bay_Quang_Ninh_Province.html,Bai Chay Commercial Center,https://www.tripadvisor.com/Attraction_Review-g293923-d8291632-Reviews-Bai_Chay_Commercial_Center-Halong_Bay_Quang_Ninh_Province.html,Viet Yacht,https://www.tripadvisor.com/Attraction_Review-g293923-d11899150-Reviews-Viet_Yacht-Halong_Bay_Quang_Ninh_Province.html,tiNiWorld,https://www.tripadvisor.com/Attraction_Review-g293923-d9996408-Reviews-TiNiWorld-Halong_Bay_Quang_Ninh_Province.html,Tên không xác định,,3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/9e/22/2f/caption.jpg?w=700&h=-1&s=1
Quảng Ninh,Citadines Marina Halong,"Peninsula 3, Marina Halong Halong Marine Boulevard, Hung Thang Ward, Hung Thang, Halong Bay 2000000 Vietnam",nan,nan,nan,#1 of 4 hotels in Hung Thang,176 ,5.0,4.8,4.8,4.9,4.8,Excellent,nan,https://www.tripadvisor.com/Hotel_Review-g13163477-d23746412-Reviews-Citadines_Marina_Halong-Hung_Thang_Halong_Bay_Quang_Ninh_Province.html,,nan,5.0 of 5 bubbles,Business,Romantic,"English, Malay, Vietnamese",22,RedCoral Halong Indian Halal Restaurant,https://www.tripadvisor.com/Restaurant_Review-g13163477-d19806626-Reviews-RedCoral_Halong_Indian_Halal_Restaurant-Hung_Thang_Halong_Bay_Quang_Ninh_Provi.html,Garden Bay Restaurant,https://www.tripadvisor.com/Restaurant_Review-g293923-d13484503-Reviews-Garden_Bay_Restaurant-Halong_Bay_Quang_Ninh_Province.html,Cua Vang Restaurant,https://www.tripadvisor.com/Restaurant_Review-g293923-d4243414-Reviews-Cua_Vang_Restaurant-Halong_Bay_Quang_Ninh_Province.html,14 Pizza Halong,https://www.tripadvisor.com/Restaurant_Review-g293923-d12879030-Reviews-14_Pizza_Halong-Halong_Bay_Quang_Ninh_Province.html,Moon Light Bar,https://www.tripadvisor.com/Attraction_Review-g13163470-d15589203-Reviews-Moon_Light_Bar-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html,Bai Chay Commercial Center,https://www.tripadvisor.com/Attraction_Review-g293923-d8291632-Reviews-Bai_Chay_Commercial_Center-Halong_Bay_Quang_Ninh_Province.html,Viet Yacht,https://www.tripadvisor.com/Attraction_Review-g293923-d11899150-Reviews-Viet_Yacht-Halong_Bay_Quang_Ninh_Province.html,tiNiWorld,https://www.tripadvisor.com/Attraction_Review-g293923-d9996408-Reviews-TiNiWorld-Halong_Bay_Quang_Ninh_Province.html,4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/2e/ae/f2/studio-deluxe.jpg?w=700&h=-1&s=1
