Tourist Attraction,Restaurant Name,Restaurant Link,Address,Restaurant Website,Hotline,Email,Ranking,Opening and Closing hours,Rating,Food Rating,Service Rating,Value Rating,Atmosphere Rating,Reviewers,Description,Min Price,Max Price,Cuisines,Meal,Special Diets,Features,Image URL
Hải Phòng,Secret Garden Cafe and Restaurant,https://www.tripadvisor.com/Restaurant_Review-g737051-d19501872-Reviews-Secret_Garden_Cafe_and_Restaurant-Cat_Ba_Hai_Phong.html,"169 Nui Ngoc street, Hai Phong, Cat Ba 180000 Vietnam",nan,+84332777169,secretgardenrestaurant169@gmail.com,#1 of 67 Restaurants in Cat Ba,"Sun: 7:00 AM - 11:00 PM, Mon: 7:00 AM - 11:00 PM, Tue: 7:00 AM - 11:00 PM, Wed: 7:00 AM - 11:00 PM, Thu: 7:00 AM - 11:00 PM, Fri: 7:00 AM - 11:00 PM, Sat: 7:00 AM - 11:00 PM",5.0,4.6,4.6,4.7,4.9,148 reviews,"Secret Garden is a new and unique restaurant situated on the leafy back streets of the main Cat Ba Town. Our focus is on fresh,healthy & hearty food for the soul. We endeavor to ensure quality,a great service & great taste. Our menu is full of delicious recipes & flavors often not found on Cat Ba Island,catering for vegans,vegetarians and non-vegetarians. We offer a range of scrumptious secret recipe Vegan Burgers, Chicken Burgers, Buddha Bowls, Smoothie Bowls and much much more. Some of our delicious and unique flavors that you can find our menu is our homemade Pesto, Hummus, Guacamole, Peanut Sauce, Vegan mayonnaise and many more. We pride ourselves on our quality and service, ensuring that all of our customers leave satisfied. Our beautifully decorated and comfortable garden is the perfect location for a peaceful breakfast, a lazy lunch or dinner filled with great entertainment and great evening vibes. Come and laze on our bean bags, enjoy the fire pit, pool table and live music.",2.0,6.0,nan,"Breakfast, Lunch, Dinner, Brunch, Drinks","Vegetarian friendly, Vegan options","Reservations, Outdoor Seating, Buffet, Seating, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service, Dog Friendly, Family style",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f2/03/c6/socialize.jpg?w=900&h=500&s=1
Hải Phòng,Casa Bonita,https://www.tripadvisor.com/Restaurant_Review-g737051-d14007725-Reviews-Casa_Bonita-Cat_Ba_Hai_Phong.html,"82 Nui Ngoc, Hai Phong, Cat Ba 180000 Vietnam",nan,+84 96 315 38 86,thangpv360@gmail.com,#3 of 67 Restaurants in Cat Ba,"Sun: 7:00 AM - 10:00 PM, Mon: 7:00 AM - 10:00 PM, Tue: 7:00 AM - 10:00 PM, Wed: 7:00 AM - 10:00 PM, Thu: 7:00 AM - 10:00 PM, Fri: 7:00 AM - 10:00 PM, Sat: 7:00 AM - 10:00 PM",4.5,4.6,4.7,4.6,4.7,608 reviews,"With fresh ingredients from CatBa market turned into carefully selected recipes in our clean kitchen, Casa Bonita is guaranteed to delight your tastebuds!",2.0,10.0,nan,"Breakfast, Lunch, Dinner, Brunch, Drinks","Vegetarian friendly, Vegan options, Gluten free options","Takeout, Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/2a/be/d5/lovely-garden.jpg?w=900&h=500&s=1
Hải Phòng,The Three M Restaurant,https://www.tripadvisor.com/Restaurant_Review-g737051-d26141494-Reviews-The_Three_M_Restaurant-Cat_Ba_Hai_Phong.html,"252 đường Một Tháng Tư, Hai Phong, Cat Ba 187310 Vietnam",nan,+84 32 633 3559,thethreemrestaurant@gmail.com,#8 of 67 Restaurants in Cat Ba,"Sun: 7:00 AM - 11:00 PM, Mon: 7:00 AM - 11:00 PM, Tue: 7:00 AM - 11:00 PM, Wed: 7:00 AM - 11:00 PM, Thu: 7:00 AM - 11:00 PM, Fri: 7:00 AM - 11:00 PM, Sat: 7:00 AM - 11:00 PM",5.0,4.8,4.9,4.7,4.8,194 reviews,"Một không gian sang trọng thoáng mát cũng như là làn gió mới trong phong cách ẩm thực tại Cát Bà, kết hợp phục vụ bia thủ công (bia tươi) trong menu đồ uống cùng các món cocktail và mocktail đặc trưng của quán. Chúng tôi tự hào giới thiệu đến bạn một menu ẩm thực độc đáo, được thiết kế để mang đến cho bạn những trải nghiệm mới mẻ tại Cát Bà. Không chỉ các món ăn chế biến chủ yếu từ hải sản như đặc trưng vốn có của vùng biển đảo mà còn đa dạng hơn trong các nguyên liệu để mang đến nhiều trải nghiệm mới mẻ hơn cho thực khách.",0.0,1.0,nan,"Breakfast, Lunch, Dinner, Drinks",nan,"Delivery, Takeout, Reservations, Outdoor Seating, Buffet, Seating, Street Parking, Validated Parking, Valet Parking, Free off-street parking, Television, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Discover, Accepts Credit Cards, Table Service, Live Music, Waterfront, Dog Friendly, Family style, Sports bars, Gift Cards Available",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/7a/65/3c/local-food-and-craft.jpg?w=900&h=500&s=1
Hải Phòng,The Little Leaf Restaurant,https://www.tripadvisor.com/Restaurant_Review-g737051-d16694857-Reviews-The_Little_Leaf_Restaurant-Cat_Ba_Hai_Phong.html,"224 Duong Mot Thang Tu, Hai Phong, Cat Ba 187300 Vietnam",nan,+84 97 752 46 48,hungmanh_pearl@yahoo.com,#2 of 67 Restaurants in Cat Ba,"Sun: 7:00 AM - 11:00 PM, Mon: 7:00 AM - 11:00 PM, Tue: 7:00 AM - 11:00 PM, Wed: 7:00 AM - 11:00 PM, Thu: 7:00 AM - 11:00 PM, Fri: 7:00 AM - 11:00 PM, Sat: 7:00 AM - 11:00 PM",5.0,4.9,4.9,4.8,4.9,438 reviews,"A cozy and beautiful space. The Little Leaf restaurant with an outstanding menu of coffee, tea and healthy dishes, vegetarian food and Vietnamese dishes. A beautiful space to enjoy a wonderful time when visiting Cat Ba island with friends and family. Enjoy an energizing cup of coffee with nutritious breakfast dishes, enjoy Vietnamese dishes, vegetarian dishes, healthy dishes and some European dishes. Read a book, play games with friends and friendly staff.",nan,nan,nan,"Breakfast, Lunch, Dinner, Brunch, Drinks","Vegetarian friendly, Vegan options, Gluten free options","Takeout, Reservations, Outdoor Seating, Seating, Free off-street parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Family style, Non-smoking restaurants",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/17/c5/f0/the-little-leaf.jpg?w=900&h=500&s=1
Hải Phòng,Quiri Cocktail & Restaurant,https://www.tripadvisor.com/Restaurant_Review-g737051-d14758706-Reviews-Quiri_Cocktail_Restaurant-Cat_Ba_Hai_Phong.html,"Tung Dinh Streets No 135, Hai Phong, Cat Ba 187380 Vietnam",nan,+84 04060997,quirihotelcatba@gmail.com,#14 of 67 Restaurants in Cat Ba,"Sun: 8:00 AM - 11:45 PM, Mon: 8:00 AM - 11:45 PM, Tue: 8:00 AM - 11:45 PM, Wed: 8:00 AM - 11:45 PM, Thu: 8:00 AM - 11:45 PM, Fri: 8:00 AM - 11:45 PM, Sat: 8:00 AM - 11:45 PM",5.0,4.8,4.8,4.8,4.9,838 reviews,"🌟 Outstanding Family Restaurant
🍽️ Established in 2018
🍲 Specializing in local cuisine and unique cocktails
🌍 Served over 40,000 domestic and international guests

With the motto ""Bringing local flavors closer to you,"" our restaurant is committed to delivering an authentic culinary experience, paired with creative cocktails, promising to satisfy every guest.
Book a table : +84904060997",4.0,16.0,nan,"Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks",nan,"Takeout, Reservations, Outdoor Seating, Buffet, Seating, Parking Available, Street Parking, Free off-street parking, Television, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Accepts Credit Cards, Table Service, Dog Friendly",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/1e/cc/48/my-lovely-customer.jpg?w=900&h=500&s=1
Hải Phòng,Bonne Vie Restaurant,https://www.tripadvisor.com/Restaurant_Review-g303944-d14860710-Reviews-Bonne_Vie_Restaurant-Hai_Phong.html,"64 Dien Bien Phu Hong Bang, Hai Phong 180000 Vietnam",nan,+84 225 8831 726,info@manoirdesartshotel.com,#1 of 16 Bars & Pubs in Hai Phong,"Sun: 6:00 AM - 10:00 PM, Mon: 6:00 AM - 10:00 PM, Tue: 6:00 AM - 10:00 PM, Wed: 6:00 AM - 10:00 PM, Thu: 6:00 AM - 10:00 PM, Fri: 6:00 AM - 10:00 PM, Sat: 6:00 AM - 10:00 PM",5.0,4.9,5.0,4.8,5.0,214 reviews,"Bonne Vie Restaurant provides a diversity of F&B service, such as buffet, à la carte, lunch and dinner. The dishes are carefully crafted and delicately cooked in the style of European, Asian and Vietnamese cuisine. At the Manoir Des Arts hotel, our staff members significantly focus on building and implementing organizational culture in order to satisfy customers by providing the best value for customers during their stay.",8.0,4.0,nan,"Breakfast, Lunch, Dinner, Brunch, Drinks","Vegetarian friendly, Vegan options, Gluten free options","Takeout, Reservations, Outdoor Seating, Buffet, Seating, Parking Available, Highchairs Available, Serves Alcohol, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/ca/65/3f/nha-hang-v-i-khong-gian.jpg?w=900&h=500&s=1
Hải Phòng,Yi Ling Ling Restaurant,https://www.tripadvisor.com/Restaurant_Review-g303944-d25340373-Reviews-Yi_Ling_Ling_Restaurant-Hai_Phong.html,"No.1 Hanoi Street, Hong Bang District Sheraton Hai Phong, Hai Phong 70000 Vietnam",nan,+84 363 308 903,hostess.haiphong@sheraton.com,#16 of 257 Restaurants in Hai Phong,"Sun: 11:30 AM - 2:30 PM5:30 PM - 10:00 PM, Mon: 11:30 AM - 2:30 PM5:30 PM - 10:00 PM, Tue: 11:30 AM - 2:30 PM5:30 PM - 10:00 PM, Wed: 11:30 AM - 2:30 PM5:30 PM - 10:00 PM, Thu: 11:30 AM - 2:30 PM5:30 PM - 10:00 PM, Fri: 5:30 PM - 2:30 PM, Sat: 5:30 PM - 10:00 PM",5.0,5.0,5.0,5.0,nan,60 reviews,"Distinct and cozy, Yi Ling Ling bursts onto the scene as an authentic Cantonese experience, one we hope touches your family’s heart and makes a lasting impression!",nan,nan,nan,"Lunch, Dinner, Brunch","Vegetarian friendly, Vegan options","Reservations, Seating, Parking Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi, Accepts Discover, Accepts Credit Cards, Table Service, Non-smoking restaurants",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/68/f4/34/distinct-and-cozy-yi.jpg?w=900&h=500&s=1
Hải Phòng,Quan Cat Ba Family,https://www.tripadvisor.com/Restaurant_Review-g737051-d8625970-Reviews-Quan_Cat_Ba_Family-Cat_Ba_Hai_Phong.html,"180 Đường 1/4, Hai Phong, Cat Ba Vietnam",nan,+84 98 659 03 18,quancatba84@gmail.com,#6 of 67 Restaurants in Cat Ba,"Sun: 8:00 AM - 9:30 PM, Mon: 8:00 AM - 9:30 PM, Tue: 8:00 AM - 9:30 PM, Wed: 8:00 AM - 9:30 PM, Thu: 8:00 AM - 9:30 PM, Fri: 8:00 AM - 9:30 PM, Sat: 8:00 AM - 9:30 PM",4.5,4.7,4.6,4.7,4.3,475 reviews,nan,3.0,10.0,nan,"Breakfast, Lunch, Dinner, Brunch, Drinks","Vegetarian friendly, Vegan options, Gluten free options","Takeout, Reservations, Outdoor Seating, Buffet, Seating, Street Parking, Free off-street parking, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Cash Only, Free Wifi, Table Service, Family style",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/69/ab/eb/photo1jpg.jpg?w=900&h=500&s=1
Hải Phòng,Ladybird Cafeteria And Restaurant,https://www.tripadvisor.com/Restaurant_Review-g737051-d27088467-Reviews-Ladybird_Cafeteria_And_Restaurant-Cat_Ba_Hai_Phong.html,"164 1/4 Street Cat Ba Town, Hai Phong, Cat Ba 180000 Vietnam",nan,+84 91 255 52 08,blueswimmersailing@gmail.com,#4 of 67 Restaurants in Cat Ba,"Sun: 8:00 AM - 11:00 PM, Mon: 8:00 AM - 11:00 PM, Tue: 8:00 AM - 11:00 PM, Wed: 8:00 AM - 11:00 PM, Thu: 8:00 AM - 11:00 PM, Fri: 8:00 AM - 11:00 PM, Sat: 8:00 AM - 11:00 PM",5.0,5.0,5.0,4.9,4.9,76 reviews,"At Ladybird Cafeteria, We offer a variety of delicious and healthy dishes, a warm outdoor setting, and, most importantly, a vegetarian menu to meet your needs. You also want to go to the market, cook with a master chef, and enjoy a meal you prepared yourself, as well as participate in a daily Cooking Class, which will be an interesting and unforgettable experience in Cat Ba. Come with us to explore the finest fusion cuisine of the island. To learn and explore more: www.blueswimmersailing.com",nan,nan,nan,"Breakfast, Lunch, Dinner, Brunch, Drinks",nan,"Delivery, Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Street Parking, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi, Accepts Credit Cards, Table Service, Waterfront, Beach, Dog Friendly, Non-smoking restaurants",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/28/b7/5b/ladybird-restaurant-cat.jpg?w=900&h=-1&s=1
Hải Phòng,Yummy Restaurant,https://www.tripadvisor.com/Restaurant_Review-g26785533-d12006693-Reviews-Yummy_Restaurant-Cat_Ba_Town_Cat_Ba_Hai_Phong.html,"140 Nui Ngoc Street, Cat Ba Town, Hai Phong, Cat Ba 180000 Vietnam",nan,+84 97 795 09 06,yummycatba@gmail.com,#1 of 5 Restaurants in Cat Ba Town,"Sun: 7:00 AM - 9:30 PM, Mon: 7:00 AM - 9:30 PM, Tue: 7:00 AM - 9:30 PM, Wed: 7:00 AM - 9:30 PM, Thu: 7:00 AM - 9:30 PM, Fri: 7:00 AM - 9:30 PM, Sat: 7:00 AM - 9:30 PM",4.5,4.3,4.2,4.4,4.2,747 reviews,nan,2.0,15.0,nan,"Breakfast, Lunch, Dinner, Brunch","Vegetarian friendly, Vegan options, Gluten free options","Takeout, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Free Wifi, Table Service",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/dc/03/8b/photo0jpg.jpg?w=900&h=500&s=1
